class,mean_res
1,9.01|1000
2,8.77|9.01
3,8.57|8.77
4,8.35|8.57
5,8.07|8.35
6,7.62|8.07
7,7.10|7.62
8,6.53|7.10
9,5.90|6.53
10,0|5.90
