sc_point_gid,array_cable_CAPEX,export_cable_CAPEX
10000048,310944.2777,415351.2323
10000057,308748.688,317007.8482
10000058,309279.6762,369540.6272
10000068,308151.3425,307024.5128
10000069,308838.8195,390633.3315
10000080,307721.9598,323757.457
10000081,309643.7327,407695.5633
10000091,307911.4833,309946.1193
10000102,309729.508,325752.14
10000137,308306.0848,324503.913
10000138,310717.8688,397364.2847
10000164,308310.7803,318980.2498
10000165,308768.2397,380003.5177
10000190,307970.5728,304696.6417
10000191,308461.075,375041.4005
10000192,309931.2865,440370.756
10000216,308005.575,306383.292
10000217,308198.6968,362951.684
10000218,309035.8773,431243.6217
10000244,308961.0305,363454.349
10000245,309571.1152,420318.2798
10000246,310505.4777,483021.7808
10000273,309745.3867,408849.1195
10000274,310176.3838,470990.8375
10000300,309875.3367,421570.8658
10000301,310489.669,458814.2708
10000302,310941.3452,518861.888
10000327,310086.2998,466392.475
10000328,310133.9823,500201.0942
10000329,310812.0178,561520.7353
10000354,308711.5172,498544.5445
10000355,309331.739,539468.1178
10000356,310685.2592,597346.4452
10000385,309145.243,398106.5838
10000386,310135.0862,460489.6862
10000387,309980.7732,526146.4762
10000388,310336.5727,574982.2473
10000420,308342.588,368727.5728
10000421,308968.385,417180.5402
10000422,309587.9727,488737.2523
10000423,310229.8463,552719.2862
10000457,309082.6285,393738.0465
10000458,309483.8608,454446.8693
10000459,310488.5393,523972.153
10000493,308708.4153,369070.6573
10000494,309092.6578,409344.8788
10000495,310198.8708,481103.8268
10000531,307714.5278,315691.4228
10000532,308090.6367,373789.5702
10000533,309405.0465,442273.4085
10000534,310395.759,511638.7742
10000571,308339.7832,325348.8693
10000572,308663.9852,394570.8647
10000573,309447.268,473689.7433
10000574,310553.2907,544385.9648
10000612,308389.9923,346342.3343
10000613,309123.3392,426378.2047
10000614,309883.6325,500909.7325
10000615,310277.6593,568452.6045
10000653,308291.8473,368746.895
10000654,308959.9572,453837.322
10000655,310145.3377,527861.2003
10000693,307716.7503,311329.2248
10000694,308049.2522,391716.6622
10000695,309165.5293,472186.5257
10000696,309802.059,544009.1077
10000697,310696.6907,609477.3787
10000733,307867.2918,339136.1165
10000734,308331.3068,421148.0488
10000735,308821.7413,496820.0663
10000736,309793.48,565030.2578
10000737,310859.8603,626757.661
10000773,307371.9465,349106.0433
10000774,307840.5022,437488.9138
10000775,308500.5317,516021.8192
10000776,309467.0492,584370.5803
10000777,310193.2527,645075.7863
10000811,306288.8238,306186.5178
10000812,306719.5393,366081.8108
10000813,307930.788,451104.66
10000814,308573.8268,527162.5197
10000815,309126.1393,594630.9372
10000816,310348.005,655471.7082
10000851,306646.0843,362252.8913
10000852,307555.4123,449865.0607
10000853,308528.7083,527578.7047
10000854,309238.794,596099.9003
10000855,310623.6077,657626.5392
10000890,306660.2682,371955.3667
10000891,307459.4722,455096.4375
10000892,308511.7423,528731.4955
10000893,309357.1002,593964.2132
10000894,310873.8205,652893.0335
10000929,306383.2853,354848.173
10000930,307225.181,432445.1238
10000931,308147.9028,506479.3798
10000932,309213.3698,573919.7143
10000933,309802.0305,635346.5697
10000934,310795.1005,690085.1935
10000965,306287.1567,314257.1063
10000966,306945.5752,404382.1825
10000967,307730.3753,485383.9803
10000968,308472.2962,557405.027
10000969,309419.1172,622414.011
10000970,310378.9055,679865.4902
10001001,306109.0558,302297.9102
10001002,306908.8367,395913.5093
10001003,307634.5047,479490.2445
10001004,308396.121,553239.7097
10001005,309334.579,619226.9737
10001006,310646.1803,676977.8025
10001037,306052.4952,305968.0502
10001038,306883.4115,393974.2767
10001039,307473.6238,473378.6798
10001040,308663.9993,544633.6005
10001041,309390.7892,609162.7622
10001073,306889.0393,366713.3253
10001074,307975.8838,452393.8878
10001075,308686.5815,528365.4372
10001076,309633.1093,596427.1675
10001077,310651.5958,656102.6002
