o1,oWA
o2,oOR_N
o3,oOR_S
o4,oCA_NNN
o5,oCA_NN
o6,oCA_N
o7,oCA_S
o8,oTX
o9,oLA
o10,oFL_W
o11,oFL_E
o12,oSC
o13,oNC_S
o14,oNC_N
o15,oVA
o16,oNJ
o17,oNY
o18,oRI
o19,oNH
o20,oME
o21,oMS
o22,oAL
o23,oGA
o24,oMD
o25,oDE
o26,oCT
o27,oMA
