sc_point_gid,latitude,longitude,places_fmv_all_rev
34925,40.694,-73.987,5772983
34545,40.789,-73.954,4334488
34926,40.671,-73.846,2268032
34546,40.766,-73.813,1197902
35306,40.576,-73.88,1353088.4
35305,40.599,-74.021,2687209.8
34927,40.649,-73.706,2057728.4
35307,40.554,-73.739,1862026.2
34547,40.743,-73.672,1956645.1
34165,40.884,-73.921,1427593.8
34166,40.861,-73.779,1607710.2
34167,40.838,-73.638,2137236.2
34928,40.626,-73.565,1511586.9
34548,40.721,-73.531,2356656.2
33786,40.956,-73.745,2527459.2
33785,40.979,-73.887,1302900.4
34168,40.815,-73.497,1973046
33787,40.933,-73.604,1070217.1
34929,40.603,-73.424,544283.5
36066,40.386,-73.947,596344.44
34164,40.906,-74.062,1375977.6
34549,40.698,-73.39,1947880.9
34930,40.58,-73.284,47463.19
36065,40.409,-74.087,623923.7
33406,41.051,-73.712,1606518.2
33784,41.001,-74.029,1195871.1
33788,40.91,-73.463,1161574.9
33405,41.074,-73.853,766653.8
34169,40.792,-73.356,1697451.9
33407,41.028,-73.57,2255321.8
33404,41.096,-73.995,957471.06
35684,40.526,-74.195,405604.1
34544,40.811,-74.095,896310.8
35685,40.504,-74.054,94809.58
36446,40.291,-73.98,597722.1
36064,40.431,-74.227,300541
34550,40.674,-73.249,1005134.4
33789,40.887,-73.321,1650911.5
36445,40.314,-74.12,541591.25
35304,40.621,-74.162,566836.94
33026,41.146,-73.678,850962.94
33025,41.168,-73.819,715920.6
33783,41.023,-74.17,1155535.1
33024,41.191,-73.962,408070.56
34170,40.769,-73.215,1407561.2
33403,41.118,-74.137,610856.6
33027,41.123,-73.536,1522879.6
34163,40.928,-74.204,722121.7
36444,40.336,-74.26,464448.1
36826,40.196,-74.013,498695.28
35683,40.548,-74.335,523264.16
34551,40.651,-73.109,385973.1
36063,40.453,-74.368,375760.53
33790,40.864,-73.18,1266899.8
33023,41.213,-74.104,109343.26
33782,41.046,-74.312,195807.4
32645,41.263,-73.786,319017.88
33402,41.141,-74.279,73556.19
33028,41.1,-73.394,1601418.1
36825,40.219,-74.153,168889.3
34162,40.951,-74.345,425604.3
32644,41.286,-73.928,260942.47
34171,40.746,-73.074,968483.56
32646,41.241,-73.643,456932.2
36443,40.358,-74.401,298380
35682,40.57,-74.476,648399.9
32647,41.218,-73.501,702503.3
33022,41.236,-74.246,75778.016
42565,37.744,-122.58,250915.58
42566,37.772,-122.447,1421919.4
32643,41.308,-74.07,73214.2
36824,40.241,-74.293,393403.3
