r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p53007,0.092,0.184,0.398,0.892,1.35,2.046,3.473,3.426460653,3.557594999,3.660161108,3.729603381,3.77007295,3.353,3.353,3.353,3.353,3.353,3.353,3.353,3.353,3.353
p53029,0.1125,0.225,0.486,1.174,1.85,2.838,4.848,4.546472843,4.733203486,4.920968171,5.113327391,5.308235728,4.912,4.912,4.913,4.948,5.053,5.185,5.429,5.774,6.224
p53033,2.6285,5.257,11.367,26.837,50.081,76.746,129.632,104.6444967,111.0292189,118.2746185,131.0789297,147.4803515,140.07,140.074,140.246,141.404,143.221,145.634,150.289,157.828,167.687
p53035,0.2965,0.593,1.282,2.923,4.512,6.859,11.616,10.99880585,11.42080303,11.79045635,12.13650537,12.48745308,11.291,11.291,11.293,11.339,11.427,11.545,11.777,12.251,12.86
p53037,0.06025,0.1205,0.261,0.621,0.982,1.52,2.607,2.498567341,2.626020764,2.746485341,2.870893626,3.106684032,2.919,2.919,2.919,2.948,3.019,3.182,3.411,3.708,4.016
p53053,0.928,1.856,4.013,9.005,13.837,21.006,35.503,33.89058786,35.23642407,36.39420559,37.43729824,38.49454742,34.729,34.729,34.731,34.857,35.11,35.435,36.247,37.476,39.098
p53055,0.03475,0.0695,0.15,0.362,0.569,0.873,1.491,1.392861876,1.459961443,1.5304342,1.603963041,1.682084442,1.53,1.53,1.53,1.54,1.556,1.608,1.696,1.809,1.935
p53057,0.1385,0.277,0.599,1.398,2.195,3.346,5.675,5.415095436,5.625520036,5.822636252,6.030990019,6.25497042,5.673,5.673,5.675,5.715,5.777,5.842,6.04,6.449,6.945
p53061,0.84425,1.6885,3.651,8.434,13.207,20.347,34.692,33.35204185,34.91175241,37.13104089,40.93998868,45.69063059,43.617,43.617,43.62,43.963,44.888,46.217,48.333,51.054,54.414
p53067,0.322,0.644,1.392,3.185,4.95,7.544,12.765,12.01764905,12.48394356,12.91590404,13.37117872,13.84571378,12.533,12.533,12.539,12.613,12.737,12.908,13.354,14.011,14.875
p53073,0.25025,0.5005,1.082,2.529,3.939,6.019,10.233,9.642732692,10.03086881,10.3931983,10.74388281,11.07634615,10.057,10.057,10.059,10.102,10.223,10.441,10.766,11.185,11.655
p53003,0.035,0.07,0.151,0.364,0.569,0.886,1.492,1.44600114,1.536354774,1.651602671,1.864245531,2.274636915,2.216,2.216,2.225,2.244,2.313,2.375,2.458,2.635,2.95
p53005,0.1985,0.397,0.858,1.994,3.126,4.813,8.186,7.793077524,8.132706729,8.487251004,8.872963367,9.718085447,9.107,9.107,9.107,9.149,9.312,9.676,10.225,10.815,11.659
p53009,0.09025,0.1805,0.39,0.886,1.363,2.069,3.524,3.440767378,3.586242498,3.699458991,3.795230163,3.849904497,3.444,3.444,3.444,3.445,3.463,3.497,3.554,3.63,3.73
p53011,0.48025,0.9605,2.077,4.756,7.371,11.207,18.979,18.0857443,18.77896626,19.36839801,19.92273372,21.07552859,19.341,19.341,19.341,19.426,19.594,19.827,20.284,21.203,22.392
p53013,0.00575,0.0115,0.025,0.057,0.087,0.133,0.226,0.218688512,0.228118975,0.236878903,0.243597716,0.256360463,0.236,0.236,0.236,0.237,0.24,0.245,0.253,0.265,0.276
p53015,0.1235,0.247,0.534,1.199,1.839,2.794,4.727,4.498443123,4.682274598,4.830364719,4.948704278,5.081109353,4.581,4.582,4.582,4.59,4.626,4.669,4.725,4.802,4.894
p53023,0.003,0.006,0.013,0.031,0.048,0.071,0.122,0.117519527,0.122017126,0.125534902,0.127916609,0.131553395,0.119,0.119,0.119,0.12,0.121,0.122,0.124,0.126,0.13
p53027,0.10275,0.2055,0.444,1.047,1.638,2.493,4.238,3.947634208,4.098714429,4.223430757,4.350277013,4.511044639,4.108,4.108,4.109,4.136,4.173,4.231,4.304,4.448,4.711
p53031,0.0465,0.093,0.201,0.483,0.762,1.165,1.986,1.892575344,1.965006244,2.034757025,2.113404839,2.184685876,1.98,1.98,1.981,1.994,2.013,2.039,2.095,2.233,2.42
p53039,0.02675,0.0535,0.116,0.276,0.439,0.681,1.168,1.113880737,1.16712034,1.223692396,1.281390723,1.385246011,1.317,1.317,1.318,1.334,1.375,1.449,1.538,1.645,1.784
