file,Scenario,DisplayName,ReedsTech
csp_ATB_2022_moderate,Moderate,CSP - Class 2,csp1
csp_ATB_2022_moderate,Moderate,CSP - Class 2,csp2
csp_ATB_2022_moderate,Moderate,CSP - Class 2,csp3
csp_ATB_2022_moderate,Moderate,CSP - Class 2,csp4
csp_ATB_2022_advanced,Advanced,CSP - Class 2,csp1
csp_ATB_2022_advanced,Advanced,CSP - Class 2,csp2
csp_ATB_2022_advanced,Advanced,CSP - Class 2,csp3
csp_ATB_2022_advanced,Advanced,CSP - Class 2,csp4
csp_ATB_2022_conservative,Conservative,CSP - Class 2,csp1
csp_ATB_2022_conservative,Conservative,CSP - Class 2,csp2
csp_ATB_2022_conservative,Conservative,CSP - Class 2,csp3
csp_ATB_2022_conservative,Conservative,CSP - Class 2,csp4
