r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p53007,0.09225,0.1845,0.369,0.881,1.41,2.049,3.353,3.426459421,3.557707765,3.660615691,3.730440599,3.77209358,3.353,3.353,3.353,3.353,3.353,3.353,3.353,3.353,3.353
p53029,0.11175,0.2235,0.447,1.131,1.851,2.703,4.446,4.546471209,4.733353516,4.9204876,5.113362658,5.30883078,4.906,4.906,4.907,4.942,5.049,5.181,5.424,5.755,6.2
p53033,2.629,5.258,10.516,26.17,42.758,62.53,101.601,104.6403714,111.0200056,118.2183446,130.925893,147.2027739,139.737,139.741,139.927,140.962,142.818,145.278,149.803,157.241,166.711
p53035,0.295,0.59,1.18,2.82,4.535,6.591,10.762,10.99880189,11.42116504,11.79192069,12.13589205,12.48964597,11.284,11.284,11.286,11.332,11.42,11.537,11.767,12.225,12.829
p53037,0.0605,0.121,0.242,0.608,1.003,1.475,2.435,2.498566443,2.626104002,2.746826448,2.869312945,3.102724156,2.912,2.912,2.913,2.941,3.012,3.165,3.398,3.711,4.038
p53053,0.927,1.854,3.708,8.744,13.999,20.338,33.142,33.89057567,35.23754097,36.39763392,37.43902672,38.50280429,34.718,34.718,34.72,34.844,35.103,35.428,36.218,37.42,38.994
p53055,0.0345,0.069,0.138,0.348,0.568,0.829,1.363,1.392861375,1.46000772,1.530624277,1.603210529,1.680736,1.528,1.528,1.528,1.538,1.554,1.606,1.693,1.805,1.929
p53057,0.139,0.278,0.556,1.369,2.228,3.24,5.299,5.415093489,5.62569835,5.823359409,6.031231282,6.2549479,5.668,5.668,5.67,5.71,5.771,5.836,6.032,6.437,6.983
p53061,0.8465,1.693,3.386,8.277,13.519,19.816,32.534,33.35202986,34.91179797,37.12255155,40.89021274,45.58799528,43.473,43.473,43.476,43.81,44.737,46.065,48.169,50.915,54.148
p53067,0.32025,0.6405,1.281,3.072,4.957,7.209,11.76,12.01764473,12.48433927,12.91750816,13.37195513,13.84750966,12.526,12.526,12.532,12.605,12.728,12.899,13.353,14.004,14.852
p53073,0.24875,0.4975,0.995,2.437,3.952,5.76,9.435,9.642729226,10.03012571,10.39339737,10.73739404,11.08903263,10.048,10.048,10.05,10.098,10.216,10.437,10.764,11.15,11.637
p53003,0.03475,0.0695,0.139,0.361,0.582,0.863,1.398,1.452132072,1.543830837,1.658358257,1.861326311,2.251106249,2.17,2.17,2.177,2.193,2.26,2.322,2.402,2.54,2.833
p53005,0.199,0.398,0.796,1.954,3.19,4.658,7.626,7.793074722,8.132964514,8.487213357,8.872730026,9.722169019,9.099,9.099,9.099,9.141,9.303,9.664,10.206,10.781,11.613
p53009,0.0905,0.181,0.362,0.875,1.405,2.047,3.358,3.440766141,3.586356172,3.699918455,3.796082113,3.850842924,3.443,3.443,3.443,3.445,3.463,3.497,3.553,3.629,3.728
p53011,0.48175,0.9635,1.927,4.632,7.462,10.84,17.698,18.0857378,18.77956151,19.37407875,19.92831852,21.07557445,19.323,19.323,19.324,19.407,19.575,19.813,20.262,21.162,22.34
p53013,0.00575,0.0115,0.023,0.056,0.09,0.131,0.214,0.218688433,0.228126206,0.236908322,0.243652398,0.256497864,0.235,0.235,0.235,0.236,0.239,0.245,0.253,0.264,0.275
