r,2010.spring.hydED,2010.summer.hydED,2010.fall.hydED,2010.winter.hydED,2012.spring.hydED,2012.summer.hydED,2012.fall.hydED,2012.winter.hydED,2014.spring.hydED,2014.summer.hydED,2014.fall.hydED,2014.winter.hydED,2010.spring.hydEND,2010.summer.hydEND,2010.fall.hydEND,2010.winter.hydEND,2012.spring.hydEND,2012.summer.hydEND,2012.fall.hydEND,2012.winter.hydEND,2014.spring.hydEND,2014.summer.hydEND,2014.fall.hydEND,2014.winter.hydEND
p11,1,1,1,1,1,1,1,1,1,1,1,1,0.958110313,1.033170018,1.028304085,0.908000068,1.066875145,1.011249155,1.112919315,0.964114326,0.864559083,0.971379897,0.893080814,0.794468199
p12,1,1,1,1,1,1,1,1,1,1,1,1,0.949564068,1.036015821,1.127244589,1.099614961,1.212972326,1.335090401,1.171425367,1.278591731,0.952028056,0.798620578,0.899764481,0.779736498
p13,0.967906593,1.040780905,1.140417813,1.17205867,1.00938651,1.111361493,0.957570515,1.120839978,1.305578303,1.073658587,1.175766948,1.135833262,1,1,1,1,1,1,1,1,1,1,1,1
p14,0.835074447,1.114586675,1.03699736,0.912119173,1.026571461,0.955668033,0.935274479,0.94693123,1.144934722,1.028086093,0.972493362,0.911552201,0.803116036,1.020897687,1.064763057,0.923004431,1.13314327,1.116573423,1.006655869,1.0828162,1.098872715,1.000837067,0.962123195,0.952930791
p15,0.995688182,1.173283595,1.057718894,0.938964183,1.211314093,1.192950788,1.245277813,1.226303051,0.852230807,0.815894157,0.81168739,0.795188642,0.649634733,1.034249269,1.041628116,0.97208589,1.256919691,1.1098785,1.138281379,1.269958246,1.115991579,0.918388069,0.935681807,0.808727721
p16,0.929712879,1.107028516,1.135943358,1.078471613,1.620963582,1.456449006,1.612787374,1.744928455,0.816913902,0.684188595,0.714268066,0.716775799,0.927973664,1.050751548,1.059776793,1.141271498,1.350358471,1.113864684,1.192215351,1.468696379,0.973538611,0.759988795,0.778853989,0.887858706
p17,0.791116358,1.015589025,1.073153798,0.926768308,1.132076764,1.169852735,1.064001027,1.13778745,1.094359163,1.008619773,0.99267137,0.990177042,0.650724923,0.813987893,1.048831619,0.915466302,1.273293485,1.123371592,1.031358286,1.172508418,1.211006077,0.969068718,0.99263307,1.049803633
p18,1.076177361,1.399759776,1.190922583,1.094612333,1.244620813,1.161555459,1.055328352,1.133913142,1.502342317,0.799178351,1.223610301,1.073898089,0.997305858,1.175383416,1.158052466,1.121191301,1.06170727,1.000630504,0.922189702,1.025955729,1.074371136,0.918945079,0.98313124,0.955460408
p19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
