i,szn,r,value
hydUD,summer,p1,0.950532
hydUD,summer,p9,1.017438
hydUD,summer,p16,1.005758
hydUD,summer,p18,1
hydUD,summer,p21,1
hydUD,summer,p31,1
hydUD,summer,p33,1
hydUD,summer,p43,1
hydUD,summer,p53,1
hydUD,summer,p77,1
hydUD,summer,p97,1
hydUD,summer,p122,1
hydUD,summer,p134,1
hydUD,summer,p2,0.973705
hydUD,summer,p93,1
hydUD,summer,p98,1
hydUD,summer,p109,1
hydUD,summer,p110,1
hydUD,summer,p5,1.002497
hydUD,summer,p17,1.158301
hydUD,summer,p25,1
hydUD,summer,p115,1
hydUD,summer,p116,1
hydUD,summer,p131,1
hydUD,summer,p70,1
hydUD,summer,p76,1
hydUD,summer,p127,1
hydUD,summer,p56,1
hydUD,summer,p74,1
hydUD,summer,p3,1.009411
hydUD,summer,p4,0.84599
hydUD,summer,p6,1
hydUD,summer,p7,1.168421
hydUD,summer,p10,1
hydUD,summer,p13,1
hydUD,summer,p14,0.991514
hydUD,summer,p15,1.164834
hydUD,summer,p24,1
hydUD,summer,p26,1
hydUD,summer,p27,1
hydUD,summer,p28,0.973714
hydUD,summer,p34,1
hydUD,summer,p36,1
hydUD,summer,p38,1
hydUD,summer,p40,1
hydUD,summer,p46,1
hydUD,summer,p50,1
hydUD,summer,p51,1
hydUD,summer,p55,1
hydUD,summer,p63,1
hydUD,summer,p66,1
hydUD,summer,p72,1
hydUD,summer,p75,1
hydUD,summer,p85,1
hydUD,summer,p89,1
hydUD,summer,p90,1
hydUD,summer,p92,1
hydUD,summer,p94,1
hydUD,summer,p95,1
hydUD,summer,p96,1
hydUD,summer,p99,1
hydUD,summer,p101,1
hydUD,summer,p103,1
hydUD,summer,p118,1
hydUD,summer,p129,1
hydUD,summer,p130,1
hydUD,summer,p132,1
hydUD,summer,p137,1
hydUD,summer,p138,1
hydUD,summer,p139,1
hydUD,summer,p140,1
hydUD,summer,p141,1
hydUD,summer,p142,1
hydUD,summer,p143,1
hydUD,summer,p144,1
hydUD,summer,p145,1
hydUD,summer,p146,1
hydUD,summer,p147,1
