region,year,capacity
i6558,2012,184.6
i7622,2010,6.0
i8006,2022,26.0739
i8007,2022,18.5145
i8010,2020,0.972
i8011,2020,2.1384
i8385,2022,7.1685
i8386,2022,18.1521
i8387,2022,19.1241
i8389,2020,17.3745
i8390,2020,26.9562
i8391,2020,0.4374
i8402,2012,1.8468
i8403,2010,19.9989
i8765,2022,14.9445
i8766,2022,23.5224
i8769,2020,3.9949
i8770,2020,52.7067
i8771,2020,31.4199
i8782,2010,3.8637
i8783,2010,57.5181
i8784,2010,16.5977
i8894,2020,12.0013
i8895,2020,2.6973
i8913,2015,143.3943
i9162,2012,2.4532
i9163,2010,2.7216
i9273,2020,68.2468
i9274,2020,57.9312
i9275,2020,6.3666
i9293,2015,4.6057
i9544,2010,1.6767
i9547,2010,41.553
i9653,2020,1.944
i9654,2020,2.3571
i9655,2020,4.0095
i9924,2010,25.5393
i9925,2010,0.0243
i9926,2010,4.3254
i9927,2010,16.8813
i10032,2017,63.0096
i10033,2017,49.7385
i10034,2020,24.3333
i10035,2020,19.5129
i10310,2021,16.2828
i10315,2020,9.5724
i10323,2012,73.3335
i10411,2020,170.0271
i10412,2020,128.7729
i10413,2017,37.2519
i10628,2015,13.2678
i10690,2021,25.3692
i10691,2021,60.6528
i10695,2020,134.4276
i10703,2012,31.9665
i10736,2014,9.8785
i10737,2016,25.0
i11008,2015,123.3711
i11009,2015,9.5386
i11070,2021,23.6952
i11117,2014,0.1215
i11388,2015,1.8225
i12530,2010,25.5
i12597,2014,57.1153
i12598,2012,77.3955
i12599,2012,242.1009
i12644,2020,4.6943
i12645,2012,34.3845
i12957,2010,10.2557
i12961,2024,12.9552
i12962,2024,47.0448
i12963,2011,46.0782
i12977,2014,209.6847
i12979,2012,23.2036
i13024,2020,75.3057
i13025,2012,5.6155
i13084,2018,90.6876
i13337,2010,39.7443
i13343,2011,105.1218
i13344,2011,50.0
i13464,2018,9.3124
i13492,2020,4.6
i13669,2011,60.0
i14097,2010,9.0
i14103,2012,127.1619
i14479,2021,200.0
i14481,2011,118.9728
i14482,2012,137.8381
i14483,2012,290.0
i14492,2010,66.1
i14496,2016,0.0486
i14795,2010,36.8145
i14810,2016,11.226
i14811,2016,28.674
i14859,2010,130.7826
i14860,2010,30.2174
i14862,2011,82.0272
i14863,2012,290.0
i14864,2019,2.0765
i14867,2020,40.0
i15176,2010,29.1855
i15242,2019,105.5835
i15243,2019,92.34
i15245,2020,222.7581
i15246,2020,77.2419
i15560,2016,31.4277
i15561,2016,124.659
i15571,2016,5.2431
i15572,2016,45.7569
i15619,2010,32.6349
i15620,2010,34.6032
i15621,2010,31.4619
i15632,2016,0.0243
i15633,2016,0.0243
i15758,2016,2.4711
i15941,2016,29.9133
i15949,2016,9.1
i15951,2012,34.5
i15952,2020,72.6
i16013,2016,9.9028
i16065,2018,2.7
i16066,2021,80.0
i16119,2010,36.8
i16120,2012,63.1311
i16125,2010,102.4
i16138,2016,145.9944
i16139,2016,46.5345
i16444,2018,2.7
i16445,2012,9.6
