region,year,capacity
i6558,2012,184.6
i7622,2010,6.0
i8390,2020,84.545
i8391,2020,3.621
i8403,2010,3.5
i8770,2020,48.634
i8782,2012,4.3
i8783,2010,97.2
i8913,2015,148.0
i9274,2020,128.085
i9275,2020,37.562
i9545,2010,90.0
i9654,2020,12.174
i9655,2020,21.578
i10033,2017,81.352
i10323,2012,105.3
i10411,2021,170.027
i10412,2021,128.773
i10413,2017,68.648
i10690,2022,126.0
i10695,2020,144.0
i10737,2016,25.0
i11008,2015,148.0
i11117,2014,10.0
i12530,2010,25.5
i12598,2012,22.426
i12599,2012,320.274
i12644,2012,40.0
i12962,2011,50.0
i12977,2014,266.8
i13024,2020,80.0
i13084,2018,100.0
i13338,2010,50.0
i13341,2024,60.0
i13343,2011,148.8
i13492,2020,4.6
i13669,2011,60.0
i14098,2010,9.0
i14479,2021,201.3
i14481,2011,199.2
i14482,2012,265.0
i14483,2012,290.0
i14492,2010,66.1
i14599,2023,68.016
i14600,2023,81.867
i14795,2010,66.0
i14811,2016,39.9
i14859,2010,161.0
i14862,2019,200.0
i14863,2012,290.0
i14873,2016,10.0
i14980,2023,0.118
i15240,2010,98.7
i15245,2020,200.0
i15246,2020,100.0
i15561,2016,163.442
i15572,2016,51.0
i15941,2016,22.558
i15949,2016,9.1
i15951,2012,34.5
i15952,2020,72.6
i16006,2020,10.0
i16007,2020,10.0
i16064,2018,2.7
i16065,2018,2.7
i16066,2023,80.0
i16120,2012,105.0
i16125,2010,102.4
i16138,2016,167.403
i16139,2016,27.597
i16386,2020,10.0
i16387,2020,10.0
i16444,2023,253.255
i16445,2012,9.6
i16446,2014,9.7
i16449,2022,80.0
i16498,2019,106.7
i16499,2012,45.0
i16500,2015,205.0
i16502,2017,99.3
i16523,2010,62.4
i16824,2023,178.799
i16825,2023,167.946
i16826,2018,2.7
i16877,2016,104.0
i16879,2010,36.8
i16880,2012,105.0
i17210,2012,10.0
i17590,2012,10.0
i17632,2016,150.0
i17837,2012,50.6
i17838,2015,25.7
i17839,2014,8.5
i18012,2016,150.0
i18053,2014,50.0
i18212,2012,88.585
i18213,2012,10.415
i18217,2021,15.3
i18219,2017,22.8
i18354,2018,1.6
i18575,2012,101.793
i18585,2012,65.0
i18587,2011,40.0
i18598,2011,20.0
i18728,2018,25.0
i18729,2018,79.7
i18813,2018,2.0
i18953,2016,1.134
i18955,2012,113.507
i18973,2016,12.1
i19110,2021,80.0
i19111,2021,80.0
i19146,2010,19.5
i19169,2019,200.0
i19333,2016,6.068
i19341,2012,10.0
i19533,2018,48.0
i19552,2022,95.055
i19713,2016,11.74
i19714,2016,58.757
i19913,2015,107.5
i19931,2022,3.908
i19932,2022,153.036
i20315,2020,150.0
i20316,2020,150.0
i20394,2012,28.0
i20577,2017,10.0
i20578,2011,3.0
i20774,2021,72.8
i20956,2017,10.0
i20957,2017,10.0
i21336,2017,10.0
i21337,2017,10.0
i21447,2015,97.8
i21475,2010,20.0
i22012,2012,48.0
i22241,2016,78.0
i23367,2021,32.124
