*tech,region,sc_point_gid,year,capacity
upv_2,p17031,36731,2010,9
upv_5,p08003,52183,2010,6.7
upv_5,p32003,55914,2010,10
upv_5,p06065,63512,2010,21
upv_4,p12049,89232,2010,25
upv_2,p17031,36731,2011,9
upv_5,p08003,52183,2011,6.7
upv_5,p32003,55914,2011,10
upv_5,p06065,63512,2011,21
upv_4,p12049,89232,2011,25
upv_2,p17031,36731,2012,9
upv_5,p08003,52183,2012,6.7
upv_5,p32003,55914,2012,10
upv_5,p06065,63512,2012,21
upv_4,p12049,89232,2012,25
upv_2,p17031,36731,2013,9
upv_5,p08003,52183,2013,6.7
upv_5,p32003,55914,2013,10
upv_5,p06065,63512,2013,21
upv_4,p12049,89232,2013,25
upv_2,p17031,36731,2014,9
upv_5,p08003,52183,2014,6.7
upv_5,p32003,55914,2014,10
upv_5,p06065,63512,2014,21
upv_4,p12049,89232,2014,25
upv_2,p17031,36731,2015,9
upv_5,p08003,52183,2015,6.7
upv_5,p32003,55914,2015,10
upv_5,p06065,63512,2015,21
upv_4,p12049,89232,2015,25
upv_2,p17031,36731,2016,9
upv_5,p08003,52183,2016,6.7
upv_5,p32003,55914,2016,10
upv_5,p06065,63512,2016,21
upv_4,p12049,89232,2016,25
upv_2,p17031,36731,2017,9
upv_5,p08003,52183,2017,6.7
upv_5,p32003,55914,2017,10
upv_5,p06065,63512,2017,21
upv_4,p12049,89232,2017,25
upv_2,p17031,36731,2018,9
upv_5,p08003,52183,2018,6.7
upv_5,p32003,55914,2018,10
upv_5,p06065,63512,2018,21
upv_4,p12049,89232,2018,25
upv_2,p17031,36731,2019,9
upv_5,p08003,52183,2019,6.7
upv_5,p32003,55914,2019,10
upv_5,p06065,63512,2019,21
upv_4,p12049,89232,2019,25
upv_2,p17031,36731,2020,9
upv_5,p08003,52183,2020,6.7
upv_5,p32003,55914,2020,10
upv_5,p06065,63512,2020,21
upv_4,p12049,89232,2020,25
upv_2,p17031,36731,2021,9
upv_5,p08003,52183,2021,6.7
upv_5,p32003,55914,2021,10
upv_5,p06065,63512,2021,21
upv_4,p12049,89232,2021,25
upv_2,p17031,36731,2022,9
upv_5,p08003,52183,2022,6.7
upv_5,p32003,55914,2022,10
upv_5,p06065,63512,2022,21
upv_4,p12049,89232,2022,25
upv_2,p17031,36731,2023,9
upv_5,p08003,52183,2023,6.7
upv_5,p32003,55914,2023,10
upv_5,p06065,63512,2023,21
upv_4,p12049,89232,2023,25
upv_2,p17031,36731,2024,9
upv_5,p08003,52183,2024,6.7
upv_5,p32003,55914,2024,10
upv_5,p06065,63512,2024,21
upv_4,p12049,89232,2024,25
upv_2,p17031,36731,2025,9
upv_5,p08003,52183,2025,6.7
upv_5,p32003,55914,2025,10
upv_5,p06065,63512,2025,21
upv_4,p12049,89232,2025,25
upv_2,p17031,36731,2026,9
upv_5,p08003,52183,2026,6.7
upv_5,p32003,55914,2026,10
upv_5,p06065,63512,2026,21
upv_4,p12049,89232,2026,25
upv_2,p17031,36731,2027,9
upv_5,p08003,52183,2027,6.7
upv_5,p32003,55914,2027,10
upv_5,p06065,63512,2027,21
upv_4,p12049,89232,2027,25
upv_2,p17031,36731,2028,9
upv_5,p08003,52183,2028,6.7
upv_5,p32003,55914,2028,10
upv_5,p06065,63512,2028,21
upv_4,p12049,89232,2028,25
upv_2,p17031,36731,2029,9
upv_5,p08003,52183,2029,6.7
upv_5,p32003,55914,2029,10
upv_5,p06065,63512,2029,21
upv_4,p12049,89232,2029,25
upv_2,p17031,36731,2030,9
upv_5,p08003,52183,2030,6.7
upv_5,p32003,55914,2030,10
upv_5,p06065,63512,2030,21
upv_4,p12049,89232,2030,25
upv_2,p17031,36731,2031,9
upv_5,p08003,52183,2031,6.7
upv_5,p32003,55914,2031,10
upv_5,p06065,63512,2031,21
upv_4,p12049,89232,2031,25
upv_2,p17031,36731,2032,9
upv_5,p08003,52183,2032,6.7
upv_5,p32003,55914,2032,10
upv_5,p06065,63512,2032,21
upv_4,p12049,89232,2032,25
upv_2,p17031,36731,2033,9
upv_5,p08003,52183,2033,6.7
upv_5,p32003,55914,2033,10
upv_5,p06065,63512,2033,21
upv_4,p12049,89232,2033,25
upv_2,p17031,36731,2034,9
upv_5,p08003,52183,2034,6.7
upv_5,p32003,55914,2034,10
upv_5,p06065,63512,2034,21
upv_4,p12049,89232,2034,25
upv_2,p17031,36731,2035,9
upv_5,p08003,52183,2035,6.7
upv_5,p32003,55914,2035,10
upv_5,p06065,63512,2035,21
upv_4,p12049,89232,2035,25
upv_2,p17031,36731,2036,9
upv_5,p08003,52183,2036,6.7
upv_5,p32003,55914,2036,10
upv_5,p06065,63512,2036,21
upv_4,p12049,89232,2036,25
upv_2,p17031,36731,2037,9
upv_5,p08003,52183,2037,6.7
upv_5,p32003,55914,2037,10
upv_5,p06065,63512,2037,21
upv_4,p12049,89232,2037,25
upv_2,p17031,36731,2038,9
upv_5,p32003,55914,2038,10
upv_5,p06065,63512,2038,21
upv_4,p12049,89232,2038,25
upv_2,p17031,36731,2039,9
upv_5,p06065,63512,2039,21
upv_4,p12049,89232,2039,25
