region,year,capacity
s64,2012,184.6
s1,2010,6.0
s5,2022,127.5
s3,2020,136.0
s4,2012,4.3
s4,2010,190.7
s99,2015,148.0
s97,2020,498.2
s97,2017,150.0
s8,2012,105.3
s7,2021,126.0
s8,2020,144.0
s64,2016,25.0
s355,2015,173.7
s64,2014,10.0
s356,2010,25.5
s9,2012,342.7
s66,2012,60.0
s5,2011,201.2
s9,2014,266.8
s66,2020,80.0
s99,2018,100.0
s5,2010,50.0
s5,2024,60.0
s120,2020,4.6
s356,2011,60.0
s16,2010,334.8
s16,2021,200.0
s16,2011,201.0
s16,2012,845.0
s355,2010,66.0
s356,2016,100.0
s16,2019,200.0
s16,2020,340.0
s16,2016,10.0
s355,2016,186.0
s356,2012,34.5
s356,2020,72.6
s67,2018,110.1
s66,2021,160.0
s100,2012,255.0
s100,2010,139.2
s102,2016,195.0
s67,2012,9.6
s66,2014,9.7
s100,2019,106.7
s100,2015,205.0
s100,2017,99.3
s102,2010,62.4
s66,2018,2.7
s100,2016,104.0
s98,2016,300.0
s355,2012,50.6
s355,2014,8.5
s120,2014,50.0
s353,2012,147.0
s355,2021,15.3
s355,2017,22.8
s338,2012,215.0
s351,2012,65.0
s351,2011,40.0
s355,2011,20.0
s121,2018,2.0
s338,2016,77.7
s338,2021,200.0001
s353,2016,12.1
s67,2021,160.0
s98,2010,19.5
s101,2019,200.0
s350,2012,10.0
s98,2018,48.0
s98,2015,107.5
s191,2020,145.3001
s211,2012,28.0
s101,2020,300.0
s19,2017,50.0
s19,2011,3.0
s67,2020,240.0
s109,2015,97.8
s121,2010,20.0
s124,2016,78.0
s336,2018,25.2676
s337,2018,54.6324
s112,2010,309.0
s112,2020,607.6
s109,2019,200.0
s112,2019,298.1
s337,2020,78.0
s95,2020,103.5
s109,2020,200.6
s121,2011,20.0
s124,2011,20.0
s354,2019,28.8
s109,2014,19.5
s348,2012,14.0
s122,2011,0.4
s122,2018,44.6
s127,2011,2.5
s218,2012,289.4
s218,2017,249.0
s337,2011,74.0
s352,2017,30.0
s123,2020,655.0
s197,2010,20.0
s218,2016,79.4
s347,2012,28.5
s348,2011,4.5999
s44,2012,177.9
s110,2020,250.2
s123,2017,200.0
s218,2014,317.8
s334,2021,12.0
s340,2019,2.3
s347,2010,3.0
s47,2010,124.5
s47,2012,115.8
s214,2020,367.616
s347,2011,15.0
s347,2019,7.3
s44,2010,60.3
s218,2018,44.0
s218,2013,175.1
s218,2011,90.0
s44,2011,55.4
s123,2011,64.9
s176,2021,400.0
s128,2011,47.8
s212,2012,100.8
s218,2019,123.9
s46,2010,21.0
s123,2019,100.0
s345,2016,3.4617
s345,2019,21.0
s46,2011,211.5
s110,2011,162.0
s214,2019,13.2615
s214,2011,26.237
s218,2020,130.0
s339,2021,99.9999
s349,2016,7.9
s349,2011,1.5
s123,2012,230.0
s176,2016,213.0
s176,2015,196.0
s194,2012,4.8
s215,2020,484.4836
s215,2019,148.0385
s215,2012,192.0
s333,2013,94.4
s349,2010,1.7
s110,2018,40.0
s176,2011,406.8
s215,2011,75.763
s333,2012,15.0
s343,2015,1.0
s346,2016,1.5
s123,2010,200.0
s176,2010,148.8
s193,2011,24.0
s215,2014,50.4
s176,2012,36.0
s335,2021,760.6999
