t,atb22_1p2_moderate,atb22_1p2_advanced
2010,2015.699027,2015.699027
2011,2015.699027,2015.699027
2012,2015.699027,2015.699027
2013,2015.699027,2015.699027
2014,2015.699027,2015.699027
2015,2015.699027,2015.699027
2016,2015.699027,2015.699027
2017,2015.699027,2015.699027
2018,2015.699027,2015.699027
2019,2015.699027,2015.699027
2020,2015.699027,2015.699027
2021,2015.699027,2015.699027
2022,2015.699027,2015.699027
2023,1996.821512,1996.821512
2024,1977.943998,1977.943998
2025,1924.457707,1888.80018
2026,1870.971417,1801.753865
2027,1818.533877,1714.707549
2028,1767.145088,1629.758734
2029,1715.756299,1545.858671
2030,1664.36751,1463.007358
2031,1615.076223,1381.204796
2032,1565.784936,1300.450985
2033,1516.493648,1221.794675
2034,1450.422348,1107.480839
2035,1385.399799,997.3620053
2036,1321.426001,888.2919227
2037,1257.452202,779.2218401
2038,1195.575905,673.2980099
2039,1181.942145,663.8592528
2040,1168.308385,654.4204956
2041,1153.625874,646.0304893
2042,1139.992113,636.5917321
2043,1126.358353,627.152975
2044,1112.724593,618.7629686
2045,1099.090832,609.3242115
2046,1084.408321,599.8854543
2047,1070.774561,591.495448
2048,1057.140801,582.0566908
2049,1043.50704,572.6179337
2050,1029.87328,563.1791765
