tech,class,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,p160,p161,p162,p163,p164,p165,p166,p167,p168,p169,p170,p171,p172,p173,p174,p175,p176,p177,p178,p179,p180,p181,p182,p183,p184,p185,p186,p187,p188,p189,p190,p191,p192,p193,p194,p195,p196,p197,p198,p199,p200,p201,p202,p203,p204,p205
hydED,hydclass1,2236.523081,3318.087419,1199.715729,8707.011394,3161.273646,103.0642687,215.1349048,0,5093.518198,27.11624909,0,0,817.3295843,49.02777014,1068.520706,268.4805938,544.4876975,270.2303048,0,0,0,0,0,0,0,0,862.3911919,65.62620059,0,0,0,0,0,87.55310868,0,508,0,1594,0,7.307970244,0,0,74.35192108,0,0,70.92450834,0,0,0,253.6662234,126.978653,0,0,0,18.38897397,614.2195778,0,0,0,0,0,0,109.1439689,0,0,52,0,0,0,0,0,240.1,0,49.28143729,41.05959837,53.37124444,0,0,0,0,0,0,0,0,133.5538211,0,0,0,735.8772434,487.5182001,0,1694.931662,241.1808923,2067.429251,65.51738812,213.1220339,552.1681325,298.0620353,343.3167859,0,42.56283662,0,5.060040134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.9553612,0,0,0,70.22639029,0,0,0,0,3662.9142,0,61.63380486,9.686617833,49.73040641,66.10273735,0,267.2424189,0,0,2494.96,6910.6,3622.6,178.4,770.18,851.6,4982.362,779.68,2818.43,2071.36,2756.605,1975.302,2651.388,157.93,29394.62,959.5,397.2,6323.852875,0,0,135,,450.8,151.4,204,,,,25,,,66,31.5,,,,,20.13,,,,1712.18,386.52,,,,3,153.29,1325,292,,,0.79,249.66,638,356.48,26,420,3508.48,,,,,,,,,,
hydED,hydclass2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydED,hydclass3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydED,hydclass4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydED,hydclass5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydEND,hydclass1,901.6269195,2249.052581,916.2542709,2049.440606,2840.190354,305.8657313,16.01509523,117.36,3748.405802,1204.974751,16.05,12.3,1.669415728,289.9722299,671.4732943,359.5804062,1306.312303,391.3096952,0,0,66.8,0,0,240.8,95.1,172.4,211.4078081,1031.070799,0,0,79.9,0,306.115,270.4468913,199.5,0,0,0,38,238.2920298,0,1.1,79.29807892,1.4,0,91.83049166,0,0,0,162.8337766,311.721347,0,2.59,0,281.811026,176.9804222,0,192,0,0,75.8,0,3.056031128,319.1,37,89,0,6.66,0.475,145,27,0,0,41.67856271,33.93040163,28.04975556,14.099,0,0,28.5,4.4,0,0,3,430.1461789,0,0,0,823.7827566,995.3817999,0,870.1983384,441.3191077,207.9507491,388.3226119,669.2779661,804.5318675,145.5779647,13.6032141,2.335,11.93716338,0,156.2519599,8.698,18.441,0,64.8,0,139.04,0,0,99.5,0,1.94,110.94,164.601,31.201,139.2546388,0,0,18,610.3536097,572.48,0,0,3.9,777.4818001,0,219.6461951,483.2993822,206.1195936,57.55126265,3.782,336.8635811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydEND,hydclass2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydEND,hydclass3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydEND,hydclass4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydEND,hydclass5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
