tech,region,year,capacity
wind-ons_4,i7317,2010,100.1646
wind-ons_5,i7696,2010,1.2354
wind-ons_4,i7697,2010,104.2
wind-ons_7,i8348,2010,2.8041
wind-ons_7,i8728,2010,6.4152
wind-ons_6,i8729,2010,8.1648
wind-ons_8,i8785,2010,10.4976
wind-ons_7,i8786,2010,29.646
wind-ons_6,i9108,2010,15.795
wind-ons_6,i9109,2010,8.8209
wind-ons_8,i9165,2010,25.1505
wind-ons_7,i9166,2010,70.0083
wind-ons_10,i9167,2010,3.8564
wind-ons_6,i9545,2010,15.7563
wind-ons_5,i9546,2010,117.6849
wind-ons_4,i10060,2010,14.1588
wind-ons_4,i10440,2010,118.5
wind-ons_3,i10441,2010,40.5
wind-ons_7,i10810,2010,126.6759
wind-ons_6,i10811,2010,22.3241
wind-ons_4,i10820,2010,26.3412
wind-ons_8,i11499,2010,0.0243
wind-ons_6,i11501,2010,1.0206
wind-ons_6,i11880,2010,2.916
wind-ons_6,i11881,2010,0.3645
wind-ons_9,i12219,2010,7.2
wind-ons_8,i12258,2010,2.9979
wind-ons_8,i12259,2010,0.6318
wind-ons_4,i12322,2010,1.8468
wind-ons_6,i12324,2010,4.7142
wind-ons_6,i12325,2010,7.1858
wind-ons_6,i12579,2010,51.6874
wind-ons_8,i12600,2010,68.6232
wind-ons_8,i12639,2010,1.0449
wind-ons_5,i12701,2010,2.3328
wind-ons_3,i12702,2010,115.5
wind-ons_3,i12703,2010,0.0729
wind-ons_6,i12910,2010,10.0116
wind-ons_5,i12911,2010,46.6317
wind-ons_10,i12958,2010,39.6333
wind-ons_8,i12959,2010,14.2398
wind-ons_8,i12960,2010,11.9799
wind-ons_7,i12978,2010,120.8439
wind-ons_7,i12980,2010,31.2984
wind-ons_3,i13082,2010,2.5803
wind-ons_3,i13083,2010,0.2672
wind-ons_6,i13291,2010,0.3567
wind-ons_10,i13338,2010,10.8135
wind-ons_9,i13339,2010,7.047
wind-ons_9,i13340,2010,18.7596
wind-ons_9,i13341,2010,31.104
wind-ons_7,i13342,2010,164.6568
wind-ons_8,i13350,2010,80.4816
wind-ons_10,i13351,2010,29.5928
wind-ons_8,i13357,2010,22.788
wind-ons_7,i13358,2010,28.5561
wind-ons_5,i13359,2010,64.2978
wind-ons_6,i13360,2010,20.9466
wind-ons_7,i13717,2010,16.7553
wind-ons_7,i13718,2010,46.1214
wind-ons_6,i13719,2010,142.4952
wind-ons_7,i13720,2010,38.9676
wind-ons_7,i13721,2010,98.9
wind-ons_6,i13722,2010,204.0
wind-ons_7,i13723,2010,34.3432
wind-ons_10,i13729,2010,14.5184
wind-ons_8,i13730,2010,83.1552
wind-ons_8,i13731,2010,64.152
wind-ons_9,i13738,2010,0.9963
wind-ons_8,i13739,2010,0.0729
wind-ons_5,i13740,2010,1.5768
wind-ons_7,i13895,2010,0.5346
wind-ons_7,i14098,2010,67.6389
wind-ons_7,i14099,2010,96.5722
wind-ons_7,i14100,2010,66.7278
wind-ons_7,i14101,2010,57.2751
wind-ons_7,i14102,2010,5.6209
wind-ons_9,i14104,2010,13.6566
wind-ons_9,i14105,2010,6.0993
wind-ons_10,i14107,2010,5.0
wind-ons_10,i14110,2010,17.2483
wind-ons_7,i14111,2010,69.255
wind-ons_7,i14112,2010,53.545
wind-ons_10,i14477,2010,13.8855
wind-ons_7,i14478,2010,57.7611
wind-ons_6,i14480,2010,221.0
