*tech,region,sc_point_gid,year,capacity
wind-ons_4,s64,7695,2010,49.5
wind-ons_4,s64,7697,2010,104.2
wind-ons_2,s64,8075,2010,7.9
wind-ons_6,s64,8078,2010,44.0
wind-ons_6,s4,9166,2010,77.0
wind-ons_7,s355,9489,2010,42.0
wind-ons_4,s4,9546,2010,151.6
wind-ons_9,s4,9924,2010,44.0
wind-ons_3,s99,10061,2010,40.5
wind-ons_4,s99,10440,2010,115.5
wind-ons_3,s99,10441,2010,3.0
wind-ons_7,s99,10810,2010,149.0
wind-ons_4,s99,10820,2010,33.0
wind-ons_3,s99,10821,2010,7.5
wind-ons_9,s8,12218,2010,7.2
wind-ons_9,s8,12219,2010,110.9
wind-ons_8,s64,12638,2010,9.0
wind-ons_3,s99,12702,2010,115.5
wind-ons_6,s356,12911,2010,57.0
wind-ons_8,s5,12959,2010,75.8
wind-ons_7,s9,12978,2010,18.5
wind-ons_3,s99,13082,2010,11.9
wind-ons_8,s5,13339,2010,60.5
wind-ons_7,s5,13342,2010,199.0
wind-ons_7,s9,13350,2010,88.0
wind-ons_7,s9,13358,2010,55.0
wind-ons_5,s9,13359,2010,82.5
wind-ons_7,s5,13718,2010,93.5
wind-ons_6,s5,13719,2010,168.7
wind-ons_7,s5,13720,2010,94.0
wind-ons_7,s5,13721,2010,98.9
wind-ons_6,s5,13722,2010,204.0
wind-ons_10,s9,13729,2010,7.0
wind-ons_7,s9,13730,2010,71.5
wind-ons_7,s9,13731,2010,66.0
wind-ons_9,s9,13732,2010,39.4
wind-ons_7,s9,13739,2010,38.5
wind-ons_7,s16,14097,2010,24.0
wind-ons_6,s16,14098,2010,75.9
wind-ons_6,s16,14099,2010,14.8
wind-ons_6,s16,14100,2010,148.5
wind-ons_9,s16,14104,2010,82.5
wind-ons_9,s16,14110,2010,27.5
wind-ons_7,s16,14111,2010,99.0
wind-ons_7,s16,14112,2010,23.8
wind-ons_6,s9,14118,2010,71.5
wind-ons_6,s9,14119,2010,6.5
wind-ons_9,s16,14477,2010,76.5
wind-ons_8,s16,14478,2010,49.5
wind-ons_5,s16,14480,2010,221.0
wind-ons_9,s16,14484,2010,20.4
