t,i,ctt,wst,rs,value
2012,csp-ns,r,fg,27,29
2012,csp-ns,r,fsa,29,1.047
2012,csp-ns,r,fsa,58,5
2012,csp-ns,r,fsa,78,30
2012,csp-ns,r,fsa,91,1
2014,csp-ns,r,fsa,32,6.3
2014,csp-ns,r,fg,33,929.2
2014,csp-ns,r,fg,48,1.5
2014,csp-ns,r,fsa,58,2
2014,csp-ns,r,ww,407,14
2014,csp-ws,r,sg,57,295.4
2016,csp-ws,d,fg,38,110
