region,year,capacity
p06019,2010,5.0
p08003,2010,9.348
p08109,2010,9.652
p12009,2010,10.0
p12031,2010,12.5
p32003,2010,48.0
p35007,2010,30.6
p39175,2010,10.0
p48029,2010,13.5
p04013,2011,26.0
p04021,2011,20.0
p04025,2011,25.7
p06019,2011,50.0
p06031,2011,45.0
p06067,2011,18.0
p08003,2011,35.0
p08041,2011,5.5
p10001,2011,10.0
p12095,2011,5.1
p12117,2011,10.0
p34011,2011,10.0
p34015,2011,12.5
p34019,2011,7.9
p34021,2011,12.0
p34033,2011,17.7
p34035,2011,5.0
p35001,2011,5.0
p35013,2011,25.0
p35015,2011,10.1
p35025,2011,40.1
p35029,2011,5.0
p35047,2011,5.0
p36103,2011,31.5
p39069,2011,8.0
p48453,2011,30.0
p04013,2012,183.6
p04015,2012,9.0
p04019,2012,30.0
p04025,2012,19.0
p04027,2012,226.7
p06019,2012,50.0
p06025,2012,23.0
p06029,2012,110.0
p06067,2012,25.0
p06071,2012,6.8
p06077,2012,20.0
p06079,2012,21.0
p06099,2012,25.0
p06107,2012,70.0
p06113,2012,15.0
p08003,2012,30.0
p10001,2012,11.8
p17099,2012,20.0
p24017,2012,5.5
p24021,2012,13.7
p25021,2012,5.0
p32001,2012,21.8
p32003,2012,164.0
p34005,2012,5.5
p34021,2012,5.2
p34023,2012,6.0
p34025,2012,16.0
p34037,2012,8.2
p35013,2012,13.6
p35035,2012,11.3
p37013,2012,12.4
p37015,2012,5.0
p37035,2012,5.0
p37047,2012,5.0
p37059,2012,5.0
p37093,2012,10.0
p37155,2012,5.0
p42071,2012,5.0
p42107,2012,10.0
p47065,2012,7.6
p48013,2012,5.6
p48029,2012,24.8
p04013,2013,155.2
p04019,2013,35.0
p06019,2013,30.0
p06025,2013,590.072
p06029,2013,53.5
p06031,2013,45.2
p06037,2013,86.0
p06065,2013,267.013
p06071,2013,75.195
p06073,2013,36.0
p06079,2013,469.8
p06107,2013,60.0
p09013,2013,5.0
p13205,2013,16.0
p13211,2013,30.0
p13303,2013,7.7
p18059,2013,10.0
p18063,2013,10.0
p18081,2013,8.6
p18097,2013,10.0
p24043,2013,20.9
p25023,2013,5.0
p32003,2013,30.0
p34005,2013,11.4
p34019,2013,7.9
p34041,2013,9.8
p35035,2013,8.0
p35061,2013,8.4
p37013,2013,10.0
p37017,2013,5.0
p37033,2013,5.0
p37035,2013,5.0
p37045,2013,5.0
p37047,2013,10.0
p37093,2013,5.0
p37101,2013,5.0
p37107,2013,10.0
p37109,2013,5.0
p37127,2013,5.0
p37135,2013,5.0
p37145,2013,5.0
p37153,2013,5.0
p37155,2013,5.0
p37157,2013,10.0
p37179,2013,5.0
p37183,2013,10.0
p37185,2013,10.0
p37191,2013,15.0
p48377,2013,10.0
p04001,2014,8.3
p04003,2014,13.6
p04019,2014,41.6
p04023,2014,6.0
p04027,2014,121.0
p06019,2014,37.0
p06025,2014,261.37
p06029,2014,689.0
p06031,2014,60.0
p06037,2014,348.5
p06065,2014,162.339
p06071,2014,97.293
p06073,2014,6.3
p06079,2014,192.4
p06107,2014,19.8
p13313,2014,6.5
p18097,2014,16.91
p18109,2014,7.5
p25001,2014,5.0
p25005,2014,6.3
p25017,2014,5.0
p25027,2014,15.0
p32003,2014,247.5
p34005,2014,7.0
p34025,2014,8.0
p34029,2014,5.0
p35029,2014,52.2
p35043,2014,6.1
p37013,2014,10.0
p37015,2014,10.0
p37017,2014,5.0
p37023,2014,5.0
p37035,2014,5.0
p37045,2014,5.0
p37049,2014,5.0
p37051,2014,5.0
p37059,2014,5.0
p37061,2014,10.0
p37063,2014,5.0
p37065,2014,10.0
p37069,2014,10.0
p37079,2014,5.0
p37081,2014,5.0
p37083,2014,40.0
p37085,2014,5.0
p37103,2014,5.0
p37107,2014,5.0
p37117,2014,10.0
p37123,2014,5.0
p37125,2014,5.0
p37135,2014,5.0
p37139,2014,20.0
p37145,2014,5.0
p37147,2014,20.0
p37153,2014,10.0
p37155,2014,5.0
p37163,2014,5.0
p37191,2014,10.0
p47109,2014,31.6
p48141,2014,10.3
p48271,2014,39.6
p04003,2015,51.0
p04013,2015,12.8
p04021,2015,43.0
p05013,2015,12.0
p06013,2015,19.2
p06019,2015,65.0
p06025,2015,70.0
p06029,2015,361.3
p06031,2015,19.8
p06037,2015,79.6
p06047,2015,144.1
p06065,2015,27.3
p06071,2015,167.0
p06079,2015,20.0
p06107,2015,51.8
p08105,2015,52.0
p12057,2015,6.0
p13053,2015,30.0
p13087,2015,99.0
p13161,2015,20.0
p13289,2015,20.0
p18021,2015,5.2
p18165,2015,5.2
p24017,2015,10.3
p32003,2015,211.5
p34005,2015,21.8
p34015,2015,8.6
p34021,2015,7.8
p34029,2015,5.0
p35001,2015,20.4
p35006,2015,7.6
p35049,2015,9.3
p35061,2015,18.9
p37001,2015,5.0
p37003,2015,5.0
p37007,2015,5.0
p37015,2015,35.0
p37017,2015,5.0
p37025,2015,5.0
p37029,2015,8.0
p37033,2015,5.0
p37035,2015,10.0
p37041,2015,5.0
p37049,2015,15.0
p37051,2015,28.1
p37053,2015,20.0
p37061,2015,85.0
p37065,2015,80.0
p37069,2015,5.0
p37071,2015,5.0
p37073,2015,15.0
p37077,2015,15.2
p37079,2015,5.0
p37083,2015,20.0
p37093,2015,5.0
p37101,2015,30.2
p37105,2015,5.0
p37107,2015,5.0
p37109,2015,5.0
p37117,2015,5.0
p37123,2015,5.0
p37125,2015,25.0
p37127,2015,32.0
p37133,2015,12.8
p37139,2015,5.0
p37147,2015,35.0
p37151,2015,10.0
p37153,2015,47.7
p37155,2015,25.0
p37159,2015,5.0
p37161,2015,5.0
p37163,2015,10.0
p37165,2015,10.0
p37179,2015,5.3
p37181,2015,10.0
p37183,2015,5.0
p37185,2015,5.0
p37187,2015,14.0
p37191,2015,5.0
p41035,2015,5.0
p48029,2015,5.5
p48371,2015,30.2
p48463,2015,100.0
p49021,2015,80.0
p49027,2015,50.0
p01077,2016,75.0
p04003,2016,50.0
p04013,2016,250.0
p04015,2016,10.0
