region,year,capacity
i6558,2012,184.6
i7622,2010,6.0
i7626,2022,3.888
i7627,2022,4.2263
i8005,2022,0.0729
i8006,2022,0.8991
i8007,2022,6.1965
i8011,2020,0.6804
i8384,2022,1.0449
i8385,2022,1.7982
i8386,2022,5.9778
i8387,2022,18.0306
i8390,2020,24.5505
i8391,2020,0.3402
i8402,2012,1.8468
i8403,2010,19.9989
i8765,2022,3.1833
i8766,2022,21.4083
i8767,2022,33.9228
i8769,2020,0.1701
i8770,2020,38.151
i8771,2020,28.3581
i8782,2010,3.8637
i8783,2010,57.5181
i8784,2010,16.5977
i8787,2010,1.6209
i8894,2020,8.1862
i8895,2020,2.6973
i8912,2015,30.631
i9145,2022,8.2861
i9146,2022,18.5652
i9150,2020,29.5731
i9151,2020,14.1766
i9162,2012,2.4532
i9163,2010,2.7216
i9164,2010,7.533
i9273,2020,100.4929
i9274,2020,51.1272
i9275,2020,4.5927
i9293,2015,117.369
i9544,2010,1.6767
i9547,2010,34.4331
i9654,2020,1.215
i9655,2020,1.1664
i9924,2010,6.6339
i9927,2010,33.3153
i9930,2021,7.7268
i10032,2017,66.8731
i10033,2017,48.5237
i10034,2020,21.5631
i10035,2020,8.3592
i10304,2010,1.0692
i10307,2010,3.7179
i10309,2021,14.2155
i10310,2021,20.3877
i10311,2021,0.5832
i10315,2020,9.5724
i10323,2012,73.3335
i10411,2020,170.0271
i10412,2020,128.7729
i10413,2017,34.6032
i10628,2015,13.2678
i10689,2021,5.8806
i10690,2021,0.5832
i10691,2021,5.6133
i10695,2020,134.4276
i10703,2012,31.9665
i10736,2014,9.8785
i10737,2016,25.0
i11008,2015,123.3711
i11009,2015,10.5106
i11070,2021,10.4325
i11071,2021,23.328
i11117,2014,0.1215
i11388,2015,0.8505
i11450,2021,18.1035
i11451,2021,19.1457
i12150,2010,22.9878
i12151,2010,2.5122
i12578,2010,20.8157
i12597,2014,57.1153
i12598,2012,56.4246
i12599,2012,242.1009
i12644,2020,4.6943
i12645,2012,14.823
i12957,2010,2.187
i12961,2024,14.8263
i12962,2024,45.1737
i12963,2011,63.5742
i12977,2014,209.6847
i12979,2012,44.1745
i13024,2020,75.3057
i13025,2012,25.177
i13084,2018,90.6876
i13337,2010,20.1933
i13343,2011,87.6258
i13464,2018,9.3124
i13492,2020,4.6
i13669,2011,60.0
i13716,2010,4.4955
i14096,2010,2.3085
i14103,2011,50.0
i14415,2010,11.9568
i14430,2016,13.1943
i14476,2010,9.0
i14479,2021,200.0
i14481,2011,113.5539
i14482,2012,265.0
i14483,2012,290.0
i14492,2010,66.1
i14496,2016,0.0486
i14795,2010,4.5198
i14796,2010,0.7776
i14810,2016,14.3613
i14811,2016,12.3444
i14859,2010,130.7826
i14860,2010,30.2174
i14862,2011,87.4461
i14863,2012,290.0
i14864,2019,2.0765
i14867,2020,40.0
i15174,2010,9.1611
i15176,2010,3.402
i15180,2016,15.5034
i15181,2016,38.4426
i15238,2010,33.1629
i15242,2019,105.5835
i15243,2019,92.34
i15245,2020,222.7581
