*tech,region,year,sc_point_gid,capacity
upv_2,p17031,2010,36731,9.0
upv_4,p08003,2010,52183,6.7
upv_5,p32003,2010,54010,10.0
upv_5,p06025,2010,65792,21.0
upv_3,p12049,2010,89611,25.0
upv_2,p17031,2011,36731,9.0
upv_4,p08003,2011,52183,6.7
upv_5,p32003,2011,54010,10.0
upv_5,p06025,2011,65792,21.0
upv_3,p12049,2011,89611,25.0
upv_2,p17031,2012,36731,9.0
upv_4,p08003,2012,52183,6.7
upv_5,p32003,2012,54010,10.0
upv_5,p06025,2012,65792,21.0
upv_3,p12049,2012,89611,25.0
upv_2,p17031,2013,36731,9.0
upv_4,p08003,2013,52183,6.7
upv_5,p32003,2013,54010,10.0
upv_5,p06025,2013,65792,21.0
upv_3,p12049,2013,89611,25.0
upv_2,p17031,2014,36731,9.0
upv_4,p08003,2014,52183,6.7
upv_5,p32003,2014,54010,10.0
upv_5,p06025,2014,65792,21.0
upv_3,p12049,2014,89611,25.0
upv_2,p17031,2015,36731,9.0
upv_4,p08003,2015,52183,6.7
upv_5,p32003,2015,54010,10.0
upv_5,p06025,2015,65792,21.0
upv_3,p12049,2015,89611,25.0
upv_2,p17031,2016,36731,9.0
upv_4,p08003,2016,52183,6.7
upv_5,p32003,2016,54010,10.0
upv_5,p06025,2016,65792,21.0
upv_3,p12049,2016,89611,25.0
upv_2,p17031,2017,36731,9.0
upv_4,p08003,2017,52183,6.7
upv_5,p32003,2017,54010,10.0
upv_5,p06025,2017,65792,21.0
upv_3,p12049,2017,89611,25.0
upv_2,p17031,2018,36731,9.0
upv_4,p08003,2018,52183,6.7
upv_5,p32003,2018,54010,10.0
upv_5,p06025,2018,65792,21.0
upv_3,p12049,2018,89611,25.0
upv_2,p17031,2019,36731,9.0
upv_4,p08003,2019,52183,6.7
upv_5,p32003,2019,54010,10.0
upv_5,p06025,2019,65792,21.0
upv_3,p12049,2019,89611,25.0
upv_2,p17031,2020,36731,9.0
upv_4,p08003,2020,52183,6.7
upv_5,p32003,2020,54010,10.0
upv_5,p06025,2020,65792,21.0
upv_3,p12049,2020,89611,25.0
upv_2,p17031,2021,36731,9.0
upv_4,p08003,2021,52183,6.7
upv_5,p32003,2021,54010,10.0
upv_5,p06025,2021,65792,21.0
upv_3,p12049,2021,89611,25.0
upv_2,p17031,2022,36731,9.0
upv_4,p08003,2022,52183,6.7
upv_5,p32003,2022,54010,10.0
upv_5,p06025,2022,65792,21.0
upv_3,p12049,2022,89611,25.0
upv_2,p17031,2023,36731,9.0
upv_4,p08003,2023,52183,6.7
upv_5,p32003,2023,54010,10.0
upv_5,p06025,2023,65792,21.0
upv_3,p12049,2023,89611,25.0
upv_2,p17031,2024,36731,9.0
upv_4,p08003,2024,52183,6.7
upv_5,p32003,2024,54010,10.0
upv_5,p06025,2024,65792,21.0
upv_3,p12049,2024,89611,25.0
upv_2,p17031,2025,36731,9.0
upv_4,p08003,2025,52183,6.7
upv_5,p32003,2025,54010,10.0
upv_5,p06025,2025,65792,21.0
upv_3,p12049,2025,89611,25.0
upv_2,p17031,2026,36731,9.0
upv_4,p08003,2026,52183,6.7
upv_5,p32003,2026,54010,10.0
upv_5,p06025,2026,65792,21.0
upv_3,p12049,2026,89611,25.0
upv_2,p17031,2027,36731,9.0
upv_4,p08003,2027,52183,6.7
upv_5,p32003,2027,54010,10.0
upv_5,p06025,2027,65792,21.0
upv_3,p12049,2027,89611,25.0
upv_2,p17031,2028,36731,9.0
upv_4,p08003,2028,52183,6.7
upv_5,p32003,2028,54010,10.0
upv_5,p06025,2028,65792,21.0
upv_3,p12049,2028,89611,25.0
upv_2,p17031,2029,36731,9.0
upv_4,p08003,2029,52183,6.7
upv_5,p32003,2029,54010,10.0
upv_5,p06025,2029,65792,21.0
upv_3,p12049,2029,89611,25.0
upv_2,p17031,2030,36731,9.0
upv_4,p08003,2030,52183,6.7
upv_5,p32003,2030,54010,10.0
upv_5,p06025,2030,65792,21.0
upv_3,p12049,2030,89611,25.0
upv_2,p17031,2031,36731,9.0
upv_4,p08003,2031,52183,6.7
upv_5,p32003,2031,54010,10.0
upv_5,p06025,2031,65792,21.0
upv_3,p12049,2031,89611,25.0
upv_2,p17031,2032,36731,9.0
upv_4,p08003,2032,52183,6.7
upv_5,p32003,2032,54010,10.0
upv_5,p06025,2032,65792,21.0
upv_3,p12049,2032,89611,25.0
upv_2,p17031,2033,36731,9.0
upv_4,p08003,2033,52183,6.7
upv_5,p32003,2033,54010,10.0
upv_5,p06025,2033,65792,21.0
upv_3,p12049,2033,89611,25.0
upv_2,p17031,2034,36731,9.0
upv_4,p08003,2034,52183,6.7
upv_5,p32003,2034,54010,10.0
upv_5,p06025,2034,65792,21.0
upv_3,p12049,2034,89611,25.0
upv_2,p17031,2035,36731,9.0
upv_4,p08003,2035,52183,6.7
upv_5,p32003,2035,54010,10.0
upv_5,p06025,2035,65792,21.0
upv_3,p12049,2035,89611,25.0
upv_2,p17031,2036,36731,9.0
upv_4,p08003,2036,52183,6.7
upv_5,p32003,2036,54010,10.0
upv_5,p06025,2036,65792,21.0
upv_3,p12049,2036,89611,25.0
upv_2,p17031,2037,36731,9.0
upv_4,p08003,2037,52183,6.7
upv_5,p32003,2037,54010,10.0
upv_5,p06025,2037,65792,21.0
upv_3,p12049,2037,89611,25.0
upv_2,p17031,2038,36731,9.0
upv_5,p32003,2038,54010,10.0
upv_5,p06025,2038,65792,21.0
upv_3,p12049,2038,89611,25.0
upv_2,p17031,2039,36731,9.0
upv_5,p06025,2039,65792,21.0
upv_3,p12049,2039,89611,25.0
