*i,RE,Nuclear,NuclearCCS,RE_NoCombust
can-imports,1,1,1,1
coal-CCS_mod,0,0,1,0
coal-CCS_max,0,0,1,0
coal-CCS-F1,0,0,1,0
coal-CCS-F2,0,0,1,0
coal-CCS-F3,0,0,1,0
Coal-IGCC,0,0,0,0
coal-new,0,0,0,0
CoalOldScr,0,0,0,0
CoalOldUns,0,0,0,0
CofireNew,0,0,0,0
CofireOld,0,0,0,0
Gas-CC,0,0,0,0
Gas-CC-CCS_mod,0,0,1,0
Gas-CC-CCS_max,0,0,1,0
Gas-CC-CCS-F1,0,0,1,0
Gas-CC-CCS-F2,0,0,1,0
Gas-CC-CCS-F3,0,0,1,0
Gas-CT,0,0,0,0
o-g-s,0,0,0,0
Nuclear,0,1,1,0
Nuclear-SMR,0,1,1,0
RE-CT,1,1,1,0
RE-CC,1,1,1,0
biopower,1,1,1,0
beccs_mod,1,1,1,0
beccs_max,1,1,1,0
geothermal,1,1,1,1
Hydro,1,1,1,1
lfill-gas,1,1,1,0
MHKwave,1,1,1,1
Ocean,1,1,1,1
ice,0,0,0,0
battery_2,0,0,0,0
battery_4,0,0,0,0
battery_6,0,0,0,0
battery_8,0,0,0,0
battery_10,0,0,0,0
caes,0,0,0,0
pumped-hydro,0,0,0,0
pumped-hydro-flex,0,0,0,0
distpv,1,1,1,1
upv_1*upv_10,1,1,1,1
dupv_1*dupv_10,1,1,1,1
wind-ofs_1*wind-ofs_15,1,1,1,1
wind-ons_1*wind-ons_10,1,1,1,1
csp-ns,1,1,1,1
csp1_1*csp1_12,1,1,1,1
csp2_1*csp2_12,1,1,1,1
hydD,1,1,1,1
hydND,1,1,1,1
hydSD,1,1,1,1
hydSND,1,1,1,1
hydUD,1,1,1,1
hydUND,1,1,1,1
hydNPD,1,1,1,1
hydNPND,1,1,1,1
hydED,1,1,1,1
hydEND,1,1,1,1
deep-egs_pbinary_1*deep-egs_pbinary_8,1,1,1,1
deep-egs_pflash_1*deep-egs_pflash_8,1,1,1,1
geohydro_pbinary_1*geohydro_pbinary_8,1,1,1,1
geohydro_pflash_1*geohydro_pflash_8,1,1,1,1
NF-EGS_pbinary_1*NF-EGS_pbinary_8,1,1,1,1
NF-EGS_pflash_1*NF-EGS_pflash_8,1,1,1,1
undisc_pbinary_1*undisc_pbinary_8,1,1,1,1
undisc_pflash_1*undisc_pflash_8,1,1,1,1
