GSw_GenMandateScen,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
80,0.2,0.2375,0.275,0.3125,0.35,0.3875,0.425,0.4625,0.5,0.5375,0.575,0.6125,0.65,0.6875,0.725,0.7625,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
90,0.2,0.2375,0.275,0.3125,0.35,0.3875,0.425,0.4625,0.5,0.5375,0.575,0.6125,0.65,0.6875,0.725,0.7625,0.8,0.8375,0.875,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
95,0.2,0.2375,0.275,0.3125,0.35,0.3875,0.425,0.4625,0.5,0.5375,0.575,0.6125,0.65,0.6875,0.725,0.7625,0.8,0.8375,0.875,0.9125,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
97,0.2,0.2375,0.275,0.3125,0.35,0.3875,0.425,0.4625,0.5,0.5375,0.575,0.6125,0.65,0.6875,0.725,0.7625,0.8,0.8375,0.875,0.9125,0.95,0.955,0.96,0.965,0.97,0.97,0.97,0.97,0.97,0.97,0.97
99,0.2,0.2375,0.275,0.3125,0.35,0.3875,0.425,0.4625,0.5,0.5375,0.575,0.6125,0.65,0.6875,0.725,0.7625,0.8,0.8375,0.875,0.9125,0.95,0.955,0.96,0.965,0.97,0.975,0.98,0.985,0.99,0.99,0.99
100,0.2,0.2375,0.275,0.3125,0.35,0.3875,0.425,0.4625,0.5,0.5375,0.575,0.6125,0.65,0.6875,0.725,0.7625,0.8,0.8375,0.875,0.9125,0.95,0.955,0.96,0.965,0.97,0.975,0.98,0.985,0.99,0.995,1
80_2030,0.2,0.29375,0.3875,0.48125,0.575,0.66875,0.7625,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
90_2030,0.2,0.29375,0.3875,0.48125,0.575,0.66875,0.7625,0.85625,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
95_2030,0.2,0.29375,0.3875,0.48125,0.575,0.66875,0.7625,0.85625,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
97_2030,0.2,0.29375,0.3875,0.48125,0.575,0.66875,0.7625,0.85625,0.95,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
