,80,90,95,97,99,100,80_2030,90_2030,95_2030,97_2030,99_2030,100_2030,95_2035,97_2035,99_2035,100_2035,80_2040,90_2040,95_2040,97_2040,99_2040,100_2040
2020,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2021,0.2375,0.2375,0.2375,0.2375,0.2375,0.2375,0.29375,0.29375,0.29375,0.29375,0.29375,0.29375,0.25,0.251333333,0.252666667,0.253333333,0.25,0.25,0.25,0.25,0.25,0.25
2022,0.275,0.275,0.275,0.275,0.275,0.275,0.3875,0.3875,0.3875,0.3875,0.3875,0.3875,0.3,0.302666667,0.305333333,0.306666667,0.3,0.3,0.3,0.3,0.3,0.3
2023,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.48125,0.48125,0.48125,0.48125,0.48125,0.48125,0.35,0.354,0.358,0.36,0.35,0.35,0.35,0.35,0.35,0.35
2024,0.35,0.35,0.35,0.35,0.35,0.35,0.575,0.575,0.575,0.575,0.575,0.575,0.4,0.405333333,0.410666667,0.413333333,0.4,0.4,0.4,0.4,0.4,0.4
2025,0.3875,0.3875,0.3875,0.3875,0.3875,0.3875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.45,0.456666667,0.463333333,0.466666667,0.45,0.45,0.45,0.45,0.45,0.45
2026,0.425,0.425,0.425,0.425,0.425,0.425,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.5,0.508,0.516,0.52,0.5,0.5,0.5,0.5,0.5,0.5
2027,0.4625,0.4625,0.4625,0.4625,0.4625,0.4625,0.8,0.85625,0.85625,0.85625,0.85625,0.85625,0.55,0.559333333,0.568666667,0.573333333,0.55,0.55,0.55,0.55,0.55,0.55
2028,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.9,0.95,0.95,0.95,0.95,0.6,0.610666667,0.621333333,0.626666667,0.6,0.6,0.6,0.6,0.6,0.6
2029,0.5375,0.5375,0.5375,0.5375,0.5375,0.5375,0.8,0.9,0.95,0.97,0.975,0.975,0.65,0.662,0.674,0.68,0.65,0.65,0.65,0.65,0.65,0.65
2030,0.575,0.575,0.575,0.575,0.575,0.575,0.8,0.9,0.95,0.97,0.99,1,0.7,0.713333333,0.726666667,0.733333333,0.7,0.7,0.7,0.7,0.7,0.7
2031,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.8,0.9,0.95,0.97,0.99,1,0.75,0.764666667,0.779333333,0.786666667,0.75,0.75,0.75,0.75,0.75,0.75
2032,0.65,0.65,0.65,0.65,0.65,0.65,0.8,0.9,0.95,0.97,0.99,1,0.8,0.816,0.832,0.84,0.8,0.8,0.8,0.8,0.8,0.8
2033,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.8,0.9,0.95,0.97,0.99,1,0.85,0.867333333,0.884666667,0.893333333,0.8,0.85,0.85,0.85,0.85,0.85
2034,0.725,0.725,0.725,0.725,0.725,0.725,0.8,0.9,0.95,0.97,0.99,1,0.9,0.918666667,0.937333333,0.946666667,0.8,0.9,0.9,0.9,0.9,0.9
2035,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.8,0.9,0.95,0.97,0.99,1,0.95,0.97,0.99,1,0.8,0.9,0.95,0.95,0.95,0.95
2036,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.95,0.97,0.99,1,0.95,0.97,0.99,1,0.8,0.9,0.95,0.96,0.96,0.96
2037,0.8,0.8375,0.8375,0.8375,0.8375,0.8375,0.8,0.9,0.95,0.97,0.99,1,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.97,0.97
2038,0.8,0.875,0.875,0.875,0.875,0.875,0.8,0.9,0.95,0.97,0.99,1,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.98,0.98
2039,0.8,0.9,0.9125,0.9125,0.9125,0.9125,0.8,0.9,0.95,0.97,0.99,1,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,0.99
2040,0.8,0.9,0.95,0.95,0.95,0.95,0.8,0.9,0.95,0.97,0.99,1,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1
2041,0.8,0.9,0.95,0.955,0.955,0.955,0.8,0.9,0.95,0.97,0.99,1,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1
2042,0.8,0.9,0.95,0.96,0.96,0.96,0.8,0.9,0.95,0.97,0.99,1,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1
2043,0.8,0.9,0.95,0.965,0.965,0.965,0.8,0.9,0.95,0.97,0.99,1,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1
2044,0.8,0.9,0.95,0.97,0.97,0.97,0.8,0.9,0.95,0.97,0.99,1,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1
2045,0.8,0.9,0.95,0.97,0.975,0.975,0.8,0.9,0.95,0.97,0.99,1,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1
2046,0.8,0.9,0.95,0.97,0.98,0.98,0.8,0.9,0.95,0.97,0.99,1,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1
2047,0.8,0.9,0.95,0.97,0.985,0.985,0.8,0.9,0.95,0.97,0.99,1,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1
2048,0.8,0.9,0.95,0.97,0.99,0.99,0.8,0.9,0.95,0.97,0.99,1,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1
2049,0.8,0.9,0.95,0.97,0.99,0.995,0.8,0.9,0.95,0.97,0.99,1,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1
2050,0.8,0.9,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1,0.95,0.97,0.99,1,0.8,0.9,0.95,0.97,0.99,1
