time_slice,h
Winter_night,H1
Winter_sunrise,H2
Winter_morning,H3
Winter_afternoon,H4
Winter_sunset,H5
Winter_evening,H6
Winter_peak,H7
Spring_night,H8
Spring_sunrise,H9
Spring_morning,H10
Spring_afternoon,H11
Spring_sunset,H12
Spring_evening,H13
Spring_peak,H14
Summer_night,H15
Summer_sunrise,H16
Summer_morning,H17
Summer_afternoon,H18
Summer_sunset,H19
Summer_evening,H20
Summer_peak,H21
Rainy_night,H22
Rainy_sunrise,H23
Rainy_morning,H24
Rainy_afternoon,H25
Rainy_sunset,H26
Rainy_evening,H27
Rainy_peak,H28
Autumn_night,H29
Autumn_sunrise,H30
Autumn_morning,H31
Autumn_afternoon,H32
Autumn_sunset,H33
Autumn_evening,H34
Autumn_peak,H35
