r,rs
Kerala,1
Kerala,2
Puducherry,3
Karnataka,4
Karnataka,5
Andhra_Pradesh,6
Andhra_Pradesh,7
Karnataka,8
Andhra_Pradesh,9
West_Bengal,10
Odisha,11
Odisha,12
Odisha,13
Uttarakhand,14
Goa,15
Daman_Diu,16
Uttar_Pradesh,17
Uttar_Pradesh,18
Uttar_Pradesh,19
Chandigarh,20
Haryana,21
Himachal_Pradesh,22
Jharkhand,23
Jammu_Kashmir,24
Jammu_Kashmir,25
Jammu_Kashmir,26
Punjab,27
Bihar,28
Chhattisgarh,29
Chhattisgarh,30
Chhattisgarh,31
Kerala,32
Dadra_Nagar_Haveli,33
Delhi,34
Sikkim,35
Assam,36
Mizoram,37
Nagaland,38
Arunachal_Pradesh,39
Tripura,40
Manipur,41
Meghalaya,42
Andhra_Pradesh,43
Andhra_Pradesh,44
Andhra_Pradesh,45
Andhra_Pradesh,46
Andhra_Pradesh,47
Andhra_Pradesh,48
Andhra_Pradesh,49
Andhra_Pradesh,50
Andhra_Pradesh,51
Andhra_Pradesh,52
Andhra_Pradesh,53
Andhra_Pradesh,54
Gujarat,55
Gujarat,56
Gujarat,57
Gujarat,58
Gujarat,59
Gujarat,60
Gujarat,61
Gujarat,62
Gujarat,63
Gujarat,64
Gujarat,65
Gujarat,66
Karnataka,67
Karnataka,68
Karnataka,69
Karnataka,70
Karnataka,71
Karnataka,72
Karnataka,73
Karnataka,74
Karnataka,75
Karnataka,76
Madhya_Pradesh,77
Madhya_Pradesh,78
Madhya_Pradesh,79
Madhya_Pradesh,80
Madhya_Pradesh,81
Madhya_Pradesh,82
Madhya_Pradesh,83
Madhya_Pradesh,84
Madhya_Pradesh,85
Madhya_Pradesh,86
Madhya_Pradesh,87
Madhya_Pradesh,88
Madhya_Pradesh,89
Madhya_Pradesh,90
Madhya_Pradesh,91
Madhya_Pradesh,92
Madhya_Pradesh,93
Madhya_Pradesh,94
Maharashtra,95
Maharashtra,96
Maharashtra,97
Maharashtra,98
Maharashtra,99
Maharashtra,100
Maharashtra,101
Maharashtra,102
Maharashtra,103
Maharashtra,104
Maharashtra,105
Maharashtra,106
Maharashtra,107
Maharashtra,108
Maharashtra,109
Maharashtra,110
Maharashtra,111
Rajasthan,112
Rajasthan,113
Rajasthan,114
Rajasthan,115
Rajasthan,116
Rajasthan,117
Rajasthan,118
Rajasthan,119
Rajasthan,120
Rajasthan,121
Rajasthan,122
Rajasthan,123
Rajasthan,124
Rajasthan,125
Rajasthan,126
Rajasthan,127
Rajasthan,128
Rajasthan,129
Rajasthan,130
Telangana,131
Telangana,132
Telangana,133
Telangana,134
Telangana,135
Telangana,136
Telangana,137
Telangana,138
TN_Trichy,139
TN_Chennai_North,140
TN_Coimbatore,141
TN_Villupuram,142
TN_Vellore,143
TN_Madurai,144
TN_Erode,145
TN_Tirunelveli,146
TN_Trichy,147
TN_Vellore,148
TN_Madurai,149
TN_Trichy,150
TN_Erode,151
TN_Trichy,152
TN_Trichy,153
TN_Madurai,154
TN_Erode,155
TN_Madurai,156
TN_Trichy,157
TN_Coimbatore,158
TN_Madurai,159
TN_Trichy,160
TN_Tirunelveli,161
TN_Trichy,162
TN_Tirunelveli,163
TN_Coimbatore,164
TN_Villupuram,165
TN_Vellore,166
TN_Villupuram,167
TN_Tirunelveli,168
TN_Chennai_South,169
TN_Chennai_North,170
