State,Budget,Assurance
AL,13211,15985
AR,9210,11144
GA,24041,29090
IL,14601,17667
IN,23303,28197
IA,11272,13639
KS,8027,9713
KY,21115,25549
LA,18639,22553
MD,3828,4632
MI,17023,20598
MS,6315,7641
MO,15780,19094
NJ,2062,2495
NY,5135,6213
OH,19522,23622
OK,11641,14086
PA,17952,21722
TN,7736,9361
TX,52301,63284
VA,9223,11160
WV,17815,21556
WI,7915,9577
