,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p1,0.016797146,10.33332393,22.981,57.252,93.479,101.601,109.057,109.299,109.573,109.837,110.045,111.194,114.393,116.702,120.504,125.945,134.803,148.098,170.878,207.753,263.689
p10,534.6252872,865.8653054,1209.299,2462.888,3716.34,5050.563,5487.334,5602.419,5688.196,5759.614,5840.587,5967.5,6142.083,6375.289,6667.102,7048.794,7509.562,8072.242,8728.836,9432.184,10214.517
p100,0,0,0.253,0.838,2.32,5.797,12.125,13.177,16.503,19.798,22.531,28.078,29.493,31.2,32.956,35.581,39.19,43.925,49.843,57.36,67.727
p101,8.377123095,26.91038637,40.513,80.814,215.345,431.782,742.499,879.86,1061.066,1252.202,1440.655,1695.244,2021.389,2450.092,2986.416,3625.456,4377.164,5246.881,6286.777,7589.278,7941.743
p102,5.087078563,14.23755315,15.393,26.674,67.563,127.91,213.288,223.394,252.233,281.965,312.476,367.945,456.014,620.064,852.482,1140.3,1471.759,1847.506,2296.616,2837.057,2999.721
p103,0,0,10.037,18.933,35.672,35.672,35.672,35.672,35.672,35.672,35.672,35.673,35.675,35.675,35.995,36.46,37.28,38.449,40.143,42.607,148.482
p104,0,0,0.661,1.272,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.378,2.404,2.445,2.508,2.596,2.73,7.529
p105,0,0,3.245,9.128,41.219,49.607,61.362,61.993,63.68,65.736,68.079,71.813,77.786,87.107,101.681,123.145,154.599,199.85,266.701,371.585,532.041
p106,0,0,0.145,0.551,2.091,3.334,5.139,5.231,5.366,5.545,5.773,6.103,6.6,7.534,9.506,13.051,19.203,29.357,45.975,72.892,116.496
p107,0,0,0.32,1.186,4.726,7.529,11.615,11.842,12.333,13,13.751,15.03,17.089,20.628,26.61,36.176,51.302,74.777,111.673,172.875,263.863
p108,0,0,0.083,0.43,1.701,1.701,1.701,1.701,1.701,1.701,1.702,1.722,1.75,1.787,1.843,1.937,2.393,3.052,6.806,18.852,36.432
p109,0,0,0.137,0.469,4.46,4.46,4.46,4.46,4.46,4.46,4.461,4.465,4.48,4.502,4.536,4.591,4.733,8.792,15.499,35.995,67.715
p11,107.3777754,132.949176,217.479,446.535,660.984,863.621,930.144,944.87,954.687,962.467,969.689,980.528,992.435,1011.481,1048.536,1105.001,1177.786,1263.814,1368.462,1492.948,1632.925
p110,0,0,0.083,0.347,1.964,1.964,1.964,1.964,1.964,1.964,1.964,1.964,1.964,1.973,1.995,2.026,2.071,2.136,2.237,2.404,12.101
p111,0.030012846,18.41141759,18.526,24.083,35.887,40.342,49.833,52.993,55.147,57.492,59.66,69.559,100.97,145.159,214.589,307.756,425.955,570.73,748.478,969.685,1241.695
p112,0,15.96889695,13.299,17.06,25.681,29.383,35.276,37.757,42.372,48.175,55.263,68.608,92.509,128.161,176.134,239.326,319.147,417.474,535.814,678.738,851.882
