wst,r,t,Value
fsu,p1,2010,1.0
fsu,p1,2012,0.9839331438601171
fsu,p1,2014,0.9902182696102529
fsu,p1,2016,0.996369607304766
fsu,p1,2018,1.00236940694027
fsu,p1,2020,1.00820154467386
fsu,p1,2022,1.01385152282309
fsu,p1,2024,1.01930646986601
fsu,p1,2026,1.02455514044111
fsu,p1,2028,1.0295879153473801
fsu,p1,2030,1.0343968015442702
fsu,p1,2032,1.03897543215172
fsu,p1,2034,1.04331906645012
fsu,p1,2036,1.04742458988034
fsu,p1,2038,1.05129051404373
fsu,p1,2040,1.05491697670211
fsu,p1,2042,1.0583057417777801
fsu,p1,2044,1.06146019935349
fsu,p1,2046,1.06438536567249
fsu,p1,2048,1.06708788313849
fsu,p1,2050,1.06957602031568
fsu,p1,2052,1.0718596719287
fsu,p1,2054,1.0739503588627
fsu,p1,2056,1.07586122816327
fsu,p1,2058,1.0776070530365
fsu,p1,2060,1.07920423284893
fsu,p1,2062,1.08067079312758
fsu,p1,2064,1.0820263855599501
fsu,p1,2066,1.0832922879940199
fsu,p1,2068,1.08449140443822
fsu,p1,2070,1.08564826506146
fsu,p1,2072,1.08678902619314
fsu,p1,2074,1.0879414703231098
fsu,p1,2076,1.08913500610172
fsu,p1,2078,1.09040066833976
fsu,p1,2080,1.0917711180085299
fsu,p1,2082,1.09328064223976
fsu,p1,2084,1.09496515432569
fsu,p1,2086,1.09686219371902
fsu,p1,2088,1.09901092603291
fsu,p1,2090,1.10145214304103
fsu,p1,2092,1.10422826267747
fsu,p1,2094,1.10738332903684
fsu,p1,2096,1.1109630123742
fsu,p1,2098,1.11501460910508
fsu,p2,2010,1.0
fsu,p2,2012,1.06434414356725
fsu,p2,2014,1.07948857152975
fsu,p2,2016,1.0915848164572701
fsu,p2,2018,1.10103293454526
fsu,p2,2020,1.1082106672693899
fsu,p2,2022,1.1134734413855198
fsu,p2,2024,1.11715436892967
fsu,p2,2026,1.1195642472180902
fsu,p2,2028,1.12099155884719
fsu,p2,2030,1.12170247169357
fsu,p2,2032,1.12194083891404
fsu,p2,2034,1.12192819894557
fsu,p2,2036,1.12186377550535
fsu,p2,2038,1.12192447759074
fsu,p2,2040,1.1222648994793
fsu,p2,2042,1.1230173207287601
fsu,p2,2044,1.12429170617707
fsu,p2,2046,1.12617570594233
fsu,p2,2048,1.12873465542287
fsu,p2,2050,1.13201157529719
fsu,p2,2052,1.1360271715239698
fsu,p2,2054,1.1407798353420902
fsu,p2,2056,1.14624564327062
fsu,p2,2058,1.15237835710883
fsu,p2,2060,1.15910942393615
fsu,p2,2062,1.16634797611222
fsu,p2,2064,1.17398083127687
