rs,ba
1,Andhra_Pradesh
2,Andhra_Pradesh
3,Andhra_Pradesh
4,Andhra_Pradesh
5,Andhra_Pradesh
6,Andhra_Pradesh
7,Andhra_Pradesh
8,Andhra_Pradesh
9,Andhra_Pradesh
10,Andhra_Pradesh
11,Andhra_Pradesh
12,Andhra_Pradesh
13,Andhra_Pradesh
14,Andhra_Pradesh
15,Andhra_Pradesh
sk,Andhra_Pradesh
144,Arunachal_Pradesh
sk,Arunachal_Pradesh
141,Assam
sk,Assam
130,Bihar
sk,Bihar
122,Chandigarh
sk,Chandigarh
131,Chhattisgarh
132,Chhattisgarh
133,Chhattisgarh
sk,Chhattisgarh
137,Dadra_Nagar_Haveli
sk,Dadra_Nagar_Haveli
118,Daman_Diu
sk,Daman_Diu
138,Delhi
sk,Delhi
117,Goa
sk,Goa
16,Gujarat
17,Gujarat
18,Gujarat
19,Gujarat
20,Gujarat
21,Gujarat
22,Gujarat
23,Gujarat
24,Gujarat
25,Gujarat
26,Gujarat
27,Gujarat
sk,Gujarat
123,Haryana
sk,Haryana
124,Himachal_Pradesh
sk,Himachal_Pradesh
126,Jammu_Kashmir
127,Jammu_Kashmir
128,Jammu_Kashmir
sk,Jammu_Kashmir
125,Jharkhand
sk,Jharkhand
28,Karnataka
29,Karnataka
30,Karnataka
31,Karnataka
32,Karnataka
33,Karnataka
34,Karnataka
35,Karnataka
36,Karnataka
37,Karnataka
38,Karnataka
39,Karnataka
40,Karnataka
sk,Karnataka
134,Kerala
135,Kerala
136,Kerala
sk,Kerala
41,Madhya_Pradesh
42,Madhya_Pradesh
43,Madhya_Pradesh
44,Madhya_Pradesh
45,Madhya_Pradesh
46,Madhya_Pradesh
47,Madhya_Pradesh
48,Madhya_Pradesh
49,Madhya_Pradesh
50,Madhya_Pradesh
51,Madhya_Pradesh
52,Madhya_Pradesh
53,Madhya_Pradesh
54,Madhya_Pradesh
55,Madhya_Pradesh
56,Madhya_Pradesh
57,Madhya_Pradesh
58,Madhya_Pradesh
sk,Madhya_Pradesh
59,Maharashtra
60,Maharashtra
61,Maharashtra
62,Maharashtra
63,Maharashtra
64,Maharashtra
65,Maharashtra
66,Maharashtra
67,Maharashtra
68,Maharashtra
69,Maharashtra
70,Maharashtra
71,Maharashtra
72,Maharashtra
73,Maharashtra
74,Maharashtra
75,Maharashtra
sk,Maharashtra
146,Manipur
sk,Manipur
147,Meghalaya
sk,Meghalaya
142,Mizoram
sk,Mizoram
143,Nagaland
sk,Nagaland
113,Odisha
114,Odisha
115,Odisha
sk,Odisha
139,Puducherry
sk,Puducherry
129,Punjab
sk,Punjab
76,Rajasthan
77,Rajasthan
78,Rajasthan
79,Rajasthan
80,Rajasthan
81,Rajasthan
82,Rajasthan
83,Rajasthan
84,Rajasthan
85,Rajasthan
86,Rajasthan
87,Rajasthan
88,Rajasthan
89,Rajasthan
90,Rajasthan
91,Rajasthan
92,Rajasthan
93,Rajasthan
94,Rajasthan
sk,Rajasthan
140,Sikkim
sk,Sikkim
95,Tamil_Nadu
96,Tamil_Nadu
97,Tamil_Nadu
98,Tamil_Nadu
99,Tamil_Nadu
100,Tamil_Nadu
101,Tamil_Nadu
102,Tamil_Nadu
103,Tamil_Nadu
sk,Tamil_Nadu
104,Telangana
105,Telangana
106,Telangana
107,Telangana
108,Telangana
109,Telangana
110,Telangana
111,Telangana
sk,Telangana
145,Tripura
sk,Tripura
119,Uttar_Pradesh
120,Uttar_Pradesh
121,Uttar_Pradesh
sk,Uttar_Pradesh
116,Uttarakhand
sk,Uttarakhand
112,West_Bengal
sk,West_Bengal
andhra_pradesh,Andhra_Pradesh
arunachal_pradesh,Arunachal_Pradesh
assam,Assam
bihar,Bihar
chandigarh,Chandigarh
chhattisgarh,Chhattisgarh
dadra_nagar_haveli,Dadra_Nagar_Haveli
daman_diu,Daman_Diu
delhi,Delhi
goa,Goa
gujarat,Gujarat
haryana,Haryana
himachal_pradesh,Himachal_Pradesh
jammu_kashmir,Jammu_Kashmir
jharkhand,Jharkhand
karnataka,Karnataka
kerala,Kerala
madhya_pradesh,Madhya_Pradesh
maharashtra,Maharashtra
manipur,Manipur
meghalaya,Meghalaya
mizoram,Mizoram
nagaland,Nagaland
odisha,Odisha
puducherry,Puducherry
punjab,Punjab
rajasthan,Rajasthan
sikkim,Sikkim
tamil_nadu,Tamil_Nadu
telangana,Telangana
tripura,Tripura
uttar_pradesh,Uttar_Pradesh
uttarakhand,Uttarakhand
west_bengal,West_Bengal
