m,hours
H32,244
H34,204
H31,244
H29,366
H35,40
H30,183
H33,183
H25,368
H27,329
H24,368
H22,552
H28,40
H23,276
H26,275
H11,236
H13,196
H10,236
H8,354
H14,40
H9,177
H12,177
H18,455
H20,233
H17,455
H15,455
H21,40
H16,273
H19,273
H4,248
H6,208
H3,186
H1,434
H7,40
H2,186
H5,186
