var_name,tech,reg,m,year,obj_type,new_old,notes
inv,0,2,,3,cap_cost,new,captial cost of investment in new technology
invrefurb,0,2,,3,cap_cost,new,captial cost of refurbishment
gen,0,2,3,4,var_cost,mixed,cost of generation
curt,,0,1,2,var_cost,mixed,cost of curtailment
cap,0,2,,3,cap_cost,mixed,total capital cost of investments
cap_sdbin,0,2,,5,cap_cost,mixed,capacity by storage duration bin
captran,,,,3,tran_cost,mixed,total capital cost of transmission investment
opres,1,3,4,5,opres_cost,mixed,cost of spinning reserve provision
storage_in,0,2,3,5,storage_cost,mixed,cost of storage in
storage_level,0,2,3,4,storage_cost,mixed,cost of storage out
mingen,,0,,2,var_cost,mixed,cost of minimum generation level
flow,,,2,3,tran_cost,mixed,cost of transmission flow
