i,construction_time
ice,1
battery,1
biopower,4
caes,3
can-imports,0
coal-CCS,6
Coal-IGCC,6
coal-new,6
CoalOldScr,6
CoalOldUns,6
CofireNew,6
CofireOld,6
Gas-CC,3
Gas-CC-CCS,3
Gas-CT,3
GEO,4
Hydro,3
lfill-gas,3
MHKwave,1
Nuclear,6
Ocean,3
o-g-s,6
other,0
pumped-hydro,3
unknown,0
hydD,3
hydND,3
hydSD,3
hydSND,3
hydUD,3
hydUND,3
hydNPD,3
hydNPND,3
hydED,3
hydEND,3
PV,2
OFSWIND,3
ONSWIND,3
CSP,3
