n,rto,st,country
p2,rto1,WA,USA
p1,rto1,WA,USA
p3,rto1,WA,USA
p4,rto1,WA,USA
p5,rto1,OR,USA
p6,rto1,OR,USA
p7,rto1,OR,USA
p9,rto4,CA,USA
p8,rto2,CA,USA
p10,rto4,CA,USA
p11,rto4,CA,USA
p12,rto2,NV,USA
p13,rto3,NV,USA
p14,rto1,ID,USA
p15,rto1,ID,USA
p16,rto1,ID,USA
p25,rto2,UT,USA
p26,rto2,UT,USA
p27,rto3,AZ,USA
p28,rto3,AZ,USA
p29,rto3,AZ,USA
p30,rto3,AZ,USA
p17,rto1,MT,USA
p18,rto2,MT,USA
p20,rto2,MT,USA
p19,rto2,MT,USA
p21,rto2,WY,USA
p22,rto2,WY,USA
p23,rto5,WY,USA
p24,rto5,WY,USA
p33,rto5,CO,USA
p34,rto5,CO,USA
p31,rto3,NM,USA
p59,rto3,TX,USA
p32,rto5,SD,USA
p35,rto11,MT,USA
p36,rto11,ND,USA
p37,rto11,ND,USA
p38,rto11,SD,USA
p39,rto8,NE,USA
p40,rto8,NE,USA
p41,rto8,NE,USA
p42,rto11,MN,USA
p43,rto11,MN,USA
p44,rto11,MN,USA
p46,rto11,WI,USA
p45,rto6,IA,USA
p69,rto6,IA,USA
p52,rto8,KS,USA
p53,rto8,KS,USA
p54,rto8,MO,USA
p55,rto8,MO,USA
p47,rto8,NM,USA
p48,rto8,TX,USA
p57,rto8,TX,USA
p49,rto8,OK,USA
p50,rto8,OK,USA
p51,rto8,OK,USA
p56,rto8,AR,USA
p58,rto13,LA,USA
p61,rto10,TX,USA
p62,rto10,TX,USA
p60,rto10,TX,USA
p63,rto10,TX,USA
p64,rto10,TX,USA
p65,rto10,TX,USA
p67,rto10,TX,USA
p68,rto11,MN,USA
p70,rto6,IA,USA
p71,rto6,MO,USA
p72,rto6,MO,USA
p73,rto13,MO,USA
p84,rto13,MO,USA
p74,rto6,MI,USA
p75,rto6,WI,USA
p76,rto6,WI,USA
p77,rto11,WI,USA
p78,rto6,WI,USA
p79,rto6,WI,USA
p80,rto7,IL,USA
p81,rto6,IL,USA
p82,rto6,IL,USA
p83,rto6,IL,USA
p103,rto6,MI,USA
p104,rto7,MI,USA
p105,rto6,IN,USA
p106,rto6,IN,USA
p107,rto6,IN,USA
p111,rto7,OH,USA
p112,rto7,OH,USA
p113,rto7,OH,USA
p114,rto7,OH,USA
p108,rto6,KY,USA
p109,rto7,KY,USA
p110,rto7,KY,USA
p118,rto7,VA,USA
p117,rto7,WV,USA
p116,rto7,WV,USA
p115,rto7,PA,USA
p121,rto7,MD,USA
p120,rto7,PA,USA
p119,rto12,PA,USA
p66,rto13,TX,USA
p85,rto13,AR,USA
p86,rto13,LA,USA
p87,rto13,MS,USA
p88,rto14,MS,USA
p89,rto14,AL,USA
p90,rto9,AL,USA
p91,rto9,FL,USA
p94,rto9,GA,USA
p92,rto14,TN,USA
p93,rto14,KY,USA
p97,rto15,NC,USA
p98,rto15,NC,USA
p95,rto15,SC,USA
p96,rto15,SC,USA
p99,rto7,VA,USA
p100,rto7,VA,USA
p101,rto16,FL,USA
p102,rto16,FL,USA
p124,rto12,VA,USA
p123,rto12,MD,USA
p125,rto12,DE,USA
p122,rto12,PA,USA
p126,rto12,NJ,USA
p127,rto17,NY,USA
p128,rto17,NY,USA
p132,rto18,CT,USA
p133,rto18,RI,USA
p131,rto18,MA,USA
p129,rto18,VT,USA
p130,rto18,NH,USA
p134,rto18,ME,USA
p135,rto4,MEX,MEX
p136,rto4,MEX,MEX
p137,rto33,BC,CAN
p138,rto33,BC,CAN
p139,rto33,BC,CAN
p140,rto34,AB,CAN
p141,rto34,AB,CAN
p142,rto35,SK,CAN
p143,rto36,MB,CAN
p144,rto37,ON,CAN
p145,rto37,ON,CAN
p146,rto37,ON,CAN
p147,rto37,ON,CAN
p148,rto38,QC,CAN
p149,rto38,QC,CAN
p150,rto38,QC,CAN
p151,rto38,QC,CAN
p152,rto39,NB,CAN
p153,rto39,NS,CAN
p154,rto38,NL,CAN
p155,rto38,NFI,CAN
p156,rto39,PEI,CAN
p157,rto40,SIN_SON,MEX
p158,rto40,SIN_SON,MEX
p159,rto40,SIN_SON,MEX
p160,rto40,SIN_SON,MEX
p161,rto40,SIN_SON,MEX
p162,rto40,SIN_SON,MEX
p163,rto40,CHH,MEX
p164,rto40,CHH,MEX
p165,rto40,CHH,MEX
p166,rto40,COA_DGO_NLE,MEX
p167,rto40,COA_DGO_NLE,MEX
p168,rto40,COA_DGO_NLE,MEX
p169,rto40,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX
p170,rto40,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX
p171,rto40,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX
p172,rto40,COA_DGO_NLE,MEX
p173,rto40,COA_DGO_NLE,MEX
p174,rto40,SLP,MEX
p175,rto40,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX
p176,rto40,SLP,MEX
p177,rto40,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX
p178,rto40,AGU_GUA_JAL_NAY_QUE_ZAC,MEX
p179,rto40,AGU_GUA_JAL_NAY_QUE_ZAC,MEX
p180,rto40,AGU_GUA_JAL_NAY_QUE_ZAC,MEX
p181,rto40,SLP,MEX
p182,rto40,AGU_GUA_JAL_NAY_QUE_ZAC,MEX
p183,rto40,COL,MEX
p184,rto40,GRO_MIC,MEX
p185,rto40,GRO_MIC,MEX
p186,rto40,AGU_GUA_JAL_NAY_QUE_ZAC,MEX
p187,rto40,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX
p188,rto40,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX
p189,rto40,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX
p190,rto40,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX
p191,rto40,GRO_MIC,MEX
p192,rto40,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX
p193,rto40,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX
p194,rto40,CAM_CHP_TAB,MEX
p195,rto40,CAM_CHP_TAB,MEX
p196,rto40,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX
p197,rto40,CAM_CHP_TAB,MEX
p198,rto40,YUC,MEX
p199,rto40,ROO,MEX
p200,rto40,ROO,MEX
p201,rto41,BCN,MEX
p202,rto41,BCN,MEX
p203,rto41,BCN,MEX
p204,rto41,BCN,MEX
p205,rto41,BCS,MEX
