year,st,GWh
2010,AL,95870.5255
2010,AR,50134.93101
2010,AZ,73387.89962
2010,CA,269847.16072
2010,CO,53072.67063
2010,CT,31032.6937
2010,DE,11616.58655
2010,FL,236115.5561
2010,GA,145549.04458
2010,IA,47728.30201
2010,ID,23351.24853
2010,IL,148481.66604
2010,IN,113991.75247
2010,KS,40420.9825
2010,KY,94028.80849
2010,LA,105572.44648
2010,MA,57765.27282
2010,MD,78228.04514
2010,ME,14961.05401
2010,MI,105551.29706
2010,MN,68875.84108
2010,MO,86341.93797
2010,MS,51485.024
2010,MT,13844.78502
2010,NC,138792.30457
2010,ND,13148.53501
2010,NE,30076.64354
2010,NH,10959.3175
2010,NJ,80443.74743
2010,NM,22548.64557
2010,NV,33891.06377
2010,NY,146335.07427
2010,OH,155280.8405
2010,OK,58923.68102
2010,OR,46591.9833
2010,PA,151817.2434
2010,RI,7855.31302
2010,SC,84587.06949
2010,SD,11356.61601
2010,TN,105954.94753
2010,TX,392356.1861
2010,UT,29290.216
2010,VA,115799.36251
2010,VT,5616.94652
2010,WA,91427.99304
2010,WI,71007.30059
2010,WV,32477.484
2010,WY,18113.64701
2011,AL,94152.78768
2011,AR,49888.31008
2011,AZ,75716.6407
2011,CA,273823.94681
2011,CO,53666.9745
2011,CT,30378.95537
2011,DE,11918.55221
2011,FL,230577.54806
2011,GA,140850.46199
2011,IA,48135.95001
2011,ID,23887.22177
2011,IL,146704.90609
2011,IN,113932.29105
2011,KS,40762.11574
2011,KY,89909.82638
2011,LA,106666.8567
2011,MA,56229.56358
2011,MD,76117.56543
2011,ME,14939.32646
2011,MI,106992.31246
2011,MN,69649.53977
2011,MO,84489.34578
2011,MS,51092.94277
2011,MT,13800.31746
2011,NC,133354.9017
2011,ND,13918.40999
2011,NE,30049.95687
2011,NH,10918.3903
2011,NJ,78542.78359
2011,NM,23225.73377
2011,NV,34070.33165
2011,NY,145785.08984
2011,OH,156031.4967
2011,OK,60714.95979
2011,OR,47738.81082
2011,PA,151797.6361
2011,RI,7756.537
2011,SC,82913.43747
2011,SD,11680.18102
2011,TN,103188.64192
2011,TX,409691.47059
2011,UT,29724.17262
2011,VA,112080.4886
2011,VT,5562.82108
2011,WA,94736.71084
2011,WI,70838.66078
2011,WV,31751.36662
2011,WY,18678.04301
2012,AL,91470.3047
2012,AR,48843.20944
2012,AZ,76000.85364
2012,CA,272741.18751
2012,CO,53956.13474
2012,CT,30320.80609
2012,DE,12288.88029
2012,FL,225990.07411
2012,GA,135977.04168
2012,IA,48241.47865
2012,ID,24305.23295
2012,IL,147194.86472
2012,IN,113522.6097
2012,KS,40361.99377
2012,KY,89322.44605
2012,LA,105428.67055
2012,MA,56623.63832
2012,MD,73913.30385
2012,ME,15046.31981
