timeslice,season
H1,summ
H2,summ
H3,summ
H4,summ
H5,fall
H6,fall
H7,fall
H8,fall
H9,wint
H10,wint
H11,wint
H12,wint
H13,spri
H14,spri
H15,spri
H16,spri
