n,factor
p1,0.520778865
p2,0.293149979
p3,0.133635202
p4,0.052435954
p5,0.747895168
p6,0.222652808
p7,0.029452025
p8,0.005294145
p9,0.437106636
p10,0.48995916
p11,0.067640058
p12,0.330913982
p13,0.669086018
p14,0.170809445
p15,0.60779465
p16,0.221395905
p17,0.522437864
p18,0.282720278
p19,0.006977809
p20,0.144535597
p21,0.46933085
p22,0.083544841
p23,0.06171844
p24,0.385405869
p25,0.957712319
p26,0.042287681
p27,0.118630917
p28,0.723093562
p29,0.012335621
p30,0.1459399
p31,0.708149052
p32,0.129716372
p33,0.73399016
p34,0.26600984
p35,0.043327886
p36,0.264510729
p37,0.735489271
p38,0.870283628
p39,0.063391849
p40,0.363892592
p41,0.572715559
p42,0.062073367
p43,0.862043076
p44,0.025904275
p45,0.240280084
p46,0.122197182
p47,0.291850948
p48,0.060246243
p49,0.012253321
p50,0.633713793
p51,0.354032886
p52,0.040210448
p53,0.959789551
p54,0.270750268
p55,0.12785192
p56,0.289780781
p57,0.019472186
p58,0.756067572
p59,0.016751786
p60,0.00943612
p61,0.021268889
p62,0.018052859
p63,0.329431382
p64,0.098638913
p65,0.149455765
p66,0.058949977
p67,0.21829588
p68,0.049979282
p69,0.104159016
p70,0.6555609
p71,0.022728635
p72,0.494688537
p73,0.032124708
p74,0.019793789
p75,0.151743824
p76,0.165335804
p77,0.042484704
p78,0.108362342
p79,0.409876145
p80,0.663772546
p81,0.17206929
p82,0.061953341
p83,0.102204823
p84,0.051855933
p85,0.710219219
p86,0.243932428
p87,0.76181757
p88,0.23818243
p89,0.521595584
p90,0.478404416
p91,0.053582501
p92,1
p93,0.172207863
p94,1
p95,0.333767047
p96,0.666232953
p97,0.517197576
p98,0.482802424
p99,0.789293844
p100,0.025871055
p101,0.60323806
p102,0.343179439
p103,0.891318758
p104,0.088887453
p105,0.592980266
p106,0.157710102
p107,0.249309632
p108,0.109895969
p109,0.645970145
p110,0.071926022
p111,0.328259307
p112,0.423678808
p113,0.094862928
p114,0.153198957
p115,0.204553937
p116,0.545261285
p117,0.454738715
p118,0.179892771
p119,0.024576338
p120,0.014405088
p121,0.087648649
p122,0.756464638
p123,0.912351351
p124,0.00494233
p125,1
p126,1
p127,0.860163043
p128,0.139836957
p129,1
p130,1
p131,1
p132,1
p133,1
p134,1
