st,GWh
AL,90863
AZ,72833
AR,48194
CA,258531
CO,52918
CT,30392
DE,11606
FL,231210
GA,140672
ID,22798
IL,144761
IN,105994
IA,45445
KS,40421
KY,93569
LA,85080
ME,11532
MD,77212
MA,57123
MI,103649
MN,67800
MS,49687
MO,86085
MT,13771
NE,29849
NV,33773
NH,10890
NJ,79179
NM,22428
NY,144624
NC,136415
ND,12956
OH,154145
OK,57846
OR,46026
PA,148964
RI,7799
SC,82479
SD,11356
TN,103522
TX,358458
UT,28044
VT,5595
VA,113806
WA,90380
WV,32032
WI,68752
WY,17113
