t,debt_fraction,equity_return_nominal,debt_interest_nominal,tax_rate
2000,0.567,0.103,0.055,0.35
2001,0.567,0.103,0.055,0.35
2002,0.567,0.103,0.055,0.35
2003,0.567,0.103,0.055,0.35
2004,0.567,0.103,0.055,0.35
2005,0.567,0.103,0.055,0.35
2006,0.567,0.103,0.055,0.35
2007,0.567,0.103,0.055,0.35
2008,0.567,0.103,0.055,0.35
2009,0.567,0.103,0.055,0.35
2010,0.567,0.103,0.055,0.35
2011,0.563,0.103,0.052,0.35
2012,0.568,0.102,0.043,0.35
2013,0.567,0.1,0.047,0.35
2014,0.531,0.099,0.045,0.35
2015,0.536,0.099,0.044,0.35
2016,0.554,0.098,0.042,0.35
2017,0.556,0.097,0.041,0.35
2018,0.55,0.095,0.044,0.21
2019,0.55,0.096,0.039,0.21
2020,0.55,0.096,0.039,0.21
2021,0.55,0.096,0.039,0.21
2022,0.55,0.096,0.039,0.21
2023,0.55,0.096,0.039,0.21
2024,0.55,0.096,0.039,0.21
2025,0.55,0.096,0.039,0.21
2026,0.55,0.096,0.039,0.21
2027,0.55,0.096,0.039,0.21
2028,0.55,0.096,0.039,0.21
2029,0.55,0.096,0.039,0.21
2030,0.55,0.096,0.039,0.21
2031,0.55,0.096,0.039,0.21
2032,0.55,0.096,0.039,0.21
2033,0.55,0.096,0.039,0.21
2034,0.55,0.096,0.039,0.21
2035,0.55,0.096,0.039,0.21
2036,0.55,0.096,0.039,0.21
2037,0.55,0.096,0.039,0.21
2038,0.55,0.096,0.039,0.21
2039,0.55,0.096,0.039,0.21
2040,0.55,0.096,0.039,0.21
2041,0.55,0.096,0.039,0.21
2042,0.55,0.096,0.039,0.21
2043,0.55,0.096,0.039,0.21
2044,0.55,0.096,0.039,0.21
2045,0.55,0.096,0.039,0.21
2046,0.55,0.096,0.039,0.21
2047,0.55,0.096,0.039,0.21
2048,0.55,0.096,0.039,0.21
2049,0.55,0.096,0.039,0.21
2050,0.55,0.096,0.039,0.21
2051,0.55,0.096,0.039,0.21
2052,0.55,0.096,0.039,0.21
2053,0.55,0.096,0.039,0.21
2054,0.55,0.096,0.039,0.21
2055,0.55,0.096,0.039,0.21
2056,0.55,0.096,0.039,0.21
2057,0.55,0.096,0.039,0.21
2058,0.55,0.096,0.039,0.21
2059,0.55,0.096,0.039,0.21
2060,0.55,0.096,0.039,0.21
2061,0.55,0.096,0.039,0.21
2062,0.55,0.096,0.039,0.21
2063,0.55,0.096,0.039,0.21
2064,0.55,0.096,0.039,0.21
2065,0.55,0.096,0.039,0.21
2066,0.55,0.096,0.039,0.21
2067,0.55,0.096,0.039,0.21
2068,0.55,0.096,0.039,0.21
2069,0.55,0.096,0.039,0.21
2070,0.55,0.096,0.039,0.21
2071,0.55,0.096,0.039,0.21
2072,0.55,0.096,0.039,0.21
2073,0.55,0.096,0.039,0.21
2074,0.55,0.096,0.039,0.21
2075,0.55,0.096,0.039,0.21
2076,0.55,0.096,0.039,0.21
2077,0.55,0.096,0.039,0.21
2078,0.55,0.096,0.039,0.21
2079,0.55,0.096,0.039,0.21
2080,0.55,0.096,0.039,0.21
2081,0.55,0.096,0.039,0.21
2082,0.55,0.096,0.039,0.21
2083,0.55,0.096,0.039,0.21
2084,0.55,0.096,0.039,0.21
2085,0.55,0.096,0.039,0.21
2086,0.55,0.096,0.039,0.21
2087,0.55,0.096,0.039,0.21
2088,0.55,0.096,0.039,0.21
2089,0.55,0.096,0.039,0.21
2090,0.55,0.096,0.039,0.21
2091,0.55,0.096,0.039,0.21
2092,0.55,0.096,0.039,0.21
2093,0.55,0.096,0.039,0.21
2094,0.55,0.096,0.039,0.21
2095,0.55,0.096,0.039,0.21
2096,0.55,0.096,0.039,0.21
2097,0.55,0.096,0.039,0.21
2098,0.55,0.096,0.039,0.21
2099,0.55,0.096,0.039,0.21
2100,0.55,0.096,0.039,0.21
