*t,st,value (CRF_X / CRF_30)
2021,IL,1.10
2022,IL,1.13
2023,IL,1.15
2024,IL,1.18
2025,IL,1.21
2026,IL,1.25
2027,IL,1.29
2028,IL,1.33
2029,IL,1.38
2030,IL,1.44
2031,IL,1.51
2032,IL,1.59
2033,IL,1.68
2034,IL,1.79
2035,IL,1.92
2036,IL,2.08
2037,IL,2.28
2038,IL,2.54
2039,IL,2.89
2040,IL,3.38
2041,IL,4.12
2042,IL,5.35
2043,IL,7.81
2044,IL,15.21
2045,IL,100
2046,IL,100
2047,IL,100
2048,IL,100
2049,IL,100
2050,IL,100
2020,VA,1.08
2021,VA,1.10
2022,VA,1.13
2023,VA,1.15
2024,VA,1.18
2025,VA,1.21
2026,VA,1.25
2027,VA,1.29
2028,VA,1.33
2029,VA,1.38
2030,VA,1.44
2031,VA,1.51
2032,VA,1.59
2033,VA,1.68
2034,VA,1.79
2035,VA,1.92
2036,VA,2.08
2037,VA,2.28
2038,VA,2.54
2039,VA,2.89
2040,VA,3.38
2041,VA,4.12
2042,VA,5.35
2043,VA,7.81
2044,VA,15.21
2045,VA,100
2046,VA,100
2047,VA,100
2048,VA,100
2049,VA,100
2050,VA,100
2019,NY,1.18
2020,NY,1.21
2021,NY,1.25
2022,NY,1.29
2023,NY,1.33
2024,NY,1.38
2025,NY,1.44
2026,NY,1.51
2027,NY,1.59
2028,NY,1.68
2029,NY,1.79
2030,NY,1.92
2031,NY,2.08
2032,NY,2.28
2033,NY,2.54
2034,NY,2.89
2035,NY,3.38
2036,NY,4.12
2037,NY,5.35
2038,NY,7.81
2039,NY,15.21
2040,NY,100
2041,NY,100
2042,NY,100
2043,NY,100
2044,NY,100
2045,NY,100
2046,NY,100
2047,NY,100
2048,NY,100
2049,NY,100
2050,NY,100
