st,RPS_All,CES
AL,0.0,0.0
AR,0.0,0.0
AZ,0.0,0.0
CA,0.123024889,1.0
CO,0.280634114,1.0
CT,1.0,1.0
DE,0.0,0.0
FL,0.0,0.0
GA,0.0,0.0
HI,0.0,0.0
IA,0.0,0.0
ID,0.0,0.0
IL,1.0,1.0
IN,0.0,0.0
KS,0.0,0.0
KY,0.0,0.0
LA,0.0,0.0
MA,1.0,1.0
MD,0.588592791,0.588592791
ME,0.15927982,0.15927982
MI,0.905071205,1.0
MN,1.0,1.0
MO,0.783530075,0.783530075
MT,0.011194711,0.011194711
NC,0.256900823,0.256900823
ND,0.0,0.0
NE,0.0,0.0
NH,0.218553617,0.218553617
NJ,0.0,0.0
NM,0.0,0.0
NV,1.0,1.0
NY,1.0,1.0
OH,0.0,0.0
OK,0.0,0.0
OR,0.064013777,0.064013777
PA,0.254119216,0.254119216
RI,1.0,1.0
SC,0.0,0.0
SD,0.0,0.0
TN,0.0,0.0
TX,0.0,0.0
UT,0.0,0.0
VA,1.0,1.0
VT,1.0,1.0
WA,0.01844678,0.01844678
WI,0.005657298,0.005657298
WV,0.0,0.0
WY,0.0,0.0
