st,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
MA,0,0,0,0,400,800,800,1604,3246,3246,3246,4092,4092,4892,4892,5692,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492
MD,0,0,0,0,0,248,648,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
ME,0,0,0,0,0,12,12,12,12,12,12,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
NJ,0,0,0,0,0,1100,1100,1100,2610,3758,3758,3758,4700,4700,6100,6100,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
NY,0,0,0,0,130,130,1056,3088,3088,4318,4318,4318,5316,6600,7200,8000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000
OH,0,0,0,0,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
RI,30,30,30,30,30,734,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538
VA,0,12,12,12,12,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200
NC,0,0,0,0,0,0,0,800,1600,1600,3170,3837,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827,3827
CA,0,0,0,0,0,0,0,0,0,600,1200,2000,2600,3200,4000,5000,6000,8000,10000,12000,14000,16000,18000,20000,22000,24000,25000,25000,25000,25000,25000,25000
