t,st,Value
2010,UT,1000
2011,UT,1000
2012,UT,1000
2013,UT,1000
2014,UT,1000
2015,UT,1000
2016,UT,1000
2017,UT,1000
2018,UT,1000
2019,UT,1000
2020,UT,1000
2021,UT,1000
2022,UT,1000
2023,UT,1000
2024,UT,1000
2025,UT,1000
2026,UT,1000
2027,UT,1000
2028,UT,1000
2029,UT,1000
2030,UT,1000
2031,UT,1000
2032,UT,1000
2033,UT,1000
2034,UT,1000
2035,UT,1000
2036,UT,1000
2037,UT,1000
2038,UT,1000
2039,UT,1000
2040,UT,1000
2041,UT,1000
2042,UT,1000
2043,UT,1000
2044,UT,1000
2045,UT,1000
2046,UT,1000
2047,UT,1000
2048,UT,1000
2049,UT,1000
2050,UT,1000
