i,DE,IL,MD,NJ,VA,WA
biopower,,,,,1,
beccs_mod,,,,,1,
beccs_max,,,,,1,
distpv,1,1,1,1,,
egs_allkm_1,,,1,,,
egs_allkm_2,,,1,,,
egs_allkm_3,,,1,,,
egs_allkm_4,,,1,,,
egs_allkm_5,,,1,,,
egs_allkm_6,,,1,,,
egs_allkm_7,,,1,,,
egs_allkm_8,,,1,,,
egs_allkm_9,,,1,,,
egs_allkm_10,,,1,,,
egs_nearfield_1,,,1,,,
egs_nearfield_2,,,1,,,
egs_nearfield_3,,,1,,,
egs_nearfield_4,,,1,,,
egs_nearfield_5,,,1,,,
egs_nearfield_6,,,1,,,
egs_nearfield_7,,,1,,,
egs_nearfield_8,,,1,,,
egs_nearfield_9,,,1,,,
egs_nearfield_10,,,1,,,
geohydro_allkm_1,,,1,,,
geohydro_allkm_2,,,1,,,
geohydro_allkm_3,,,1,,,
geohydro_allkm_4,,,1,,,
geohydro_allkm_5,,,1,,,
geohydro_allkm_6,,,1,,,
geohydro_allkm_7,,,1,,,
geohydro_allkm_8,,,1,,,
geohydro_allkm_9,,,1,,,
geohydro_allkm_10,,,1,,,
hydD,,1,1,1,,1
hydND,,1,1,1,,1
hydSD,,1,1,1,,1
hydSND,,1,1,1,,1
hydUD,,,,1,,1
hydUND,,,,1,,1
hydNPD,,1,,1,,1
hydNPND,,1,,1,,1
hydED,,,,1,,1
hydEND,,,,1,,1
upv_1,,,1,,,
upv_2,,,1,,,
upv_3,,,1,,,
upv_4,,,1,,,
upv_5,,,1,,,
wind-ofs_1,,,,1,,
wind-ofs_2,,,,1,,
wind-ofs_3,,,,1,,
wind-ofs_4,,,,1,,
wind-ofs_5,,,,1,,
wind-ofs_6,,,,1,,
wind-ofs_7,,,,1,,
wind-ofs_8,,,,1,,
wind-ofs_9,,,,1,,
wind-ofs_10,,,,1,,
