st,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
MI,,,,,,,,,,,,,,,0.019823789,0.025,0.029304029,0.032939189,0.036050157,0.03874269,0.04109589,0.040206186,0.039416058,0.038709677,0.038074398,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC,,,,,,,,,,,,,,,,,,,,,0.027546129,0.027186949,0.026755624,0.026209928,0.025807452,0.025481785,0.025185056,0.024886873,0.024639378,0.024386983,0.024091747,0.023761574,0.023424364,0.023087827,0.022778954,0.022493608,0.022197044,0.021891913,0.021589114,0.021286053,0.013921962
WA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2,0.186666667,0.173333333,0.16,0.146666667,0.133333333,0.12,0.106666667,0.093333333,0.08,0.066666667,0.053333333,0.04,0.026666667,0.013333333,0,0,0,0,0,0
