*t,st,Value
2010,CA,0.1687749051001499
2011,CA,0.1972831476489689
2012,CA,0.1973249510477631
2013,CA,0.1972417408310773
2014,CA,0.2085368616184435
2015,CA,0.2208675531454824
2016,CA,0.2450391128521983
2017,CA,0.2639269015853366
2018,CA,0.2837526401864058
2019,CA,0.3020471875734475
2020,CA,0.3193346359114227
2021,CA,0.3465638403013428
2022,CA,0.3736869734939639
2023,CA,0.3994319697443771
2024,CA,0.4255409060044586
2025,CA,0.4545624133114485
2026,CA,0.47704506282779224
2027,CA,0.5029160938555973
2028,CA,0.5488462160521055
2029,CA,0.5947763382486135
2030,CA,0.6407064604451216
2031,CA,0.6866365826416297
2032,CA,0.7325667048381379
2033,CA,0.778496827034646
2034,CA,0.824426949231154
2035,CA,0.8703570714276622
2036,CA,0.8800196456479198
2037,CA,0.8896822198681774
2038,CA,0.899344794088435
2039,CA,0.9090073683086927
2040,CA,0.9186699425289503
2041,CA,0.9283325167492079
2042,CA,0.9379950909694655
2043,CA,0.9476576651897232
2044,CA,0.9573202394099808
2045,CA,0.9669828136302384
2046,CA,0.9669791518266492
2047,CA,0.9669754900230598
2048,CA,0.9669718282194706
2049,CA,0.9669681664158812
2050,CA,0.966964504612292
2010,CO,0.0247340283535652
2011,CO,0.0613395553615037
2012,CO,0.062493756879127
2013,CO,0.0628213167191788
2014,CO,0.0626795588249282
2015,CO,0.1071664612041437
2016,CO,0.1065828236571079
2017,CO,0.106266556994592
2018,CO,0.1068653636512738
2019,CO,0.1049519529098173
2020,CO,0.1940922452222793
2021,CO,0.1940815143983853
2022,CO,0.1950184944412288
2023,CO,0.1939676986492333
2024,CO,0.25696059163712437
2025,CO,0.31995348462501544
2026,CO,0.3829463776129065
2027,CO,0.4459392706007976
2028,CO,0.5089321635886886
2029,CO,0.5719250565765797
2030,CO,0.6349179495644708
2031,CO,0.643440384962312
2032,CO,0.6519628203601532
2033,CO,0.6615591496950328
2034,CO,0.6721634997664802
2035,CO,0.682374558878112
2036,CO,0.6912419940465545
2037,CO,0.6991150148645738
2038,CO,0.706598695700012
2039,CO,0.7135161202213577
2040,CO,0.720142303542883
2041,CO,0.7361356316880412
2042,CO,0.7521289598331994
2043,CO,0.7681222879783576
2044,CO,0.7841156161235158
2045,CO,0.800108944268674
2046,CO,0.8161022724138323
2047,CO,0.8320956005589905
2048,CO,0.8480889287041486
2049,CO,0.8640822568493068
2050,CO,0.880075584994465
2010,CT,0.0999999999999999
2011,CT,0.1099999999999999
2012,CT,0.12
2013,CT,0.1299967140948223
2014,CT,0.14
2015,CT,0.155
2016,CT,0.17
2017,CT,0.185
2018,CT,0.21
2019,CT,0.235
2020,CT,0.25
2021,CT,0.2649999999999999
2022,CT,0.2799999999999999
2023,CT,0.3
2024,CT,0.32
2025,CT,0.33999999999999997
2026,CT,0.36
2027,CT,0.38
2028,CT,0.42769230769230765
2029,CT,0.4753846153846153
2030,CT,0.523076923076923
2031,CT,0.5707692307692307
2032,CT,0.6184615384615383
2033,CT,0.6661538461538459
2034,CT,0.7138461538461536
2035,CT,0.7615384615384613
2036,CT,0.809230769230769
2037,CT,0.8569230769230767
2038,CT,0.9046153846153843
2039,CT,0.9523076923076919
2040,CT,0.9999999999999996
2041,CT,0.9999999999999996
2042,CT,0.9999999999999996
2043,CT,0.9999999999999996
2044,CT,0.9999999999999996
2045,CT,0.9999999999999996
2046,CT,0.9999999999999996
2047,CT,0.9999999999999996
2048,CT,0.9999999999999996
2049,CT,0.9999999999999996
2050,CT,0.9999999999999996
2010,IL,0.0236549390979454
2011,IL,0.0324253769425959
2012,IL,0.0376569955715993
2013,IL,0.0469045105398022
2014,IL,0.0535251300435099
2015,IL,0.0562862587263581
2016,IL,0.047161614886916
2017,IL,0.0568181944288807
2018,IL,0.0620344640994215
2019,IL,0.1041021381810108
2020,IL,0.1516583301611423
2021,IL,0.1685921717595472
2022,IL,0.1751324793732213
2023,IL,0.1933976665528982
2024,IL,0.2108266068867763
2025,IL,0.22825554722065436
2026,IL,0.24568448755453245
2027,IL,0.2631134278884105
2028,IL,0.2805423682222886
2029,IL,0.30731938073300963
2030,IL,0.3346430774620132
2031,IL,0.3608734057544516
2032,IL,0.36895668321193614
2033,IL,0.3770399606694207
2034,IL,0.3851232381269052
2035,IL,0.39320651558438974
2036,IL,0.4012897930418743
2037,IL,0.40937307049935884
2038,IL,0.4174563479568434
2039,IL,0.4255396254143279
2040,IL,0.43362290287181243
2041,IL,0.441706180329297
2042,IL,0.49270792986900797
2043,IL,0.543709679408719
2044,IL,0.59471142894843
2045,IL,0.645713178488141
2046,IL,0.696714928027852
2047,IL,0.747716677567563
2048,IL,0.798718427107274
2049,IL,0.8497201766469851
2050,IL,0.900721926186696
2010,MA,0.1042031857605314
2011,MA,0.1124310765171497
2012,MA,0.1227834839909599
2013,MA,0.1130952453824521
2014,MA,0.1239275651828719
2015,MA,0.1351256944647829
2016,MA,0.148181607413599
2017,MA,0.157381079908566
2018,MA,0.1921028322778663
2019,MA,0.2071168804713299
2020,MA,0.2369874531157784
2021,MA,0.3883157278408332
2022,MA,0.4277253226063012
2023,MA,0.5249015469832451
2024,MA,0.5442360798758371
2025,MA,0.5635706127684291
2026,MA,0.5829051456610211
2027,MA,0.6022396785536132
2028,MA,0.6215742114462052
2029,MA,0.6481864939399772
2030,MA,0.6570572547712347
2031,MA,0.6747987764337493
2032,MA,0.6836695372650068
2033,MA,0.7014110589275216
2034,MA,0.7102818197587789
2035,MA,0.7280233414212938
2036,MA,0.7457648630838087
2037,MA,0.7546356239150661
2038,MA,0.7723771455775809
2039,MA,0.784204826685924
2040,MA,0.798989428071353
2041,MA,0.8129291950919003
2042,MA,0.8268689621124476
2043,MA,0.84334323222764
2044,MA,0.8547484961535424
2045,MA,0.869955514721412
2046,MA,0.8826280301946371
2047,MA,0.8965677972151844
2048,MA,0.9143093188776992
2049,MA,0.9320508405402144
2050,MA,0.9497923622027288
2010,ME,0.3130886604653203
2011,ME,0.3510433838190474
2012,ME,0.3556933438643999
2013,ME,0.3717492000846056
2014,ME,0.3862089622509961
2015,ME,0.3902921311349948
2016,ME,0.4001778145752013
2017,ME,0.4133320424449069
2018,ME,0.4051353150776941
2019,ME,0.4056805507333414
2020,ME,0.4371518871931172
2021,ME,0.4598965873386648
2022,ME,0.4887617632503287
2023,ME,0.5157635216306353
2024,ME,0.5525270243635579
2025,ME,0.5891854615652735
2026,ME,0.6258940321435594
2027,ME,0.6633630427574736
2028,ME,0.7008320533713877
2029,ME,0.7383010639853018
2030,ME,0.7852388564870698
2031,ME,0.785911287801817
2032,ME,0.7865492789431102
2033,ME,0.7870395194294338
2034,ME,0.7942277994807309
2035,ME,0.8054131465798167
2036,ME,0.8165984936789025
2037,ME,0.8277838407779883
2038,ME,0.8389691878770741
2039,ME,0.8501545349761599
2040,ME,0.8613398820752457
2041,ME,0.8725252291743315
2042,ME,0.8837105762734173
2043,ME,0.8948959233725031
2044,ME,0.9060812704715889
2045,ME,0.9172666175706747
2046,ME,0.9284519646697605
2047,ME,0.9396373117688464
2048,ME,0.9508226588679322
2049,ME,0.962008005967018
2050,ME,0.9731933530661038
2010,MI,0.0
2011,MI,0.0
2012,MI,0.0331807674820671
2013,MI,0.0465643399297465
2014,MI,0.0569869833494406
2015,MI,0.0928298340612428
2016,MI,0.0910633982644901
2017,MI,0.0933589670031634
2018,MI,0.0907179447061068
2019,MI,0.1172957270613993
2020,MI,0.122419353114552
2021,MI,0.138704692693707
2022,MI,0.1348223116418812
2023,MI,0.1351134673622012
2024,MI,0.17057978830815163
2025,MI,0.20604610925410205
2026,MI,0.24151243020005247
