st,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
MA,0,0,0,0,1104,1104,2712,2968,4714,5514,6014,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492,6492
NY,0,0,0,0,130,1826,1826,3086,3086,4316,4316,5316,5316,6600,7200,8000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000
NJ,0,0,0,0,0,1100,1100,1100,1862,3758,3758,3758,4700,4700,6100,6100,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
DE,0,0,0,0,0,0,0,0,0,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050
MD,0,0,0,0,368,368,768,1168,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568
VA,0,12,12,12,12,892,1772,2652,2652,3532,3532,4245,4245,4245,4800,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200
NC,0,0,0,0,0,0,0,800,1600,1600,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
SC,0,0,0,0,0,0,0,0,0,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800
OH,0,0,0,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
RI,30,30,30,30,30,734,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538
