wst,r,szn,t,Value
fsu,p1,wint,2010,1.0
fsu,p1,wint,2012,1.06299008604324
fsu,p1,wint,2014,1.07676121079507
fsu,p1,wint,2016,1.09051871923103
fsu,p1,wint,2018,1.10418079320728
fsu,p1,wint,2020,1.11767105953966
fsu,p1,wint,2022,1.1309185900037
fsu,p1,wint,2024,1.14385790133456
fsu,p1,wint,2026,1.1564289552271
fsu,p1,wint,2028,1.1685771583358302
fsu,p1,wint,2030,1.1802533622749298
fsu,p1,wint,2032,1.19141386361827
fsu,p1,wint,2034,1.20202040389936
fsu,p1,wint,2036,1.2120401696113998
fsu,p1,wint,2038,1.22144579220723
fsu,p1,wint,2040,1.2302153480994
fsu,p1,wint,2042,1.23833235866009
fsu,p1,wint,2044,1.24578579022117
fsu,p1,wint,2046,1.25257005407418
fsu,p1,wint,2048,1.2586850064703101
fsu,p1,wint,2050,1.26413594862044
fsu,p1,wint,2052,1.2689336266951001
fsu,p1,wint,2054,1.2730942318245
fsu,p1,wint,2056,1.2766394000985202
fsu,p1,wint,2058,1.2795962125667
fsu,p1,wint,2060,1.28199719523826
fsu,p1,wint,2062,1.2838803190820702
fsu,p1,wint,2064,1.2852890000266899
fsu,p1,wint,2066,1.28627209896033
fsu,p1,wint,2068,1.2868839217308798
fsu,p1,wint,2070,1.2871842191458998
fsu,p1,wint,2072,1.2872381869726002
fsu,p1,wint,2074,1.28711646593789
fsu,p1,wint,2076,1.28689514172832
fsu,p1,wint,2078,1.28665574499013
fsu,p1,wint,2080,1.2864852513292
fsu,p1,wint,2082,1.28647608131111
fsu,p1,wint,2084,1.2867261004610901
fsu,p1,wint,2086,1.28733861926405
fsu,p1,wint,2088,1.28842239316455
fsu,p1,wint,2090,1.29009162256684
fsu,p1,wint,2092,1.29246595283482
fsu,p1,wint,2094,1.2956704742920802
fsu,p1,wint,2096,1.2998357222218602
fsu,p1,wint,2098,1.3050976768670701
fsu,p1,spri,2010,1.0
fsu,p1,spri,2012,0.9770697725194479
fsu,p1,spri,2014,0.9842852541765459
fsu,p1,spri,2016,0.991136098924345
fsu,p1,spri,2018,0.997619878737236
fsu,p1,spri,2020,1.00373442380096
fsu,p1,spri,2022,1.00947782251261
fsu,p1,spri,2024,1.0148484214806
fsu,p1,spri,2026,1.0198448255247299
fsu,p1,spri,2028,1.0244658976761298
fsu,p1,spri,2030,1.02871075917726
fsu,p1,spri,2032,1.03257878948195
fsu,p1,spri,2034,1.03606962625536
fsu,p1,spri,2036,1.03918316537402
fsu,p1,spri,2038,1.04191956092579
fsu,p1,spri,2040,1.04427922520987
fsu,p1,spri,2042,1.0462628287368199
fsu,p1,spri,2044,1.04787130022855
fsu,p1,spri,2046,1.04910582661831
fsu,p1,spri,2048,1.0499678530507
fsu,p1,spri,2050,1.05045908288166
fsu,p1,spri,2052,1.05058147767848
fsu,p1,spri,2054,1.05033725721981
fsu,p1,spri,2056,1.04972889949563
fsu,p1,spri,2058,1.04875914070727
fsu,p1,spri,2060,1.04743097526741
fsu,p1,spri,2062,1.04574765580009
fsu,p1,spri,2064,1.0437126931406702
fsu,p1,spri,2066,1.04132985633587
fsu,p1,spri,2068,1.0386031726437799
fsu,p1,spri,2070,1.03553692753379
fsu,p1,spri,2072,1.03213566468668
fsu,p1,spri,2074,1.02840418599455
fsu,p1,spri,2076,1.02434755156087
fsu,p1,spri,2078,1.01997107970042
fsu,p1,spri,2080,1.01528034693938
fsu,p1,spri,2082,1.01028118801522
fsu,p1,spri,2084,1.00497969587681
fsu,p1,spri,2086,0.999382221684318
fsu,p1,spri,2088,0.9934953748093001
fsu,p1,spri,2090,0.987326022834637
fsu,p1,spri,2092,0.9808812915545609
fsu,p1,spri,2094,0.974168564974653
fsu,p1,spri,2096,0.967195485311841
fsu,p1,spri,2098,0.9599699529943979
fsu,p1,summ,2010,1.0
fsu,p1,summ,2012,0.8895053523882641
fsu,p1,summ,2014,0.8863254019655071
fsu,p1,summ,2016,0.883071256534596
fsu,p1,summ,2018,0.879714622261087
fsu,p1,summ,2020,0.8762293452333291
fsu,p1,summ,2022,0.8725914114624681
fsu,p1,summ,2024,0.8687789468824421
fsu,p1,summ,2026,0.864772217349987
fsu,p1,summ,2028,0.8605536286446289
fsu,p1,summ,2030,0.856107726468693
fsu,p1,summ,2032,0.8514211964472941
fsu,p1,summ,2034,0.846482864128345
fsu,p1,summ,2036,0.8412836949825508
fsu,p1,summ,2038,0.8358167944034142
fsu,p1,summ,2040,0.830077407707228
fsu,p1,summ,2042,0.824062920133084
fsu,p1,summ,2044,0.817772856842864
fsu,p1,summ,2046,0.811208882921247
fsu,p1,summ,2048,0.804374803375707
fsu,p1,summ,2050,0.79727656313651
fsu,p1,summ,2052,0.7899222470567191
fsu,p1,summ,2054,0.7823220799121899
fsu,p1,summ,2056,0.7744884264015741
fsu,p1,summ,2058,0.7664357911463159
fsu,p1,summ,2060,0.7581808186906551
fsu,p1,summ,2062,0.7497422935016259
fsu,p1,summ,2064,0.7411411399690581
fsu,p1,summ,2066,0.732400422405574
fsu,p1,summ,2068,0.723545345046591
fsu,p1,summ,2070,0.714603252050322
fsu,p1,summ,2072,0.705603627497772
fsu,p1,summ,2074,0.696578095392744
fsu,p1,summ,2076,0.687560419661832
fsu,p1,summ,2078,0.678586504154427
fsu,p1,summ,2080,0.669694392642712
fsu,p1,summ,2082,0.660924268821668
fsu,p1,summ,2084,0.652318456309066
fsu,p1,summ,2086,0.643921418645475
fsu,p1,summ,2088,0.6357797592942579
fsu,p1,summ,2090,0.6279422216415711
fsu,p1,summ,2092,0.6204596889963649
fsu,p1,summ,2094,0.613385184590386
fsu,p1,summ,2096,0.606773871578174
fsu,p1,summ,2098,0.600683053037064
fsu,p1,fall,2010,1.0
fsu,p1,fall,2012,1.0954387855835401
fsu,p1,fall,2014,1.0997067702498602
fsu,p1,fall,2016,1.10322702970591
fsu,p1,fall,2018,1.10592893281571
fsu,p1,fall,2020,1.10775255123851
fsu,p1,fall,2022,1.10864865942873
fsu,p1,fall,2024,1.10857873463603
fsu,p1,fall,2026,1.10751495690525
fsu,p1,fall,2028,1.1054402090764501
fsu,p1,fall,2030,1.1023480767848999
fsu,p1,fall,2032,1.09824284846105
fsu,p1,fall,2034,1.09313951533059
fsu,p1,fall,2036,1.0870637714144
fsu,p1,fall,2038,1.08005201352856
fsu,p1,fall,2040,1.07215134128437
fsu,p1,fall,2042,1.06341955708832
fsu,p1,fall,2044,1.05392516614213
fsu,p1,fall,2046,1.0437473764426999
fsu,p1,fall,2048,1.03297609878215
fsu,p1,fall,2050,1.0217119467478002
fsu,p1,fall,2052,1.01006623672219
fsu,p1,fall,2054,0.99816098788305
fsu,p1,fall,2056,0.9861289222033208
fsu,p1,fall,2058,0.974113464451153
fsu,p1,fall,2060,0.9622687421898979
fsu,p1,fall,2062,0.9507595857781189
fsu,p1,fall,2064,0.9397615283695799
fsu,p1,fall,2066,0.929460805913256
fsu,p1,fall,2068,0.920054357153323
fsu,p1,fall,2070,0.9117498236291669
fsu,p1,fall,2072,0.9047655496753791
fsu,p1,fall,2074,0.899330582421755
fsu,p1,fall,2076,0.895684671793299
fsu,p1,fall,2078,0.8940782705102199
fsu,p1,fall,2080,0.894772534087933
fsu,p1,fall,2082,0.8980393208370591
fsu,p1,fall,2084,0.9041611918634259
fsu,p1,fall,2086,0.9134314110680669
fsu,p1,fall,2088,0.926153945147223
fsu,p1,fall,2090,0.942643463592338
fsu,p1,fall,2092,0.9632253386900641
fsu,p1,fall,2094,0.9882356455222601
fsu,p1,fall,2096,1.01802116196599
fsu,p1,fall,2098,1.05293936869352
fsu,p2,wint,2010,1.0
fsu,p2,wint,2012,1.24537253488093
fsu,p2,wint,2014,1.29480387375429
fsu,p2,wint,2016,1.33815018094812
fsu,p2,wint,2018,1.37589834415315
fsu,p2,wint,2020,1.4085208227891899
fsu,p2,wint,2022,1.4364756480052001
fsu,p2,wint,2024,1.46020642267925
fsu,p2,wint,2026,1.48014232141854
fsu,p2,wint,2028,1.4966980905593799
fsu,p2,wint,2030,1.51027404816722
fsu,p2,wint,2032,1.52125608403659
fsu,p2,wint,2034,1.5300156596911898
fsu,p2,wint,2036,1.53690980838382
fsu,p2,wint,2038,1.5422811350963899
fsu,p2,wint,2040,1.5464578165399399
fsu,p2,wint,2042,1.5497536011546498
fsu,p2,wint,2044,1.5524678091098
fsu,p2,wint,2046,1.5548853323037901
fsu,p2,wint,2048,1.55727663436414
fsu,p2,wint,2050,1.5598977506475202
fsu,p2,wint,2052,1.56299028823968
fsu,p2,wint,2054,1.5667814259555102
fsu,p2,wint,2056,1.57148391433904
fsu,p2,wint,2058,1.5772960756633898
fsu,p2,wint,2060,1.58440180393081
fsu,p2,wint,2062,1.59297056487269
fsu,p2,wint,2064,1.60315739594951
fsu,p2,wint,2066,1.6151029063509
fsu,p2,wint,2068,1.6289332769956002
fsu,p2,wint,2070,1.64476026053146
fsu,p2,wint,2072,1.66268118133546
fsu,p2,wint,2074,1.68277893551372
fsu,p2,wint,2076,1.7051219909014401
fsu,p2,wint,2078,1.72976438706299
fsu,p2,wint,2080,1.75674573529181
fsu,p2,wint,2082,1.78609121861051
