r,t,Value
p1,2010,1.0
p1,2012,1.06048414325596
p1,2014,1.07431646280219
p1,2016,1.08559224983484
p1,2018,1.09455434815961
p1,2020,1.10143533114564
p1,2022,1.10645750172545
p1,2024,1.109832892395
p1,2026,1.11176326521362
p1,2028,1.11244011180411
p1,2030,1.1120446533526203
p1,2032,1.11074784060875
p1,2034,1.10871035388549
p1,2036,1.1060826030592599
p1,2038,1.10300472756987
p1,2040,1.0996065964205501
p1,2042,1.0960078081779498
p1,2044,1.09231769097211
p1,2046,1.08863530249651
p1,2048,1.085049430008
p1,2050,1.0816385903268801
p1,2052,1.0784710298368299
p1,2054,1.07560472448497
p1,2056,1.0730873797818101
p1,2058,1.07095643080127
p1,2060,1.0692390421807
p1,2062,1.0679521081208299
p1,2064,1.06710225238584
p1,2066,1.06668582830328
p1,2068,1.06668891876413
p1,2070,1.06708733622279
p1,2072,1.0678466226970602
p1,2074,1.06892204976815
p1,2076,1.07025861858067
p1,2078,1.07179105984267
p1,2080,1.07344383382559
p1,2082,1.07513113036428
p1,2084,1.076756868857
p1,2086,1.07821469826544
p1,2088,1.07938799711467
p1,2090,1.0801498734932
p1,2092,1.0803631650529302
p1,2094,1.07988043900918
p1,2096,1.07854399214068
p1,2098,1.07618585078956
p2,2010,1.0
p2,2012,1.10742571847241
p2,2014,1.13416277056429
p2,2016,1.1555072241222801
p2,2018,1.17197663412579
p2,2020,1.184067166735
p2,2022,1.19225359929084
p2,2024,1.1969893203150601
p2,2026,1.1987063295101499
p2,2028,1.1978152377593998
p2,2030,1.19470526712685
p2,2032,1.1897442508573401
p2,2034,1.18327863337649
p2,2036,1.17563347029066
p2,2038,1.16711242838702
p2,2040,1.15799778563351
p2,2042,1.1485504311788401
p2,2044,1.1390098653525
p2,2046,1.12959419966474
p2,2048,1.12050015680662
p2,2050,1.11190307064994
p2,2052,1.1039568862472902
p2,2054,1.09679415983206
p2,2056,1.09052605881837
p2,2058,1.08524236180115
p2,2060,1.0810114585561
p2,2062,1.07788035003968
p2,2064,1.0758746483891601
p2,2066,1.07499857692254
p2,2068,1.07523497013863
p2,2070,1.07654527371701
p2,2072,1.07886954451803
p2,2074,1.0821264505828199
p2,2076,1.0862132711332801
p2,2078,1.09100589657209
p2,2080,1.09635882848271
p2,2082,1.1021051796293797
p2,2084,1.10805667395709
p2,2086,1.1140036465916399
