,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17
p1,0.004,0.342,0.406,0.052,0.0,0.239,0.243,0.006,0.0,0.11,0.113,0.0,0.002,0.277,0.299,0.025,0.383
p10,0.003,0.446,0.488,0.03,0.0,0.4,0.369,0.004,0.0,0.295,0.271,0.001,0.001,0.423,0.448,0.017,0.471
p100,0.002,0.347,0.363,0.039,0.0,0.288,0.277,0.008,0.0,0.223,0.241,0.002,0.001,0.329,0.353,0.028,0.344
p101,0.0,0.348,0.353,0.029,0.0,0.321,0.321,0.011,0.0,0.283,0.329,0.008,0.0,0.38,0.428,0.031,0.261
p102,0.0,0.35,0.362,0.027,0.0,0.328,0.317,0.008,0.0,0.289,0.328,0.006,0.0,0.384,0.422,0.024,0.281
p103,0.001,0.331,0.409,0.061,0.0,0.244,0.29,0.016,0.0,0.141,0.203,0.005,0.0,0.303,0.377,0.043,0.403
p104,0.001,0.337,0.409,0.062,0.0,0.242,0.286,0.017,0.0,0.129,0.191,0.006,0.0,0.299,0.366,0.044,0.406
p105,0.002,0.345,0.413,0.052,0.0,0.274,0.305,0.014,0.0,0.16,0.213,0.005,0.001,0.313,0.371,0.036,0.385
p106,0.0,0.318,0.437,0.063,0.0,0.266,0.35,0.021,0.0,0.158,0.255,0.007,0.0,0.286,0.395,0.046,0.367
p107,0.001,0.34,0.416,0.051,0.0,0.294,0.332,0.015,0.0,0.18,0.245,0.006,0.001,0.307,0.375,0.036,0.376
p108,0.005,0.395,0.343,0.024,0.0,0.358,0.266,0.003,0.0,0.228,0.201,0.001,0.002,0.365,0.317,0.014,0.333
p109,0.001,0.337,0.396,0.051,0.0,0.284,0.315,0.016,0.0,0.185,0.243,0.006,0.0,0.308,0.361,0.038,0.361
p11,0.002,0.443,0.439,0.018,0.0,0.408,0.346,0.001,0.0,0.332,0.278,0.0,0.001,0.439,0.419,0.01,0.456
p110,0.001,0.318,0.391,0.051,0.0,0.269,0.324,0.015,0.0,0.18,0.249,0.006,0.0,0.293,0.353,0.035,0.39
p111,0.001,0.332,0.4,0.05,0.0,0.263,0.294,0.012,0.0,0.157,0.199,0.003,0.0,0.307,0.361,0.034,0.373
p112,0.001,0.336,0.394,0.05,0.0,0.275,0.298,0.013,0.0,0.161,0.204,0.004,0.0,0.309,0.351,0.035,0.375
p113,0.001,0.344,0.39,0.052,0.0,0.28,0.301,0.015,0.0,0.167,0.211,0.006,0.0,0.307,0.341,0.037,0.365
p114,0.001,0.346,0.372,0.048,0.0,0.289,0.282,0.016,0.0,0.181,0.209,0.006,0.0,0.314,0.319,0.035,0.333
p115,0.001,0.327,0.382,0.045,0.0,0.268,0.29,0.01,0.0,0.171,0.215,0.002,0.001,0.303,0.347,0.03,0.342
p116,0.001,0.336,0.385,0.042,0.0,0.284,0.296,0.009,0.0,0.197,0.238,0.003,0.001,0.315,0.35,0.029,0.353
p117,0.001,0.327,0.381,0.045,0.0,0.284,0.305,0.012,0.0,0.193,0.245,0.004,0.0,0.305,0.348,0.031,0.379
p118,0.001,0.336,0.381,0.042,0.0,0.29,0.319,0.012,0.0,0.227,0.281,0.005,0.0,0.327,0.369,0.032,0.363
p119,0.002,0.339,0.367,0.039,0.0,0.276,0.271,0.008,0.0,0.191,0.214,0.002,0.001,0.325,0.34,0.027,0.313
p12,0.006,0.503,0.454,0.031,0.0,0.462,0.358,0.004,0.0,0.303,0.251,0.001,0.003,0.48,0.421,0.018,0.371
p120,0.003,0.353,0.359,0.037,0.0,0.278,0.264,0.008,0.0,0.202,0.209,0.002,0.001,0.331,0.343,0.026,0.298
p121,0.002,0.36,0.358,0.037,0.0,0.3,0.274,0.007,0.0,0.226,0.228,0.002,0.001,0.337,0.337,0.026,0.311
p122,0.003,0.365,0.343,0.033,0.0,0.301,0.255,0.005,0.0,0.223,0.207,0.001,0.002,0.347,0.327,0.022,0.318
p123,0.002,0.376,0.353,0.032,0.0,0.312,0.268,0.006,0.0,0.236,0.229,0.002,0.001,0.356,0.34,0.023,0.34
p124,0.003,0.368,0.371,0.035,0.0,0.307,0.274,0.006,0.0,0.215,0.213,0.002,0.002,0.35,0.348,0.025,0.367
p125,0.003,0.371,0.339,0.032,0.0,0.319,0.264,0.005,0.0,0.249,0.22,0.001,0.002,0.369,0.342,0.022,0.365
p126,0.003,0.369,0.335,0.029,0.0,0.316,0.254,0.004,0.0,0.234,0.202,0.001,0.002,0.355,0.325,0.019,0.344
p127,0.004,0.364,0.347,0.034,0.0,0.287,0.244,0.005,0.0,0.192,0.177,0.001,0.002,0.343,0.323,0.022,0.332
p128,0.005,0.377,0.329,0.029,0.0,0.318,0.236,0.004,0.0,0.218,0.164,0.0,0.003,0.362,0.305,0.018,0.329
p129,0.006,0.366,0.319,0.029,0.0,0.289,0.225,0.004,0.0,0.198,0.157,0.0,0.004,0.354,0.304,0.017,0.34
p13,0.004,0.49,0.438,0.02,0.0,0.461,0.35,0.002,0.0,0.357,0.277,0.0,0.002,0.506,0.435,0.011,0.38
p130,0.007,0.389,0.287,0.024,0.001,0.323,0.203,0.002,0.0,0.234,0.155,0.0,0.004,0.381,0.274,0.014,0.293
p131,0.006,0.378,0.32,0.025,0.0,0.321,0.226,0.002,0.0,0.234,0.173,0.0,0.003,0.369,0.298,0.014,0.321
p132,0.005,0.361,0.323,0.03,0.0,0.3,0.237,0.004,0.0,0.225,0.184,0.0,0.003,0.345,0.306,0.018,0.325
p133,0.006,0.387,0.306,0.025,0.001,0.32,0.211,0.002,0.0,0.228,0.16,0.0,0.004,0.369,0.281,0.014,0.295
p134,0.008,0.372,0.306,0.026,0.001,0.316,0.22,0.002,0.0,0.225,0.159,0.0,0.005,0.365,0.294,0.014,0.356
p14,0.009,0.448,0.405,0.03,0.0,0.353,0.26,0.002,0.0,0.183,0.148,0.0,0.003,0.373,0.323,0.016,0.382
p15,0.002,0.415,0.535,0.072,0.0,0.351,0.434,0.02,0.0,0.183,0.253,0.005,0.0,0.364,0.466,0.049,0.453
p16,0.004,0.433,0.488,0.063,0.0,0.356,0.393,0.015,0.0,0.168,0.203,0.004,0.001,0.37,0.423,0.044,0.466
p17,0.003,0.393,0.455,0.066,0.0,0.299,0.322,0.013,0.0,0.16,0.192,0.002,0.001,0.33,0.375,0.043,0.392
p18,0.004,0.415,0.441,0.053,0.0,0.307,0.318,0.008,0.0,0.179,0.194,0.001,0.001,0.354,0.384,0.034,0.444
p19,0.006,0.426,0.4,0.044,0.0,0.332,0.272,0.005,0.0,0.18,0.137,0.0,0.003,0.391,0.347,0.025,0.447
p2,0.005,0.384,0.435,0.049,0.0,0.295,0.285,0.006,0.0,0.139,0.144,0.0,0.002,0.321,0.339,0.026,0.423
p20,0.005,0.427,0.409,0.045,0.0,0.324,0.285,0.007,0.0,0.202,0.18,0.001,0.002,0.366,0.353,0.029,0.41
p21,0.006,0.432,0.438,0.049,0.0,0.382,0.379,0.011,0.0,0.243,0.258,0.002,0.002,0.403,0.435,0.035,0.401
p22,0.008,0.434,0.366,0.047,0.0,0.341,0.249,0.007,0.0,0.204,0.173,0.001,0.004,0.381,0.322,0.031,0.361
p23,0.007,0.46,0.405,0.037,0.0,0.363,0.29,0.005,0.0,0.219,0.185,0.001,0.003,0.408,0.357,0.022,0.348
p24,0.007,0.477,0.356,0.034,0.0,0.405,0.278,0.006,0.0,0.253,0.214,0.001,0.003,0.425,0.337,0.022,0.293
p25,0.002,0.413,0.496,0.059,0.0,0.355,0.408,0.015,0.0,0.214,0.271,0.004,0.001,0.378,0.464,0.042,0.46
p26,0.004,0.447,0.447,0.052,0.0,0.379,0.368,0.014,0.0,0.215,0.233,0.003,0.002,0.398,0.41,0.039,0.405
p27,0.001,0.383,0.544,0.065,0.0,0.36,0.463,0.02,0.0,0.282,0.391,0.009,0.0,0.4,0.546,0.05,0.459
p28,0.0,0.405,0.492,0.043,0.0,0.392,0.423,0.012,0.0,0.31,0.371,0.005,0.0,0.435,0.521,0.034,0.391
p29,0.003,0.385,0.425,0.044,0.0,0.395,0.426,0.014,0.0,0.319,0.4,0.005,0.001,0.434,0.526,0.04,0.31
p3,0.007,0.437,0.433,0.035,0.0,0.347,0.285,0.003,0.0,0.163,0.146,0.0,0.003,0.374,0.342,0.018,0.409
p30,0.0,0.414,0.458,0.036,0.0,0.404,0.408,0.01,0.0,0.336,0.385,0.005,0.0,0.457,0.519,0.032,0.316
p31,0.002,0.463,0.423,0.03,0.0,0.436,0.381,0.006,0.0,0.358,0.344,0.002,0.001,0.472,0.465,0.023,0.351
p32,0.007,0.416,0.41,0.037,0.0,0.34,0.309,0.005,0.0,0.239,0.261,0.001,0.004,0.388,0.392,0.022,0.412
p33,0.005,0.453,0.358,0.028,0.0,0.396,0.308,0.005,0.0,0.289,0.265,0.001,0.002,0.427,0.366,0.02,0.306
p34,0.006,0.467,0.373,0.03,0.0,0.417,0.339,0.006,0.0,0.312,0.292,0.002,0.003,0.453,0.402,0.023,0.362
p35,0.006,0.432,0.418,0.037,0.0,0.33,0.286,0.004,0.0,0.173,0.18,0.0,0.003,0.383,0.374,0.021,0.437
p36,0.002,0.372,0.459,0.064,0.0,0.28,0.327,0.014,0.0,0.133,0.222,0.003,0.001,0.327,0.414,0.041,0.428
p37,0.002,0.353,0.44,0.06,0.0,0.273,0.325,0.013,0.0,0.131,0.218,0.003,0.001,0.32,0.415,0.04,0.414
p38,0.002,0.362,0.452,0.057,0.0,0.29,0.339,0.012,0.0,0.173,0.257,0.003,0.001,0.329,0.416,0.037,0.426
p39,0.006,0.45,0.415,0.027,0.0,0.38,0.313,0.004,0.0,0.252,0.249,0.0,0.003,0.409,0.375,0.015,0.393
p4,0.005,0.468,0.452,0.036,0.0,0.363,0.298,0.003,0.0,0.171,0.159,0.0,0.002,0.403,0.37,0.019,0.407
p40,0.001,0.354,0.476,0.062,0.0,0.301,0.383,0.018,0.0,0.202,0.309,0.006,0.0,0.331,0.435,0.042,0.436
p41,0.001,0.362,0.455,0.052,0.0,0.304,0.363,0.012,0.0,0.198,0.278,0.003,0.0,0.336,0.409,0.034,0.422
p42,0.003,0.351,0.414,0.057,0.0,0.25,0.284,0.01,0.0,0.127,0.188,0.002,0.001,0.317,0.388,0.037,0.43
p43,0.004,0.355,0.416,0.048,0.0,0.263,0.298,0.009,0.0,0.164,0.22,0.002,0.002,0.325,0.382,0.031,0.384
p44,0.002,0.353,0.429,0.054,0.0,0.282,0.326,0.011,0.0,0.164,0.246,0.003,0.001,0.324,0.396,0.035,0.432
p45,0.002,0.356,0.436,0.049,0.0,0.293,0.342,0.01,0.0,0.181,0.259,0.003,0.001,0.331,0.406,0.032,0.418
p46,0.005,0.355,0.381,0.044,0.0,0.267,0.267,0.008,0.0,0.164,0.197,0.001,0.003,0.329,0.349,0.028,0.347
p47,0.002,0.447,0.413,0.029,0.0,0.418,0.362,0.008,0.0,0.348,0.333,0.003,0.001,0.462,0.436,0.022,0.395
p48,0.0,0.36,0.533,0.073,0.0,0.322,0.461,0.031,0.0,0.261,0.425,0.018,0.0,0.359,0.532,0.06,0.468
p49,0.0,0.375,0.519,0.067,0.0,0.327,0.436,0.024,0.0,0.252,0.384,0.013,0.0,0.361,0.5,0.049,0.486
p5,0.004,0.37,0.459,0.057,0.0,0.276,0.294,0.008,0.0,0.127,0.147,0.001,0.001,0.289,0.332,0.028,0.424
p50,0.0,0.35,0.484,0.055,0.0,0.303,0.388,0.016,0.0,0.234,0.336,0.007,0.0,0.321,0.439,0.04,0.429
p51,0.001,0.341,0.456,0.05,0.0,0.292,0.359,0.012,0.0,0.222,0.304,0.005,0.0,0.317,0.413,0.032,0.412
p52,0.001,0.364,0.518,0.071,0.0,0.317,0.429,0.025,0.0,0.237,0.382,0.012,0.0,0.345,0.485,0.05,0.502
p53,0.001,0.347,0.463,0.054,0.0,0.304,0.371,0.015,0.0,0.229,0.323,0.006,0.0,0.324,0.418,0.037,0.418
p54,0.002,0.331,0.417,0.047,0.0,0.305,0.342,0.011,0.0,0.217,0.282,0.003,0.001,0.322,0.375,0.03,0.384
p55,0.001,0.349,0.426,0.044,0.0,0.306,0.347,0.01,0.0,0.209,0.271,0.003,0.001,0.317,0.388,0.029,0.395
p56,0.001,0.347,0.436,0.045,0.0,0.295,0.343,0.01,0.0,0.212,0.268,0.003,0.0,0.311,0.389,0.028,0.383
p57,0.001,0.363,0.426,0.038,0.0,0.306,0.346,0.01,0.0,0.225,0.285,0.004,0.0,0.319,0.396,0.027,0.385
p58,0.001,0.366,0.335,0.023,0.0,0.334,0.301,0.005,0.0,0.26,0.263,0.002,0.001,0.358,0.363,0.019,0.316
p59,0.001,0.422,0.455,0.032,0.0,0.404,0.422,0.008,0.0,0.351,0.393,0.003,0.0,0.449,0.512,0.026,0.418
p6,0.006,0.446,0.45,0.055,0.0,0.338,0.303,0.01,0.0,0.158,0.165,0.001,0.002,0.35,0.346,0.031,0.431
p60,0.0,0.353,0.508,0.066,0.0,0.321,0.438,0.027,0.0,0.253,0.4,0.014,0.0,0.346,0.506,0.051,0.41
p61,0.0,0.348,0.491,0.057,0.0,0.322,0.433,0.025,0.0,0.267,0.415,0.016,0.0,0.349,0.509,0.049,0.409
p62,0.0,0.357,0.516,0.068,0.0,0.331,0.455,0.031,0.0,0.26,0.415,0.018,0.0,0.363,0.531,0.056,0.439
