i,SO2,NOx,Hg,CO2
Biopower,0.00004,1.00E-05,0,0
beccs_mod,0,3.00E-05,0,-0.060021
beccs_max,0,2.80E-05,0,-0.071181
gas-CT,0.0000049,7.00E-05,0,0.053061224
gas-CC,0.00000165,1.00E-05,0,0.053061224
h2-ct,0,7.00E-05,0,0
h2-cc,0,7.00E-05,0,0
CoalOldScr,0.0001,9.50E-05,2.18E-10,0.095487528
CoalOldUns,0.0001665,9.50E-05,2.65E-10,0.095487528
coal-new,0.000045,4.00E-05,2.18E-10,0.095487528
coal-IGCC,0.00002775,4.25E-05,2.18E-10,0.095487528
o-g-s,0.0001495,8.62E-05,0,0.062131519
CofireOld,0.0001,9.50E-05,2.18E-10,0.095487528
CofireNew,0.000045,4.00E-05,2.18E-10,0.095487528
