i,SO2,NOx,Hg,CH4,CO2
beccs_mod,0,0,0,0,0.90
beccs_max,0,0,0,0,0.99
coal-CCS_mod,0,0,0,0,0.90
coal-CCS_max,0,0,0,0,0.99
Coal-IGCC_coal-CCS_mod,0,0,0,0,0.90
coal-new_coal-CCS_mod,0,0,0,0,0.90
CoalOldScr_coal-CCS_mod,0,0,0,0,0.90
CoalOldUns_coal-CCS_mod,0,0,0,0,0.90
CofireNew_coal-CCS_mod,0,0,0,0,0.90
CofireOld_coal-CCS_mod,0,0,0,0,0.90
Coal-IGCC_coal-CCS_max,0,0,0,0,0.99
coal-new_coal-CCS_max,0,0,0,0,0.99
CoalOldScr_coal-CCS_max,0,0,0,0,0.99
CoalOldUns_coal-CCS_max,0,0,0,0,0.99
CofireNew_coal-CCS_max,0,0,0,0,0.99
CofireOld_coal-CCS_max,0,0,0,0,0.99
gas-CC-CCS_mod,0,0,0,0,0.90
gas-CC-CCS_max,0,0,0,0,0.99
