t,none,Alvarez2018,EPA2017,Alvarez2018_30by2030
2010,0,0.023,0.014,0.023
2011,0,0.023,0.014,0.023
2012,0,0.023,0.014,0.023
2013,0,0.023,0.014,0.023
2014,0,0.023,0.014,0.023
2015,0,0.023,0.014,0.023
2016,0,0.023,0.014,0.023
2017,0,0.023,0.014,0.023
2018,0,0.023,0.014,0.023
2019,0,0.023,0.014,0.023
2020,0,0.023,0.014,0.023
2021,0,0.023,0.014,0.023
2022,0,0.023,0.014,0.0222333
2023,0,0.023,0.014,0.0214667
2024,0,0.023,0.014,0.0207
2025,0,0.023,0.014,0.0199333
2026,0,0.023,0.014,0.0191667
2027,0,0.023,0.014,0.0184
2028,0,0.023,0.014,0.0176333
2029,0,0.023,0.014,0.0168667
2030,0,0.023,0.014,0.0161
2031,0,0.023,0.014,0.0161
2032,0,0.023,0.014,0.0161
2033,0,0.023,0.014,0.0161
2034,0,0.023,0.014,0.0161
2035,0,0.023,0.014,0.0161
2036,0,0.023,0.014,0.0161
2037,0,0.023,0.014,0.0161
2038,0,0.023,0.014,0.0161
2039,0,0.023,0.014,0.0161
2040,0,0.023,0.014,0.0161
2041,0,0.023,0.014,0.0161
2042,0,0.023,0.014,0.0161
2043,0,0.023,0.014,0.0161
2044,0,0.023,0.014,0.0161
2045,0,0.023,0.014,0.0161
2046,0,0.023,0.014,0.0161
2047,0,0.023,0.014,0.0161
2048,0,0.023,0.014,0.0161
2049,0,0.023,0.014,0.0161
2050,0,0.023,0.014,0.0161
