i,SO2,NOx,Hg,CH4,CO2
beccs_mod,0,0,0,0,0.8
beccs_max,0,0,0,0,0.95
coal-CCS_mod,0,0,0,0,0.8
coal-CCS_max,0,0,0,0,0.95
Coal-IGCC_coal-CCS_mod,0,0,0,0,0.8
coal-new_coal-CCS_mod,0,0,0,0,0.8
CoalOldScr_coal-CCS_mod,0,0,0,0,0.8
CoalOldUns_coal-CCS_mod,0,0,0,0,0.8
CofireNew_coal-CCS_mod,0,0,0,0,0.8
CofireOld_coal-CCS_mod,0,0,0,0,0.8
Coal-IGCC_coal-CCS_max,0,0,0,0,0.95
coal-new_coal-CCS_max,0,0,0,0,0.95
CoalOldScr_coal-CCS_max,0,0,0,0,0.95
CoalOldUns_coal-CCS_max,0,0,0,0,0.95
CofireNew_coal-CCS_max,0,0,0,0,0.95
CofireOld_coal-CCS_max,0,0,0,0,0.95
gas-CC-CCS_mod,0,0,0,0,0.8
gas-CC-CCS_max,0,0,0,0,0.95
