name,activate,tech,year,color,reeds_run_path,meta_path,profile_path,profile_timezone
100hh,1,wind-ons,2025,#1f77b4,/projects/amazon/ReEDS-2.0_2/runs/bespoke2_USA,/kfs2/shared-projects/rev/projects/weto/fy23/atb/rev/standard_scenarios/corrections/processed_tables/reference_2030_moderate_100hh_148rd_supply-curve.csv,/kfs2/shared-projects/rev/projects/weto/fy23/atb/rev/standard_scenarios/corrections/reference_2030_moderate_100hh_148rd/reference_2030_moderate_100hh_148rd_bespoke.h5,0
115hh,1,wind-ons,2025,#ff7f0e,/projects/amazon/ReEDS-2.0_2/runs/bespoke2_USA,/kfs2/shared-projects/rev/projects/weto/fy23/atb/rev/standard_scenarios/corrections/processed_tables/reference_2030_moderate_115hh_170rd_supply-curve.csv,/kfs2/shared-projects/rev/projects/weto/fy23/atb/rev/standard_scenarios/corrections/reference_2030_moderate_115hh_170rd/reference_2030_moderate_115hh_170rd_bespoke.h5,0
130hh,1,wind-ons,2025,#2ca02c,/projects/amazon/ReEDS-2.0_2/runs/bespoke2_USA,/kfs2/shared-projects/rev/projects/weto/fy23/atb/rev/standard_scenarios/corrections/processed_tables/reference_2030_moderate_130hh_196rd_supply-curve.csv,/kfs2/shared-projects/rev/projects/weto/fy23/atb/rev/standard_scenarios/corrections/reference_2030_moderate_130hh_196rd/reference_2030_moderate_130hh_196rd_bespoke.h5,0
140hh,1,wind-ons,2025,#d62728,/projects/amazon/ReEDS-2.0_2/runs/bespoke2_USA,/kfs2/shared-projects/rev/projects/weto/fy23/atb/rev/standard_scenarios/corrections/processed_tables/reference_2030_moderate_140hh_196rd_supply-curve.csv,/kfs2/shared-projects/rev/projects/weto/fy23/atb/rev/standard_scenarios/corrections/reference_2030_moderate_140hh_196rd/reference_2030_moderate_140hh_196rd_bespoke.h5,0
GHP_Commercial_2026,0,load,2026,#9467bd,\\nrelnas01\ReEDS\FY24-reValue\PR1200_reValue\v4_Pacific,none,\\nrelnas01\ReEDS\FY24-reValue\PR1200_reValue\Commercial_GHP_Delta.csv,local
GHP_Residential_2026,0,load,2026,#8c564b,\\nrelnas01\ReEDS\FY24-reValue\PR1200_reValue\v4_Pacific,none,\\nrelnas01\ReEDS\FY24-reValue\PR1200_reValue\Residential_GHP_Delta.csv,local
GHP_Commercial_2029,0,load,2029,#e377c2,\\nrelnas01\ReEDS\FY24-reValue\PR1200_reValue\v4_Pacific,none,\\nrelnas01\ReEDS\FY24-reValue\PR1200_reValue\Commercial_GHP_Delta.csv,local
GHP_Residential_2029,0,load,2029,#7f7f7f,\\nrelnas01\ReEDS\FY24-reValue\PR1200_reValue\v4_Pacific,none,\\nrelnas01\ReEDS\FY24-reValue\PR1200_reValue\Residential_GHP_Delta.csv,local
resstock_base_2026,0,load,2026,#7f7f7f,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\main_20240512_Ref,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_res_up-0-1-5_baseline_outputs_2024-05-15-14-54-33\res_meta_upgrade0.csv,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_res_up-0-1-5_baseline_outputs_2024-05-15-14-54-33\res_eulp_upgrade0.csv,-5
resstock_hp_2026,0,load,2026,#7f7f7f,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\main_20240512_Ref,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_res_up-0-1-5_baseline_outputs_2024-05-15-14-54-33\res_meta_upgrade1.csv,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_res_up-0-1-5_baseline_outputs_2024-05-15-14-54-33\res_eulp_upgrade1.csv,-5
resstock_ghp_2026,0,load,2026,#7f7f7f,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\main_20240512_Ref,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_res_up-0-1-5_baseline_outputs_2024-05-15-14-54-33\res_meta_upgrade5.csv,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_res_up-0-1-5_baseline_outputs_2024-05-15-14-54-33\res_eulp_upgrade5.csv,-5
resstock_base_2032,0,load,2032,#7f7f7f,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\main_20240512_Ref,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_res_up-0-1-5_baseline_outputs_2024-05-15-14-54-33\res_meta_upgrade0.csv,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_res_up-0-1-5_baseline_outputs_2024-05-15-14-54-33\res_eulp_upgrade0.csv,-5
resstock_hp_2032,0,load,2032,#7f7f7f,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\main_20240512_Ref,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_res_up-0-1-5_baseline_outputs_2024-05-15-14-54-33\res_meta_upgrade1.csv,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_res_up-0-1-5_baseline_outputs_2024-05-15-14-54-33\res_eulp_upgrade1.csv,-5
resstock_ghp_2032,0,load,2032,#7f7f7f,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\main_20240512_Ref,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_res_up-0-1-5_baseline_outputs_2024-05-15-14-54-33\res_meta_upgrade5.csv,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_res_up-0-1-5_baseline_outputs_2024-05-15-14-54-33\res_eulp_upgrade5.csv,-5
resstock_base_2050,0,load,2050,#7f7f7f,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\main_20240512_Ref,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_res_up-0-1-5_baseline_outputs_2024-05-15-14-54-33\res_meta_upgrade0.csv,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_res_up-0-1-5_baseline_outputs_2024-05-15-14-54-33\res_eulp_upgrade0.csv,-5
