47      0.110
18079 6      0.718       0.105 Assignment net_load_day (297840)
18204 8      0.125       0.107 Equation   eq_mingen (0)
18028 10      0.219       0.033 Assignment net_load_day (297840)
18338 7      0.172       0.105 Solve Fini transmission (44715)
18338 1      0.407       0.105 Other      
18338 5      1.422       0.105 GAMS Fini   
18052 3      0.875       0.038 Assignment avail_day (56760)
18055 9      1.219       0.054 Assignment gen_low (469368)
18058 4      0.187       0.059 Assignment hydro_gen_day (9490)
18061 2      0.984       0.105 Assignment hydro_gen_day (9490)
