category,Max Capacity_max,Max Capacity_avg,Min Up Time,Min Down Time,Forced Outage Rate,Maintenance Rate,Mean Time To Repair,Start Cost/capacity,Min Stable Level/capacity,Max Ramp Up/capacity
gas-cc,944,320,8,4,3.28,6,52,83.74789975,0.549999986,0.008565391
gas-cc-ccs_mod,944,320,8,4,3.28,6,52,83.74789975,0.549999986,0.008565391
gas-cc-ccs_max,944,320,8,4,3.28,6,52,83.74789975,0.549999986,0.008565391
gas-cc-nsp,944,320,8,4,3.28,6,52,83.74789975,0.549999986,0.008565391
gas-ct,803,53,1,1,4.19,5,50,33.92320529,0.449999988,0.053440214
gas-ct-nsp,803,53,1,1,4.19,5,50,33.92320529,0.449999988,0.053440214
re-ct,803,53,1,1,4.19,5,50,33.92320529,0.449999988,0.053440214
re-cc,803,53,1,1,4.19,5,50,33.92320529,0.449999988,0.053440214
nuclear,1403.19,1239.94,48,48,4,6,298,116.6110123,0.7,0.003195101
nuclear-nsp,1403.19,1239.94,48,48,4,6,298,116.6110123,0.7,0.003195101
nuclear-smr,60,53.01947705,48,48,4,6,298,116.6110123,0,0.006666667
o-g-s,803,53,1,1,3.63,11.57,51,33.92320529,0.449999988,0.053440214
coal-igcc,856,302,168,48,4.29,12,37.5,155.8346651,0.4,0.009405444
coal-ccs_mod,856,302,168,48,4.29,12,37.5,155.8346651,0.4,0.009405444
coal-ccs_max,856,302,168,48,4.29,12,37.5,155.8346651,0.4,0.009405444
coal-new,856,302,168,48,4.29,10,37.5,155.8346651,0.4,0.009405444
coaloldscr,856,302,168,48,4.29,10,37.5,155.8346651,0.4,0.009405444
coalolduns,856,302,168,48,4.29,10,37.5,155.8346651,0.4,0.009405444
cofirenew,856,302,168,48,4.29,10,37.5,155.8346651,0.4,0.009405444
cofireold,856,302,168,48,4.29,10,37.5,155.8346651,0.4,0.009405444
biopower,236.8,11.87,6,7,3.09,7.6,38,5.300499917,0.3,0.138888889
beccs_mod,236.8,11.87,6,7,3.09,7.6,38,5.300499917,0.3,0.138888889
beccs_max,236.8,11.87,6,7,3.09,7.6,38,5.300499917,0.3,0.138888889
lfill-gas,236.8,11.87,6,7,3.09,5,38,5.300499917,0.3,0.138888889
geothermal,197,26,16,6,3.09,2.41,24,0,0.5,0.034246575
can-imports,,,,,,,,0,0.5,
battery_2,,,,,,,,0,0,
battery_4,,,,,,,,0,0,
battery_6,,,,,,,,0,0,
battery_8,,,,,,,,0,0,
battery_10,,,,,,,,0,0,
pumped-hydro,,,,,,,,0,0,
pumped-hydro-flex,,,,,,,,0,0,
caes,,,,,,,,0,0,
csp1_1,500,200,,,1.3,2.5,24,,0.2,0.013333
csp1_2,500,200,,,1.3,2.5,24,,0.2,0.013333
csp1_3,500,200,,,1.3,2.5,24,,0.2,0.013333
csp1_4,500,200,,,1.3,2.5,24,,0.2,0.013333
csp1_5,500,200,,,1.3,2.5,24,,0.2,0.013333
csp1_6,500,200,,,1.3,2.5,24,,0.2,0.013333
csp1_7,500,200,,,1.3,2.5,24,,0.2,0.013333
csp1_8,500,200,,,1.3,2.5,24,,0.2,0.013333
csp1_9,500,200,,,1.3,2.5,24,,0.2,0.013333
csp1_10,500,200,,,1.3,2.5,24,,0.2,0.013333
csp1_11,500,200,,,1.3,2.5,24,,0.2,0.013333
csp1_12,500,200,,,1.3,2.5,24,,0.2,0.013333
csp2_1,500,200,,,1.3,2.5,24,,0.2,0.013333
csp2_2,500,200,,,1.3,2.5,24,,0.2,0.013333
csp2_3,500,200,,,1.3,2.5,24,,0.2,0.013333
csp2_4,500,200,,,1.3,2.5,24,,0.2,0.013333
csp2_5,500,200,,,1.3,2.5,24,,0.2,0.013333
csp2_6,500,200,,,1.3,2.5,24,,0.2,0.013333
csp2_7,500,200,,,1.3,2.5,24,,0.2,0.013333
csp2_8,500,200,,,1.3,2.5,24,,0.2,0.013333
csp2_9,500,200,,,1.3,2.5,24,,0.2,0.013333
csp2_10,500,200,,,1.3,2.5,24,,0.2,0.013333
csp2_11,500,200,,,1.3,2.5,24,,0.2,0.013333
csp2_12,500,200,,,1.3,2.5,24,,0.2,0.013333
