*h,quarter,weight
h1,summ,1
h2,summ,1
h3,summ,1
h4,summ,1
h17,summ,1
h5,fall,1
h6,fall,1
h7,fall,1
h8,fall,1
h9,wint,1
h10,wint,1
h11,wint,1
h12,wint,1
h13,spri,1
h14,spri,1
h15,spri,1
h16,spri,1
