rep_period,year,yperiod,actual_period,opres
y2012d299,2012,1,y2012d001,
y2012d042,2012,2,y2012d002,
y2012d051,2012,3,y2012d003,
y2012d004,2012,4,y2012d004,
y2012d004,2012,5,y2012d005,
y2012d299,2012,6,y2012d006,
y2012d072,2012,7,y2012d007,
y2012d310,2012,8,y2012d008,
y2012d009,2012,9,y2012d009,
y2012d350,2012,10,y2012d010,
y2012d299,2012,11,y2012d011,
y2012d350,2012,12,y2012d012,
y2012d310,2012,13,y2012d013,
y2012d051,2012,14,y2012d014,
y2012d051,2012,15,y2012d015,
y2012d350,2012,16,y2012d016,
y2012d069,2012,17,y2012d017,
y2012d020,2012,18,y2012d018,
y2012d020,2012,19,y2012d019,
y2012d020,2012,20,y2012d020,
y2012d350,2012,21,y2012d021,
y2012d350,2012,22,y2012d022,
y2012d350,2012,23,y2012d023,
y2012d350,2012,24,y2012d024,
y2012d051,2012,25,y2012d025,
y2012d072,2012,26,y2012d026,
y2012d072,2012,27,y2012d027,
y2012d072,2012,28,y2012d028,
y2012d051,2012,29,y2012d029,
y2012d051,2012,30,y2012d030,
y2012d072,2012,31,y2012d031,
y2012d310,2012,32,y2012d032,
y2012d310,2012,33,y2012d033,
y2012d350,2012,34,y2012d034,
y2012d350,2012,35,y2012d035,
y2012d310,2012,36,y2012d036,
y2012d038,2012,37,y2012d037,
y2012d038,2012,38,y2012d038,
y2012d348,2012,39,y2012d039,
y2012d299,2012,40,y2012d040,
y2012d310,2012,41,y2012d041,
y2012d042,2012,42,y2012d042,
y2012d051,2012,43,y2012d043,
y2012d218,2012,44,y2012d044,
y2012d038,2012,45,y2012d045,
y2012d310,2012,46,y2012d046,
y2012d072,2012,47,y2012d047,
y2012d310,2012,48,y2012d048,
y2012d082,2012,49,y2012d049,
y2012d051,2012,50,y2012d050,
y2012d051,2012,51,y2012d051,
y2012d072,2012,52,y2012d052,
y2012d072,2012,53,y2012d053,
y2012d072,2012,54,y2012d054,
y2012d072,2012,55,y2012d055,
y2012d072,2012,56,y2012d056,
y2012d051,2012,57,y2012d057,
y2012d350,2012,58,y2012d058,
y2012d051,2012,59,y2012d059,
y2012d072,2012,60,y2012d060,
y2012d102,2012,61,y2012d061,
y2012d072,2012,62,y2012d062,
y2012d072,2012,63,y2012d063,
y2012d072,2012,64,y2012d064,
y2012d072,2012,65,y2012d065,
y2012d072,2012,66,y2012d066,
y2012d072,2012,67,y2012d067,
y2012d069,2012,68,y2012d068,
y2012d069,2012,69,y2012d069,
y2012d072,2012,70,y2012d070,
y2012d072,2012,71,y2012d071,
y2012d072,2012,72,y2012d072,
y2012d072,2012,73,y2012d073,
y2012d076,2012,74,y2012d074,
y2012d076,2012,75,y2012d075,
y2012d076,2012,76,y2012d076,
y2012d076,2012,77,y2012d077,
y2012d076,2012,78,y2012d078,
y2012d076,2012,79,y2012d079,
y2012d072,2012,80,y2012d080,
y2012d082,2012,81,y2012d081,
y2012d082,2012,82,y2012d082,
y2012d082,2012,83,y2012d083,
y2012d084,2012,84,y2012d084,
y2012d102,2012,85,y2012d085,
y2012d102,2012,86,y2012d086,
y2012d051,2012,87,y2012d087,
y2012d072,2012,88,y2012d088,
y2012d072,2012,89,y2012d089,
y2012d082,2012,90,y2012d090,
y2012d084,2012,91,y2012d091,
y2012d102,2012,92,y2012d092,
y2012d102,2012,93,y2012d093,
y2012d082,2012,94,y2012d094,
y2012d096,2012,95,y2012d095,
y2012d096,2012,96,y2012d096,
y2012d069,2012,97,y2012d097,
y2012d132,2012,98,y2012d098,
y2012d132,2012,99,y2012d099,
y2012d132,2012,100,y2012d100,
y2012d102,2012,101,y2012d101,
y2012d102,2012,102,y2012d102,
y2012d102,2012,103,y2012d103,
y2012d076,2012,104,y2012d104,
y2012d287,2012,105,y2012d105,
y2012d287,2012,106,y2012d106,
y2012d082,2012,107,y2012d107,
y2012d132,2012,108,y2012d108,
y2012d082,2012,109,y2012d109,
