r,tz
p53007,PT
p53029,PT
p53033,PT
p53035,PT
p53037,PT
p53053,PT
p53055,PT
p53057,PT
p53061,PT
p53067,PT
p53073,PT
p53003,PT
p53005,PT
p53009,PT
p53011,PT
p53013,PT
p53015,PT
p53023,PT
p53027,PT
p53031,PT
p53039,PT
p53041,PT
p53045,PT
p53049,PT
p53059,PT
p53069,PT
p53071,PT
p53077,PT
p53001,PT
p53019,PT
p53021,PT
p53043,PT
p53047,PT
p53051,PT
p53063,PT
p53065,PT
p53075,PT
p53017,PT
p53025,PT
p41003,PT
p41005,PT
p41007,PT
p41009,PT
p41013,PT
p41017,PT
p41021,PT
p41023,PT
p41027,PT
p41031,PT
p41039,PT
p41041,PT
p41043,PT
p41047,PT
p41049,PT
p41051,PT
p41053,PT
p41055,PT
p41057,PT
p41059,PT
p41061,PT
p41063,PT
p41065,PT
p41067,PT
p41069,PT
p41071,PT
p41011,PT
p41015,PT
p41019,PT
p41029,PT
p41033,PT
p41035,PT
p41001,PT
p41025,PT
p41037,PT
p41045,PT
p06035,PT
p06049,PT
p06093,PT
p06001,PT
p06003,PT
p06005,PT
p06007,PT
p06009,PT
p06011,PT
p06013,PT
p06015,PT
p06017,PT
p06019,PT
p06021,PT
p06023,PT
p06031,PT
p06033,PT
p06039,PT
p06041,PT
p06043,PT
p06045,PT
p06047,PT
p06053,PT
p06055,PT
p06057,PT
p06061,PT
p06063,PT
p06067,PT
p06069,PT
p06075,PT
p06077,PT
p06079,PT
p06081,PT
p06083,PT
p06085,PT
p06087,PT
p06089,PT
p06091,PT
p06095,PT
p06097,PT
p06099,PT
p06101,PT
p06103,PT
p06105,PT
p06109,PT
p06113,PT
p06115,PT
p06025,PT
p06027,PT
p06029,PT
p06037,PT
p06051,PT
p06059,PT
p06065,PT
p06071,PT
p06107,PT
p06111,PT
p06073,PT
p32001,PT
p32005,PT
p32007,PT
p32009,PT
p32011,PT
p32013,PT
p32015,PT
p32017,PT
p32019,PT
p32021,PT
p32023,PT
p32027,PT
p32029,PT
p32031,PT
p32033,PT
p32510,PT
p32003,PT
p16009,PT
p16017,PT
p16021,PT
p16055,PT
p16057,PT
p16061,PT
p16069,PT
p16001,MT
p16003,MT
p16013,MT
p16015,MT
p16023,MT
p16025,MT
p16027,MT
p16035,MT
p16037,MT
p16039,MT
p16045,MT
p16047,MT
p16049,MT
p16053,MT
p16059,MT
p16063,MT
p16067,MT
p16073,MT
p16075,MT
p16079,MT
p16085,MT
p16087,MT
p16005,MT
p16007,MT
p16011,MT
p16019,MT
p16029,MT
p16031,MT
p16033,MT
p16041,MT
p16043,MT
p16051,MT
p16065,MT
p16071,MT
p16077,MT
p16081,MT
p16083,MT
p30001,MT
p30007,MT
p30023,MT
p30029,MT
p30039,MT
p30043,MT
p30047,MT
p30053,MT
p30057,MT
p30061,MT
p30063,MT
p30077,MT
p30081,MT
p30089,MT
p30093,MT
p30003,MT
p30005,MT
p30009,MT
p30013,MT
p30015,MT
p30031,MT
p30035,MT
p30041,MT
p30049,MT
p30051,MT
p30059,MT
p30067,MT
p30071,MT
p30073,MT
p30095,MT
p30097,MT
p30099,MT
p30101,MT
p30033,MT
p30105,MT
p30027,MT
p30037,MT
p30045,MT
p30065,MT
p30069,MT
p30075,MT
p30087,MT
p30103,MT
p30107,MT
p30111,MT
p56003,MT
p56013,MT
p56017,MT
p56023,MT
p56029,MT
p56035,MT
p56037,MT
p56039,MT
p56041,MT
p56043,MT
p56019,MT
p56033,MT
p56005,MT
p56011,MT
p56045,MT
p56001,MT
p56007,MT
p56009,MT
p56015,MT
p56021,MT
p56025,MT
p56027,MT
p56031,MT
p49001,MT
p49003,MT
p49005,MT
p49007,MT
p49011,MT
p49015,MT
p49017,MT
p49019,MT
p49021,MT
p49023,MT
p49025,MT
p49027,MT
p49031,MT
p49035,MT
p49037,MT
p49039,MT
p49041,MT
p49045,MT
p49049,MT
p49053,MT
p49055,MT
p49057,MT
p49009,MT
p49013,MT
p49029,MT
p49033,MT
p49043,MT
p49047,MT
p49051,MT
p04015,MT
p04003,MT
p04005,MT
p04007,MT
p04009,MT
p04011,MT
p04012,MT
p04013,MT
p04017,MT
p04021,MT
p04025,MT
p04027,MT
p04001,MT
p04019,MT
p04023,MT
p35001,MT
p35003,MT
p35006,MT
p35007,MT
p35011,MT
p35013,MT
p35017,MT
p35019,MT
p35021,MT
p35023,MT
p35027,MT
p35028,MT
p35029,MT
p35031,MT
p35033,MT
p35035,MT
p35039,MT
p35043,MT
p35045,MT
p35047,MT
p35049,MT
p35051,MT
p35053,MT
p35055,MT
p35057,MT
p35059,MT
p35061,MT
p46019,MT
p46033,MT
p46047,MT
p46081,MT
p46103,MT
p08001,MT
p08005,MT
p08013,MT
p08014,MT
p08019,MT
p08031,MT
p08035,MT
p08037,MT
p08045,MT
p08047,MT
p08049,MT
p08057,MT
p08059,MT
p08065,MT
p08069,MT
p08075,MT
p08077,MT
p08081,MT
p08087,MT
p08093,MT
p08095,MT
p08097,MT
p08103,MT
p08107,MT
p08115,MT
p08117,MT
p08119,MT
p08121,MT
p08123,MT
p08125,MT
p08003,MT
p08007,MT
p08009,MT
p08011,MT
p08015,MT
p08017,MT
p08021,MT
p08023,MT
p08025,MT
p08027,MT
p08029,MT
p08033,MT
p08039,MT
p08041,MT
p08043,MT
p08051,MT
p08053,MT
p08055,MT
p08061,MT
p08063,MT
p08067,MT
p08071,MT
p08073,MT
p08079,MT
p08083,MT
p08085,MT
p08089,MT
p08091,MT
p08099,MT
p08101,MT
p08105,MT
p08109,MT
p08111,MT
p08113,MT
p30011,MT
p30017,MT
p30019,MT
p30021,MT
p30025,MT
p30055,MT
p30079,MT
p30083,MT
p30085,MT
p30091,MT
p30109,MT
p38001,CT
p38007,CT
p38011,CT
p38013,CT
p38015,CT
p38021,CT
p38023,CT
p38025,CT
p38029,CT
p38033,CT
p38037,CT
p38041,CT
p38047,CT
p38051,CT
p38053,CT
p38057,CT
p38059,CT
p38061,CT
p38065,CT
p38075,CT
p38085,CT
p38087,CT
p38089,CT
p38105,CT
p38003,CT
p38005,CT
p38009,CT
p38017,CT
p38019,CT
p38027,CT
p38031,CT
p38035,CT
p38039,CT
p38043,CT
p38045,CT
p38049,CT
p38055,CT
p38063,CT
p38067,CT
p38069,CT
p38071,CT
p38073,CT
p38077,CT
p38079,CT
p38081,CT
p38083,CT
p38091,CT
p38093,CT
p38095,CT
p38097,CT
p38099,CT
p38101,CT
p38103,CT
p46003,CT
p46005,CT
p46007,CT
p46009,CT
p46011,CT
p46013,CT
p46015,CT
p46017,CT
p46021,CT
p46023,CT
p46025,CT
p46027,CT
p46029,CT
p46031,CT
p46035,CT
p46037,CT
p46039,CT
p46041,CT
p46043,CT
p46045,CT
p46049,CT
p46051,CT
p46053,CT
p46055,CT
p46057,CT
p46059,CT
p46061,CT
p46063,CT
p46065,CT
p46067,CT
p46069,CT
p46071,CT
p46073,CT
p46075,CT
p46077,CT
p46079,CT
p46083,CT
p46085,CT
p46087,CT
p46089,CT
p46091,CT
p46093,CT
p46095,CT
p46097,CT
p46099,CT
p46101,CT
p46102,CT
p46105,CT
p46107,CT
p46109,CT
p46111,CT
p46115,CT
p46117,CT
p46119,CT
p46121,CT
p46123,CT
p46125,CT
p46127,CT
p46129,CT
p46135,CT
p46137,CT
p31005,MT
p31007,MT
p31013,MT
p31029,MT
p31033,MT
p31045,MT
p31049,MT
p31057,MT
p31069,MT
p31075,MT
p31101,MT
p31105,MT
p31123,MT
p31135,MT
p31157,MT
p31161,MT
p31165,MT
p31001,CT
p31003,CT
p31009,CT
p31011,CT
p31015,CT
p31017,CT
p31019,CT
p31023,CT
p31027,CT
p31031,CT
p31035,CT
p31039,CT
p31041,CT
p31043,CT
p31047,CT
p31051,CT
p31059,CT
p31061,CT
p31063,CT
p31065,CT
p31067,CT
p31071,CT
p31073,CT
p31077,CT
p31079,CT
p31081,CT
p31083,CT
p31085,CT
p31087,CT
p31089,CT
p31091,CT
p31093,CT
p31095,CT
p31099,CT
p31103,CT
p31107,CT
p31111,CT
p31113,CT
p31115,CT
p31117,CT
p31119,CT
p31121,CT
p31125,CT
p31129,CT
p31137,CT
p31139,CT
p31141,CT
p31143,CT
p31145,CT
p31149,CT
p31151,CT
p31159,CT
p31163,CT
p31167,CT
p31169,CT
p31171,CT
p31173,CT
p31175,CT
p31179,CT
p31181,CT
p31183,CT
p31185,CT
p31021,CT
p31025,CT
p31037,CT
p31053,CT
p31055,CT
p31097,CT
p31109,CT
p31127,CT
p31131,CT
p31133,CT
p31147,CT
p31153,CT
p31155,CT
p31177,CT
p27005,CT
p27007,CT
p27027,CT
p27029,CT
p27069,CT
p27071,CT
p27077,CT
p27087,CT
p27089,CT
p27107,CT
p27113,CT
p27119,CT
p27125,CT
p27135,CT
p27001,CT
p27003,CT
p27009,CT
p27011,CT
p27017,CT
p27019,CT
p27021,CT
p27025,CT
p27031,CT
p27035,CT
p27037,CT
p27039,CT
p27041,CT
p27049,CT
p27051,CT
p27053,CT
p27057,CT
p27059,CT
p27061,CT
p27065,CT
p27067,CT
p27075,CT
p27079,CT
p27085,CT
p27093,CT
p27095,CT
p27097,CT
p27109,CT
p27111,CT
p27115,CT
p27121,CT
p27123,CT
p27131,CT
p27137,CT
p27139,CT
p27141,CT
p27143,CT
p27145,CT
p27147,CT
p27149,CT
p27151,CT
p27153,CT
p27155,CT
p27157,CT
p27159,CT
p27163,CT
p27167,CT
p27169,CT
p27171,CT
p27023,CT
p27073,CT
p27081,CT
p27083,CT
p27101,CT
p27105,CT
p27117,CT
p27127,CT
p27129,CT
p27133,CT
p27173,CT
p19009,CT
p19021,CT
p19025,CT
p19027,CT
p19033,CT
p19035,CT
p19041,CT
p19047,CT
p19059,CT
p19063,CT
p19069,CT
p19071,CT
p19081,CT
p19085,CT
p19091,CT
p19093,CT
p19109,CT
p19119,CT
p19129,CT
p19133,CT
p19137,CT
p19141,CT
p19143,CT
p19145,CT
