t,szn
2010,sy2012d009
2010,sy2012d178
2010,sy2012d188
2010,sy2012d226
2010,sy2012d232
2010,sy2012d259
2010,sy2012d271
2010,sy2012d349
2010,sy2012d351
2015,sy2012d009
2015,sy2012d178
2015,sy2012d188
2015,sy2012d226
2015,sy2012d232
2015,sy2012d259
2015,sy2012d271
2015,sy2012d349
2015,sy2012d351
2020,sy2012d009
2020,sy2012d178
2020,sy2012d188
2020,sy2012d226
2020,sy2012d232
2020,sy2012d259
2020,sy2012d271
2020,sy2012d349
2020,sy2012d351
2025,sy2007d224
2025,sy2007d225
2025,sy2007d226
2025,sy2008d027
2025,sy2008d226
2025,sy2008d233
2025,sy2008d238
2025,sy2008d248
2025,sy2008d274
2025,sy2009d262
2025,sy2009d269
2025,sy2010d027
2025,sy2010d223
2025,sy2010d235
2025,sy2010d238
2025,sy2010d268
2025,sy2010d274
2025,sy2011d015
2025,sy2011d016
2025,sy2011d186
2025,sy2011d225
2025,sy2011d226
2025,sy2011d238
2025,sy2011d239
2025,sy2011d249
2025,sy2012d261
2025,sy2012d276
2025,sy2013d222
2025,sy2013d225
2025,sy2013d226
2030,sy2007d224
2030,sy2007d225
2030,sy2007d226
2030,sy2008d027
2030,sy2008d226
2030,sy2008d233
2030,sy2008d238
2030,sy2008d248
2030,sy2008d274
2030,sy2009d262
2030,sy2009d269
2030,sy2010d027
2030,sy2010d223
2030,sy2010d235
2030,sy2010d238
2030,sy2010d268
2030,sy2010d274
2030,sy2011d015
2030,sy2011d016
2030,sy2011d186
2030,sy2011d225
2030,sy2011d226
2030,sy2011d238
2030,sy2011d239
2030,sy2011d249
2030,sy2012d261
2030,sy2012d276
2030,sy2013d222
2030,sy2013d225
2030,sy2013d226
2035,sy2007d224
2035,sy2007d226
2035,sy2008d017
2035,sy2008d027
2035,sy2008d224
2035,sy2008d233
2035,sy2008d238
2035,sy2008d248
2035,sy2008d274
2035,sy2009d004
2035,sy2009d232
2035,sy2009d233
2035,sy2009d262
2035,sy2009d269
2035,sy2010d015
2035,sy2010d016
2035,sy2010d027
2035,sy2010d223
2035,sy2010d238
2035,sy2010d268
2035,sy2011d015
2035,sy2011d016
2035,sy2011d226
2035,sy2011d238
2035,sy2011d249
2035,sy2012d219
2035,sy2012d233
2035,sy2012d259
2035,sy2012d276
2035,sy2013d147
2040,sy2007d017
2040,sy2008d017
2040,sy2008d018
2040,sy2008d026
2040,sy2008d225
2040,sy2009d024
2040,sy2009d225
2040,sy2009d233
2040,sy2010d003
2040,sy2010d015
2040,sy2010d016
2040,sy2010d022
2040,sy2010d032
2040,sy2010d037
2040,sy2010d219
2040,sy2011d015
2040,sy2011d016
2040,sy2011d017
2040,sy2011d228
2040,sy2012d022
2040,sy2012d219
2040,sy2012d233
2040,sy2012d234
2040,sy2012d276
2040,sy2013d022
2040,sy2013d025
2040,sy2013d036
2040,sy2013d044
2040,sy2013d222
2040,sy2013d234
2045,sy2007d017
2045,sy2008d017
2045,sy2008d018
2045,sy2008d023
2045,sy2008d026
2045,sy2008d039
2045,sy2008d225
2045,sy2008d237
2045,sy2009d046
2045,sy2009d233
2045,sy2010d003
2045,sy2010d016
2045,sy2010d017
2045,sy2010d022
2045,sy2010d036
2045,sy2010d219
2045,sy2010d268
2045,sy2010d269
2045,sy2011d015
2045,sy2011d016
2045,sy2011d017
2045,sy2011d228
2045,sy2012d022
2045,sy2012d026
2045,sy2012d046
2045,sy2012d219
2045,sy2012d233
2045,sy2012d234
2045,sy2013d036
2045,sy2013d234
2050,sy2007d036
2050,sy2007d213
2050,sy2007d344
2050,sy2008d017
2050,sy2008d026
2050,sy2008d027
2050,sy2008d039
2050,sy2008d225
2050,sy2009d156
2050,sy2009d262
2050,sy2009d302
2050,sy2009d339
2050,sy2010d015
2050,sy2010d016
2050,sy2010d022
2050,sy2010d036
2050,sy2011d015
2050,sy2011d016
2050,sy2011d026
2050,sy2011d034
2050,sy2011d226
2050,sy2011d228
2050,sy2011d341
2050,sy2012d026
2050,sy2012d046
2050,sy2012d233
2050,sy2012d234
2050,sy2012d276
2050,sy2012d332
2050,sy2013d036
