tech,access_switch,access_case,sc_path,rev_path,sc_file,eagle_sc_file,original_rev_folder
upv,GSw_SitingUPV,reference,UPV/2023_06_06_Update,UPV/2023_06_06_Update/reV/01_reference,UPV/2023_06_06_Update/reV/post_processed_supply_curves/01_reference_supply-curve.csv,/shared-projects/reeds/Supply_Curve_Data/UPV/2023_06_06_Update/reV/post_processed_supply_curves/01_reference_supply-curve.csv,/shared-projects/rev/projects/seto/fy23/rev/standard_scenarios/aggregation
upv,GSw_SitingUPV,open,UPV/2023_06_06_Update,UPV/2023_06_06_Update/reV/00_open,UPV/2023_06_06_Update/reV/post_processed_supply_curves/00_open_supply-curve.csv,/shared-projects/reeds/Supply_Curve_Data/UPV/2023_06_06_Update/reV/0_moderate_open/post_processed_supply_curves/00_open_supply-curve.csv,/shared-projects/rev/projects/seto/fy23/rev/standard_scenarios/aggregation
upv,GSw_SitingUPV,limited,UPV/2023_06_06_Update,UPV/2023_06_06_Update/reV/02_limited,UPV/2023_06_06_Update/reV/post_processed_supply_curves/02_limited_supply-curve.csv,/shared-projects/reeds/Supply_Curve_Data/UPV/2023_06_06_Update/reV/post_processed_supply_curves/02_limited_supply-curve.csv,/shared-projects/rev/projects/seto/fy23/rev/standard_scenarios/aggregation
wind-ofs,GSw_SitingWindOfs,open,OFFSHORE/2023_03_31_Update,OFFSHORE/2023_03_31_Update/reV/0_open_moderate,OFFSHORE/2023_03_31_Update/reV/0_open_moderate/0_open_moderate_supply-curve.csv,/shared-projects/reeds/Supply_Curve_Data/OFFSHORE/2023_03_31_Update/reV/0_open_moderate/0_open_moderate_supply-curve.csv,
wind-ofs,GSw_SitingWindOfs,limited,OFFSHORE/2023_03_31_Update,OFFSHORE/2023_03_31_Update/reV/1_limited_moderate,OFFSHORE/2023_03_31_Update/reV/1_limited_moderate/1_limited_moderate_supply-curve.csv,/shared-projects/reeds/Supply_Curve_Data/OFFSHORE/2023_03_31_Update/reV/1_limited_moderate/1_limited_moderate_supply-curve.csv,
wind-ons,GSw_SitingWindOns,open,ONSHORE/2023_07_28_Update,ONSHORE/2023_07_28_Update/reV/open_2030_moderate_115hh_170rd,ONSHORE/2023_07_28_Update/reV/processed_tables/open_2030_moderate_115hh_170rd_supply-curve.csv,/shared-projects/reeds/Supply_Curve_Data/ONSHORE/2023_07_28_Update/reV/processed_tables/open_2030_moderate_115hh_170rd_supply-curve.csv,/shared-projects/rev/projects/weto/fy23/atb/rev/standard_scenarios/corrections
wind-ons,GSw_SitingWindOns,reference,ONSHORE/2023_07_28_Update,ONSHORE/2023_07_28_Update/reV/reference_2030_moderate_115hh_170rd,ONSHORE/2023_07_28_Update/reV/processed_tables/reference_2030_moderate_115hh_170rd_supply-curve.csv,/shared-projects/reeds/Supply_Curve_Data/ONSHORE/2023_07_28_Update/reV/processed_tables/reference_2030_moderate_115hh_170rd_supply-curve.csv,/shared-projects/rev/projects/weto/fy23/atb/rev/standard_scenarios/corrections
wind-ons,GSw_SitingWindOns,limited,ONSHORE/2023_07_28_Update,ONSHORE/2023_07_28_Update/reV/limited_2030_moderate_115hh_170rd,ONSHORE/2023_07_28_Update/reV/processed_tables/limited_2030_moderate_115hh_170rd_supply-curve.csv,/shared-projects/reeds/Supply_Curve_Data/ONSHORE/2023_07_28_Update/reV/processed_tables/limited_2030_moderate_115hh_170rd_supply-curve.csv,/shared-projects/rev/projects/weto/fy23/atb/rev/standard_scenarios/corrections
dupv,none,none,DUPV/2018_Update,DUPV/2018_Update,,,
csp,none,none,CSP/2019_Existing,CSP/2019_Existing,,,
