usgs_code,land_type
1,water
2,developed
3,forest
4,forest
5,forest
6,barren
7,barren
8,forest
9,forest
10,forest
11,grassland
12,shrubland
13,cropland
14,hay/pasture
15,wetland
16,wetland
17,perennial ice/snow
