fed_land_owner,land_owner,fed_land_name
1,federal,DOD
2,federal,FS
3,federal,FWS
4,federal,NPS
5,federal,VA
6,federal,BLM
7,federal,BOR
8,federal,NASA
9,federal,BIA
10,federal,DOE
11,federal,DOT
12,federal,GSA
13,federal,USDA
14,federal,DOJ
15,federal,HHS
16,federal,TVA
17,federal,DOL
18,federal,MWAA
19,federal,DOC
9999,non-federal,
